CBSAFP,Year,AsOfDate,dockCt,docklessCt,scooterCt,Lat,Lon,Unnamed: 16
16980,2015,403024,469,0,0,83.6386989999998,-175.9498699999998,0.0
16980,2016,403224,585,0,0,83.6386989999998,-175.9498699999998,0.0
16980,2017,403424,577,0,0,83.6386989999998,-175.9498699999998,0.0
16980,2018,403624,611,0,0,83.6386989999998,-175.9498699999998,0.0
16980,2019,403824,611,1,10,83.6386989999998,-175.9498699999998,0.0
17140,2015,403024,50,0,0,78.610618,-169.258687,0.0
17140,2016,403224,56,0,0,78.610618,-169.258687,0.0
17140,2017,403424,57,0,0,78.610618,-169.258687,0.0
17140,2018,403624,57,0,3,78.610618,-169.258687,0.0
17140,2019,403824,57,0,2,78.610618,-169.258687,0.0
17300,2015,201512,0,0,0,36.5297709999999,-87.359453,0.0
17300,2016,201612,4,0,0,36.5297709999999,-87.359453,0.0
17300,2017,201712,4,0,0,36.5297709999999,-87.359453,0.0
17300,2018,201812,5,0,0,36.5297709999999,-87.359453,0.0
17300,2019,201912,5,0,0,36.5297709999999,-87.359453,0.0
17460,2015,201512,5,0,0,41.4993199999999,-81.694361,0.0
17460,2016,201612,5,0,0,41.4993199999999,-81.694361,0.0
17460,2017,201712,5,0,0,41.4993199999999,-81.694361,0.0
17460,2018,201812,36,0,0,41.4993199999999,-81.694361,0.0
17460,2019,201912,36,0,4,41.4993199999999,-81.694361,0.0
17820,2015,201512,0,0,0,38.835779,-104.816081999999,0.0
17820,2016,201612,0,0,0,38.835779,-104.816081999999,0.0
17820,2017,201712,0,0,0,38.835779,-104.816081999999,0.0
17820,2018,201812,0,1,0,38.835779,-104.816081999999,0.0
17820,2019,201912,0,1,0,38.835779,-104.816081999999,0.0
17860,2015,201512,0,0,0,38.9517049999999,-92.334072,0.0
17860,2016,201612,0,0,0,38.9517049999999,-92.334072,0.0
17860,2017,201712,0,0,0,38.9517049999999,-92.334072,0.0
17860,2018,201812,0,0,2,38.9517049999999,-92.334072,0.0
17860,2019,201912,0,0,1,38.9517049999999,-92.334072,0.0
18020,2015,201512,0,0,0,39.2014399999999,-85.9213799999999,0.0
18020,2016,201612,8,0,0,39.2014399999999,-85.9213799999999,0.0
18020,2017,201712,8,0,0,39.2014399999999,-85.9213799999999,0.0
18020,2018,201812,8,0,0,39.2014399999999,-85.9213799999999,0.0
18020,2019,201912,8,0,0,39.2014399999999,-85.9213799999999,0.0
18140,2015,403024,30,0,0,80.060405,-166.1128709999999,0.0
18140,2016,403224,46,0,0,80.060405,-166.1128709999999,0.0
18140,2017,403424,46,0,0,80.060405,-166.1128709999999,0.0
18140,2018,403624,79,0,3,80.060405,-166.1128709999999,0.0
18140,2019,403824,79,0,2,80.060405,-166.1128709999999,0.0
18580,2015,201512,0,0,0,27.800583,-97.396381,0.0
18580,2016,201612,0,0,0,27.800583,-97.396381,0.0
18580,2017,201712,8,0,0,27.800583,-97.396381,0.0
18580,2018,201812,8,0,0,27.800583,-97.396381,0.0
18580,2019,201912,8,0,0,27.800583,-97.396381,0.0
18700,2015,201512,0,0,0,44.5645659999999,-123.262044,0.0
18700,2016,201612,8,0,0,44.5645659999999,-123.262044,0.0
18700,2017,201712,8,0,0,44.5645659999999,-123.262044,0.0
18700,2018,201812,10,0,0,44.5645659999999,-123.262044,0.0
18700,2019,201912,10,0,0,44.5645659999999,-123.262044,0.0
19100,2015,1209072,37,0,0,197.41514699999982,-581.7066569999996,0.0
19100,2016,1209672,48,0,0,197.41514699999982,-581.7066569999996,0.0
19100,2017,1210272,48,7,0,197.41514699999982,-581.7066569999996,0.0
19100,2018,1210872,46,3,4,197.41514699999982,-581.7066569999996,0.0
19100,2019,1211472,46,3,4,197.41514699999982,-581.7066569999996,0.0
19260,2015,201512,0,0,0,36.5859719999999,-79.3950229999999,0.0
19260,2016,201612,0,0,0,36.5859719999999,-79.3950229999999,0.0
19260,2017,201712,5,0,0,36.5859719999999,-79.3950229999999,0.0
19260,2018,201812,5,0,0,36.5859719999999,-79.3950229999999,0.0
19260,2019,201912,5,0,0,36.5859719999999,-79.3950229999999,0.0
19380,2015,201512,24,0,0,39.7589479999999,-84.191607,0.0
19380,2016,201612,27,0,0,39.7589479999999,-84.191607,0.0
19380,2017,201712,27,0,0,39.7589479999999,-84.191607,0.0
19380,2018,201812,27,0,0,39.7589479999999,-84.191607,0.0
19380,2019,201912,27,0,0,39.7589479999999,-84.191607,0.0
19740,2015,806048,84,0,0,158.9380979999999,-419.80132099999804,0.0
19740,2016,806448,95,0,0,158.9380979999999,-419.80132099999804,0.0
19740,2017,806848,94,4,0,158.9380979999999,-419.80132099999804,0.0
