,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER
1848,26980,"Iowa City, IA Metro Area",2017,171491,4/1/16,2016,2017,1,Low Op-Ex
1861,27060,"Ithaca, NY Metro Area",2017,104802,7/1/17,2017,2018,0,Low Op-Ex
1874,27100,"Jackson, MI Metro Area",2017,158640,9/1/18,2018,2019,0,Low Op-Ex
1887,27140,"Jackson, MS Metro Area",2017,578794,12/1/14,2014,2015,1,Low Op-Ex
1900,27180,"Jackson, TN Metro Area",2017,129235,3/1/18,2018,2019,0,Low Op-Ex
1548,24340,"Grand Rapids-Wyoming, MI Metro Area",2017,1059113,8/1/14,2014,2015,1,Mid Op-Ex
1926,27340,"Jacksonville, NC Metro Area",2017,193893,10/1/15,2015,2016,1,Low Op-Ex
1939,27500,"Janesville-Beloit, WI Metro Area",2017,162309,12/1/16,2016,2017,1,Low Op-Ex
1952,27620,"Jefferson City, MO Metro Area",2017,147584,5/1/17,2017,2018,0,Low Op-Ex
1965,27740,"Johnson City, TN Metro Area",2017,203462,8/1/16,2016,2017,1,Low Op-Ex
1978,27780,"Johnstown, PA Metro Area",2017,133054,11/1/17,2017,2018,0,Low Op-Ex
1991,27860,"Jonesboro, AR Metro Area",2017,131269,8/1/17,2017,2018,0,Low Op-Ex
2004,27900,"Joplin, MO Metro Area",2017,178507,5/1/17,2017,2018,0,Low Op-Ex
2009,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",2017,166348,1/1/15,2015,2016,1,
2022,28020,"Kalamazoo-Portage, MI Metro Area",2017,338338,10/1/14,2014,2015,1,Low Op-Ex
2035,28100,"Kankakee, IL Metro Area",2017,109605,7/1/17,2017,2018,0,Low Op-Ex
4034,46060,"Tucson, AZ Metro Area",2017,1022769,10/1/13,2013,2014,1,Mid Op-Ex
1452,23420,"Fresno, CA Metro Area",2017,989255,2/1/14,2014,2015,1,Mid Op-Ex
2074,28660,"Killeen-Temple, TX Metro Area",2017,442693,7/1/15,2015,2016,1,Low Op-Ex
2087,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",2017,305914,9/1/16,2016,2017,1,Low Op-Ex
2100,28740,"Kingston, NY Metro Area",2017,179417,7/1/17,2017,2018,0,Low Op-Ex
2113,28940,"Knoxville, TN Metro Area",2017,877874,8/1/14,2014,2015,1,Low Op-Ex
2126,29020,"Kokomo, IN Metro Area",2017,82363,6/1/18,2018,2019,0,
2139,29100,"La Crosse-Onalaska, WI-MN Metro Area",2017,136934,3/1/17,2017,2018,0,Low Op-Ex
2152,29140,"Lafayette-West Lafayette, IN Metro Area",2017,218769,7/1/15,2015,2016,1,Low Op-Ex
2165,29180,"Lafayette, LA Metro Area",2017,491558,2/1/15,2015,2016,1,Low Op-Ex
2176,29420,"Lake Havasu City-Kingman, AZ Metro Area",2017,207200,3/1/16,2016,2017,1,
2189,29460,"Lakeland-Winter Haven, FL Metro Area",2017,686483,3/1/15,2015,2016,1,Low Op-Ex
4078,46520,"Urban Honolulu, HI Metro Area",2017,988650,8/1/13,2013,2014,1,Mid Op-Ex
547,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2017,949921,4/1/14,2014,2015,1,Mid Op-Ex
2228,29700,"Laredo, TX Metro Area",2017,274794,7/1/17,2017,2018,0,Low Op-Ex
2241,29740,"Las Cruces, NM Metro Area",2017,215579,9/1/15,2015,2016,1,Low Op-Ex
4361,49340,"Worcester, MA-CT Metro Area",2017,942475,8/1/14,2014,2015,1,Mid Op-Ex
2267,29940,"Lawrence, KS Metro Area",2017,120793,6/1/15,2015,2016,1,Low Op-Ex
2280,30020,"Lawton, OK Metro Area",2017,127735,3/1/17,2017,2018,0,Low Op-Ex
2293,30140,"Lebanon, PA Metro Area",2017,139754,6/1/16,2016,2017,1,Low Op-Ex
2306,30340,"Lewiston-Auburn, ME Metro Area",2017,107651,9/1/17,2017,2018,0,Low Op-Ex
2319,30460,"Lexington-Fayette, KY Metro Area",2017,512650,7/1/14,2014,2015,1,Low Op-Ex
2332,30700,"Lincoln, NE Metro Area",2017,331592,1/1/15,2015,2016,1,Low Op-Ex
2345,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",2017,738082,11/1/14,2014,2015,1,Low Op-Ex
2358,30860,"Logan, UT-ID Metro Area",2017,138219,11/1/18,2018,2019,0,Low Op-Ex
2371,30980,"Longview, TX Metro Area",2017,217481,11/1/17,2017,2018,0,Low Op-Ex
2384,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017,13353907,2/1/12,2012,2013,1,High Op-Ex
69,10740,"Albuquerque, NM Metro Area",2017,913113,5/1/14,2014,2015,1,Mid Op-Ex
2410,31180,"Lubbock, TX Metro Area",2017,318011,7/1/14,2014,2015,1,Low Op-Ex
2423,31340,"Lynchburg, VA Metro Area",2017,260116,12/1/15,2015,2016,1,Low Op-Ex
2436,31420,"Macon-Bibb County, GA Metro Area",2017,229258,5/1/16,2016,2017,1,Low Op-Ex
2449,31460,"Madera, CA Metro Area",2017,156890,11/1/18,2018,2019,0,Low Op-Ex
56,10580,"Albany-Schenectady-Troy, NY Metro Area",2017,886188,6/1/17,2017,2018,0,Mid Op-Ex
2475,31700,"Manchester-Nashua, NH Metro Area",2017,409697,10/1/14,2014,2015,1,Low Op-Ex
2484,31740,"Manhattan, KS Metro Area",2017,98080,6/1/15,2015,2016,1,Low Op-Ex
2493,31860,"Mankato-North Mankato, MN Metro Area",2017,100939,3/1/17,2017,2018,0,Low Op-Ex
2506,32580,"McAllen-Edinburg-Mission, TX Metro Area",2017,860661,7/1/17,2017,2018,0,Low Op-Ex
2519,32780,"Medford, OR Metro Area",2017,217479,12/1/17,2017,2018,0,Low Op-Ex
2802,35300,"New Haven-Milford, CT Metro Area",2017,860435,5/1/14,2014,2015,1,Mid Op-Ex
2545,32900,"Merced, CA Metro Area",2017,272673,11/1/15,2015,2016,1,Low Op-Ex
2558,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2017,6158824,6/1/14,2014,2015,1,High Op-Ex
2571,33140,"Michigan City-La Porte, IN Metro Area",2017,110029,5/1/16,2016,2017,1,Low Op-Ex
2576,33220,"Midland, MI Metro Area",2017,83411,10/1/18,2018,2019,0,Low Op-Ex
2589,33260,"Midland, TX Metro Area",2017,169643,6/1/16,2016,2017,1,Low Op-Ex
2992,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2017,854223,5/1/14,2014,2015,1,Mid Op-Ex
2615,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017,3600618,10/1/12,2012,2013,1,High Op-Ex
2628,33540,"Missoula, MT Metro Area",2017,117441,8/1/16,2016,2017,1,Low Op-Ex
2641,33660,"Mobile, AL Metro Area",2017,413955,6/1/15,2015,2016,1,Low Op-Ex
2654,33700,"Modesto, CA Metro Area",2017,547899,5/1/14,2014,2015,1,Low Op-Ex
2667,33740,"Monroe, LA Metro Area",2017,178445,9/1/17,2017,2018,0,Low Op-Ex
2680,33860,"Montgomery, AL Metro Area",2017,373889,2/1/16,2016,2017,1,Low Op-Ex
2693,34060,"Morgantown, WV Metro Area",2017,138709,7/1/16,2016,2017,1,Low Op-Ex
2706,34580,"Mount Vernon-Anacortes, WA Metro Area",2017,125619,1/1/18,2018,2019,0,Low Op-Ex
2719,34620,"Muncie, IN Metro Area",2017,115184,9/1/16,2016,2017,1,Low Op-Ex
2732,34740,"Muskegon, MI Metro Area",2017,173693,4/1/18,2018,2019,0,Low Op-Ex
2745,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",2017,464165,8/1/14,2014,2015,1,Low Op-Ex
