,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,MNAME_y,TNC_CLUSTER,TNC_TRIPS_PER_PERSON,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA
261,10740,"Albuquerque, NM Metro Area",2015,906209,5/1/14,2014,2015,1,"Albuquerque, NM Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
315,10740,"Albuquerque, NM Metro Area",2016,913924,5/1/14,2014,2015,1,"Albuquerque, NM Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
381,10740,"Albuquerque, NM Metro Area",2017,913113,5/1/14,2014,2015,1,"Albuquerque, NM Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
316,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,835652,2/1/15,2015,2016,1,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
382,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,840550,2/1/15,2015,2016,1,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
262,11460,"Ann Arbor, MI Metro Area",2015,358880,4/1/14,2014,2015,1,"Ann Arbor, MI Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
317,11460,"Ann Arbor, MI Metro Area",2016,364709,4/1/14,2014,2015,1,"Ann Arbor, MI Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
383,11460,"Ann Arbor, MI Metro Area",2017,367627,4/1/14,2014,2015,1,"Ann Arbor, MI Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
263,12100,"Atlantic City-Hammonton, NJ Metro Area",2015,274219,5/1/14,2014,2015,1,"Atlantic City-Hammonton, NJ Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
318,12100,"Atlantic City-Hammonton, NJ Metro Area",2016,270991,5/1/14,2014,2015,1,"Atlantic City-Hammonton, NJ Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
384,12100,"Atlantic City-Hammonton, NJ Metro Area",2017,269918,5/1/14,2014,2015,1,"Atlantic City-Hammonton, NJ Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
264,12420,"Austin-Round Rock, TX Metro Area",2015,2000860,6/1/14,2014,2015,1,"Austin-Round Rock, TX Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
319,12420,"Austin-Round Rock, TX Metro Area",2016,2056405,6/1/14,2014,2015,1,"Austin-Round Rock, TX Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
385,12420,"Austin-Round Rock, TX Metro Area",2017,2115827,6/1/14,2014,2015,1,"Austin-Round Rock, TX Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
320,12700,"Barnstable Town, MA Metro Area",2016,214276,5/1/15,2015,2016,1,"Barnstable Town, MA Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
386,12700,"Barnstable Town, MA Metro Area",2017,213444,5/1/15,2015,2016,1,"Barnstable Town, MA Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
321,13820,"Birmingham-Hoover, AL Metro Area",2016,1147417,12/1/15,2015,2016,1,"Birmingham-Hoover, AL Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
387,13820,"Birmingham-Hoover, AL Metro Area",2017,1149807,12/1/15,2015,2016,1,"Birmingham-Hoover, AL Metro Area",21,4.4,83298580,253371069,0.328761213,4.4
265,14500,"Boulder, CO Metro Area",2015,319372,2/1/14,2014,2015,1,"Boulder, CO Metro Area",21,4.4,72929208,213074972,0.342270175,4.226337678
322,14500,"Boulder, CO Metro Area",2016,322226,2/1/14,2014,2015,1,"Boulder, CO Metro Area",21,4.4,81851382,240308609,0.340609445,4.246944287
