,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,Proposed TNC Groups
197,10580,"Albany-Schenectady-Troy, NY Metro Area",2017,886188,6/1/17,2017,2018,0,Mid Op-Ex,21
198,31700,"Manchester-Nashua, NH Metro Area",2017,409697,10/1/14,2014,2015,1,Low Op-Ex,22
199,31740,"Manhattan, KS Metro Area",2017,98080,6/1/15,2015,2016,1,Low Op-Ex,22
200,31860,"Mankato-North Mankato, MN Metro Area",2017,100939,3/1/17,2017,2018,0,Low Op-Ex,22
201,32580,"McAllen-Edinburg-Mission, TX Metro Area",2017,860661,7/1/17,2017,2018,0,Low Op-Ex,22
202,32780,"Medford, OR Metro Area",2017,217479,12/1/17,2017,2018,0,Low Op-Ex,22
203,35300,"New Haven-Milford, CT Metro Area",2017,860435,5/1/14,2014,2015,1,Mid Op-Ex,21
204,32900,"Merced, CA Metro Area",2017,272673,11/1/15,2015,2016,1,Low Op-Ex,22
205,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2017,6158824,6/1/14,2014,2015,1,High Op-Ex,9
206,33140,"Michigan City-La Porte, IN Metro Area",2017,110029,5/1/16,2016,2017,1,Low Op-Ex,22
207,33220,"Midland, MI Metro Area",2017,83411,10/1/18,2018,2019,0,Low Op-Ex,22
208,33260,"Midland, TX Metro Area",2017,169643,6/1/16,2016,2017,1,Low Op-Ex,22
209,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2017,854223,5/1/14,2014,2015,1,Mid Op-Ex,21
210,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017,3600618,10/1/12,2012,2013,1,High Op-Ex,18
211,33540,"Missoula, MT Metro Area",2017,117441,8/1/16,2016,2017,1,Low Op-Ex,22
212,33660,"Mobile, AL Metro Area",2017,413955,6/1/15,2015,2016,1,Low Op-Ex,22
213,33700,"Modesto, CA Metro Area",2017,547899,5/1/14,2014,2015,1,Low Op-Ex,22
214,33740,"Monroe, LA Metro Area",2017,178445,9/1/17,2017,2018,0,Low Op-Ex,22
215,33860,"Montgomery, AL Metro Area",2017,373889,2/1/16,2016,2017,1,Low Op-Ex,22
216,34060,"Morgantown, WV Metro Area",2017,138709,7/1/16,2016,2017,1,Low Op-Ex,22
217,34580,"Mount Vernon-Anacortes, WA Metro Area",2017,125619,1/1/18,2018,2019,0,Low Op-Ex,22
218,34620,"Muncie, IN Metro Area",2017,115184,9/1/16,2016,2017,1,Low Op-Ex,22
219,34740,"Muskegon, MI Metro Area",2017,173693,4/1/18,2018,2019,0,Low Op-Ex,22
220,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",2017,464165,8/1/14,2014,2015,1,Low Op-Ex,22
221,34900,"Napa, CA Metro Area",2017,140973,4/1/14,2014,2015,1,Low Op-Ex,22
222,34940,"Naples-Immokalee-Marco Island, FL Metro Area",2017,372880,12/1/14,2014,2015,1,Low Op-Ex,22
223,21340,"El Paso, TX Metro Area",2017,842677,7/1/14,2014,2015,1,Mid Op-Ex,21
224,35100,"New Bern, NC Metro Area",2017,125786,3/1/16,2016,2017,1,,
225,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,840550,2/1/15,2015,2016,1,Mid Op-Ex,21
226,35840,"North Port-Sarasota-Bradenton, FL Metro Area",2017,804690,12/1/14,2014,2015,1,Mid Op-Ex,21
227,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2017,20320876,5/1/11,2011,2012,1,New York,1
228,35660,"Niles-Benton Harbor, MI Metro Area",2017,154259,7/1/18,2018,2019,0,Low Op-Ex,22
229,19380,"Dayton, OH Metro Area",2017,803416,10/1/14,2014,2015,1,Mid Op-Ex,21
