,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,_merge,MNAME_y,Proposed TNC Groups,TNC_TRIPS_PER_PERSON,TRIP_SHARE_2017
46,12580,"Baltimore-Columbia-Towson, MD Metro Area",2017,2808175,1/1/13,2013,2014,1,both,"Baltimore-Columbia-Towson, MD Metro Area",15.0,6.1,0.098
47,12620,"Bangor, ME Metro Area",2016,151806,10/1/15,2015,2016,1,both,"Bangor, ME Metro Area",22.0,2.3,0.198
48,12620,"Bangor, ME Metro Area",2017,151957,10/1/15,2015,2016,1,both,"Bangor, ME Metro Area",22.0,2.3,0.198
49,12700,"Barnstable Town, MA Metro Area",2016,214276,5/1/15,2015,2016,1,both,"Barnstable Town, MA Metro Area",21.0,4.4,0.198
50,12700,"Barnstable Town, MA Metro Area",2017,213444,5/1/15,2015,2016,1,both,"Barnstable Town, MA Metro Area",21.0,4.4,0.198
51,12940,"Baton Rouge, LA Metro Area",2015,830480,7/1/14,2014,2015,1,both,"Baton Rouge, LA Metro Area",22.0,2.3,0.198
52,12940,"Baton Rouge, LA Metro Area",2016,835175,7/1/14,2014,2015,1,both,"Baton Rouge, LA Metro Area",22.0,2.3,0.198
53,12940,"Baton Rouge, LA Metro Area",2017,834159,7/1/14,2014,2015,1,both,"Baton Rouge, LA Metro Area",22.0,2.3,0.198
54,13140,"Beaumont-Port Arthur, TX Metro Area",2017,411339,2/1/16,2016,2017,1,both,"Beaumont-Port Arthur, TX Metro Area",22.0,2.3,0.198
55,13380,"Bellingham, WA Metro Area",2016,216800,11/1/15,2015,2016,1,both,"Bellingham, WA Metro Area",22.0,2.3,0.198
56,13380,"Bellingham, WA Metro Area",2017,221404,11/1/15,2015,2016,1,both,"Bellingham, WA Metro Area",22.0,2.3,0.198
57,13740,"Billings, MT Metro Area",2017,172081,8/1/16,2016,2017,1,both,"Billings, MT Metro Area",22.0,2.3,0.198
58,13820,"Birmingham-Hoover, AL Metro Area",2016,1147417,12/1/15,2015,2016,1,both,"Birmingham-Hoover, AL Metro Area",21.0,4.4,0.198
59,13820,"Birmingham-Hoover, AL Metro Area",2017,1149807,12/1/15,2015,2016,1,both,"Birmingham-Hoover, AL Metro Area",21.0,4.4,0.198
60,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2015,179904,10/1/14,2014,2015,1,both,"Blacksburg-Christiansburg-Radford, VA Metro Area",22.0,2.3,0.198
61,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2016,183411,10/1/14,2014,2015,1,both,"Blacksburg-Christiansburg-Radford, VA Metro Area",22.0,2.3,0.198
62,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2017,181986,10/1/14,2014,2015,1,both,"Blacksburg-Christiansburg-Radford, VA Metro Area",22.0,2.3,0.198
63,14020,"Bloomington, IN Metro Area",2015,165577,8/1/14,2014,2015,1,both,"Bloomington, IN Metro Area",22.0,2.3,0.198
64,14020,"Bloomington, IN Metro Area",2016,166336,8/1/14,2014,2015,1,both,"Bloomington, IN Metro Area",22.0,2.3,0.198
65,14020,"Bloomington, IN Metro Area",2017,167825,8/1/14,2014,2015,1,both,"Bloomington, IN Metro Area",22.0,2.3,0.198
66,14060,"Bloomington, IL Metro Area",2016,187326,3/1/15,2015,2016,1,both,"Bloomington, IL Metro Area",22.0,2.3,0.198
67,14060,"Bloomington, IL Metro Area",2017,186356,3/1/15,2015,2016,1,both,"Bloomington, IL Metro Area",22.0,2.3,0.198
68,14260,"Boise City, ID Metro Area",2015,675800,11/1/14,2014,2015,1,both,"Boise City, ID Metro Area",22.0,2.3,0.198
69,14260,"Boise City, ID Metro Area",2016,690214,11/1/14,2014,2015,1,both,"Boise City, ID Metro Area",22.0,2.3,0.198
70,14260,"Boise City, ID Metro Area",2017,710323,11/1/14,2014,2015,1,both,"Boise City, ID Metro Area",22.0,2.3,0.198
71,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2012,4640802,10/1/11,2011,2012,1,left_only,"Boston-Cambridge-Newton, MA-NH Metro Area",5.0,9.1,0.58
72,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2013,4684299,10/1/11,2011,2012,1,both,"Boston-Cambridge-Newton, MA-NH Metro Area",5.0,9.1,0.58
