,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,TNC_CLUSTER
136,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017,13353907,2/1/12,2012,2013,1,High Op-Ex,8.0
137,10740,"Albuquerque, NM Metro Area",2017,913113,5/1/14,2014,2015,1,Mid Op-Ex,
138,31180,"Lubbock, TX Metro Area",2017,318011,7/1/14,2014,2015,1,Low Op-Ex,
139,31340,"Lynchburg, VA Metro Area",2017,260116,12/1/15,2015,2016,1,Low Op-Ex,
140,31420,"Macon-Bibb County, GA Metro Area",2017,229258,5/1/16,2016,2017,1,Low Op-Ex,
141,31700,"Manchester-Nashua, NH Metro Area",2017,409697,10/1/14,2014,2015,1,Low Op-Ex,
142,31740,"Manhattan, KS Metro Area",2017,98080,6/1/15,2015,2016,1,Low Op-Ex,
143,35300,"New Haven-Milford, CT Metro Area",2017,860435,5/1/14,2014,2015,1,Mid Op-Ex,
144,32900,"Merced, CA Metro Area",2017,272673,11/1/15,2015,2016,1,Low Op-Ex,
145,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2017,6158824,6/1/14,2014,2015,1,High Op-Ex,9.0
146,33140,"Michigan City-La Porte, IN Metro Area",2017,110029,5/1/16,2016,2017,1,Low Op-Ex,
147,33260,"Midland, TX Metro Area",2017,169643,6/1/16,2016,2017,1,Low Op-Ex,
148,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2017,854223,5/1/14,2014,2015,1,Mid Op-Ex,
149,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017,3600618,10/1/12,2012,2013,1,High Op-Ex,18.0
150,33540,"Missoula, MT Metro Area",2017,117441,8/1/16,2016,2017,1,Low Op-Ex,
151,33660,"Mobile, AL Metro Area",2017,413955,6/1/15,2015,2016,1,Low Op-Ex,
152,33700,"Modesto, CA Metro Area",2017,547899,5/1/14,2014,2015,1,Low Op-Ex,
153,33860,"Montgomery, AL Metro Area",2017,373889,2/1/16,2016,2017,1,Low Op-Ex,
154,34060,"Morgantown, WV Metro Area",2017,138709,7/1/16,2016,2017,1,Low Op-Ex,
155,34620,"Muncie, IN Metro Area",2017,115184,9/1/16,2016,2017,1,Low Op-Ex,
156,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",2017,464165,8/1/14,2014,2015,1,Low Op-Ex,
157,34900,"Napa, CA Metro Area",2017,140973,4/1/14,2014,2015,1,Low Op-Ex,
158,34940,"Naples-Immokalee-Marco Island, FL Metro Area",2017,372880,12/1/14,2014,2015,1,Low Op-Ex,
159,21340,"El Paso, TX Metro Area",2017,842677,7/1/14,2014,2015,1,Mid Op-Ex,
160,35100,"New Bern, NC Metro Area",2017,125786,3/1/16,2016,2017,1,,
161,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,840550,2/1/15,2015,2016,1,Mid Op-Ex,
162,35840,"North Port-Sarasota-Bradenton, FL Metro Area",2017,804690,12/1/14,2014,2015,1,Mid Op-Ex,
163,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",2017,20320876,5/1/11,2011,2012,1,New York,1.0
164,19380,"Dayton, OH Metro Area",2017,803416,10/1/14,2014,2015,1,Mid Op-Ex,
165,35980,"Norwich-New London, CT Metro Area",2017,269033,2/1/15,2015,2016,1,Low Op-Ex,
166,36100,"Ocala, FL Metro Area",2017,354353,9/1/15,2015,2016,1,Low Op-Ex,
167,36140,"Ocean City, NJ Metro Area",2017,93553,5/1/15,2015,2016,1,Low Op-Ex,
168,36220,"Odessa, TX Metro Area",2017,157087,10/1/15,2015,2016,1,Low Op-Ex,
169,44700,"Stockton-Lodi, CA Metro Area",2017,745424,9/1/14,2014,2015,1,Mid Op-Ex,
170,10420,"Akron, OH Metro Area",2017,703505,12/1/14,2014,2015,1,Mid Op-Ex,
171,36260,"Ogden-Clearfield, UT Metro Area",2017,666547,3/1/15,2015,2016,1,Mid Op-Ex,
172,36540,"Omaha-Council Bluffs, NE-IA Metro Area",2017,934184,6/1/14,2014,2015,1,Low Op-Ex,
173,36780,"Oshkosh-Neenah, WI Metro Area",2017,170414,11/1/15,2015,2016,1,Low Op-Ex,
