CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TOTAL_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,TRIPS_SCALED,Scale_2,TNC_TRIPS,TNC_TRIPS_PER_CAPITA_CLUSTER
41500,"Salinas, CA Metro Area",2015,433898,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
41620,"Salt Lake City, UT Metro Area",2015,1170266,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
41700,"San Antonio-New Braunfels, TX Metro Area",2015,2381828,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",2015,,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
42100,"Santa Cruz-Watsonville, CA Metro Area",2015,274146,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
44060,"Spokane, WA Metro Area",2015,546807,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
44140,"Springfield, MA Metro Area",2015,631982,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
41180,"St. Louis, MO-IL Metro Area",2015,2812313,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
44700,"Stockton, CA Metro Area",2015,726106,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2015,2975225,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
46060,"Tucson, AZ Metro Area",2015,1010025,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2015,1723351,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
49340,"Worcester, MA Metro Area",2015,935536,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
10420,"Akron, OH Metro Area",2016,702221,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
10740,"Albuquerque, NM Metro Area",2016,913924,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,835652,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
11460,"Ann Arbor, MI Metro Area",2016,364709,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2016,2056405,21,81851382,240308609,0.034537706,4.205089803,4.132032164,344.1924118,338.2125431,0.561718437,190,2.3
