,CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,_merge
84,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2015,1211324.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
85,26900,"Indianapolis-Carmel, IN Metro Area",2015,1988152.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
86,27260,"Jacksonville, FL Metro Area",2015,1449481.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
87,28140,"Kansas City, MO-KS Metro Area",2015,2088269.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
88,28420,"Kennewick-Pasco-Richland, WA Metro Area",2015,279116.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
89,29540,"Lancaster, PA Metro Area",2015,536624.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
90,29620,"Lansing-East Lansing, MI Metro Area",2015,472276.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
91,29820,"Las Vegas-Paradise, NV Metro Area",2015,2114801.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
92,31140,"Louisville, Jefferson County, KY-IN Metro Area",2015,1279335.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
93,31540,"Madison, WI Metro Area",2015,641385.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
94,32820,"Memphis, TN-MS-AR Metro Area",2015,1343572.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
95,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2015,1575747.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
96,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2015,1830298.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
97,35300,"New Haven-Milford, CT Metro Area",2015,859470.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
98,35380,"New Orleans-Metairie-Kenner, LA Metro Area",2015,1262888.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
99,35840,"North Port-Bradenton-Sarasota, FL Metro Area",2015,768918.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
100,36420,"Oklahoma City, OK Metro Area",2015,1358452.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
101,36500,"Olympia, WA Metro Area",2015,269536.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
102,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2015,2387138.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
103,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2015,850536.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
104,38860,"Portland-South Portland-Biddeford, ME Metro Area",2015,526295.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
105,39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",2015,1613070.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
106,39580,"Raleigh-Cary, NC Metro Area",2015,1273568.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
107,39900,"Reno-Sparks, NV Metro Area",2015,451138.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
108,40060,"Richmond, VA Metro Area",2015,1271142.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
109,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2015,4489159.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
110,40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2015,2274194.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
111,41500,"Salinas, CA Metro Area",2015,433898.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
112,41620,"Salt Lake City, UT Metro Area",2015,1170266.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
