CLUSTER_APTA,RAIL_FLAG,Year,CLUSTER_GT,CLUSTER_APTA_HML,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
23,1,2011,6,6,16839786.39839998,17624545.677600004,784759.2792000228,18764334.19178442,1745586.6787559553,5993641.806430381,1.48976466688076,4003091.336884315,3.538210124435137,8.061006119564652,0.1536582116710004,207891.83271023742,241978.57531241138,59123.920780678454,1112027.3334733755,71729.19887177467,-10162.09613766431,1682588.7650108503,215745.24565189515,251006.179738783,61485.80616568345,1153155.2543570518,74698.17478237275,-10503.981939869458,1734729.75013753
23,1,2012,6,6,17624545.677600004,18294539.45440003,669993.776800026,19156376.732067328,392042.54028291185,5993750.817758376,1.4809419224118343,4006407.0312499725,3.621431522017845,8.58139353110879,0.15375084334211997,23569.404252110522,96183.69233818969,24266.88444201707,113041.73130807353,108047.22435381911,774.0833615758627,365883.0200558892,27717.068125242757,99754.48995378413,25992.928070936232,122047.6746670283,115698.80680251456,831.5726632947767,392936.190164271
23,1,2013,6,6,18294539.45440003,18832928.17839998,538388.7239999489,18730202.913196333,-426173.8188709959,5962412.846080952,1.5287861061721422,3980080.9853737513,3.5308369941611355,8.300078762134438,0.15552398838746245,48844.23756055352,-178024.7420510043,-118741.31497994004,-127230.18272887134,-59409.38319932666,11668.051557279163,-422893.3338413529,57279.928751928404,-181369.48933584147,-122235.77916694606,-132426.7833498174,-59488.07875899073,12066.382988715663,-413697.3980417246
23,1,2014,7,8,18832928.17839998,19170693.41589999,-239846.44559998956,19532994.975610726,-231545.10142547917,5916434.2110824445,1.6397407801015151,3978949.3210375877,3.3744974515545136,8.523090875671407,0.1557990007124401,37974.44157462629,-217287.16284448007,147418.9526770779,-234802.10011526165,43112.12610517151,-2930.0153013521785,-226513.75790427826,44926.69828553601,-227187.08701286354,150143.416231923,-238386.20204470062,41898.855461282335,-2940.782346596428,-234494.23477591312
23,1,2015,7,8,19170693.41589999,18326774.588600002,-843918.8272999857,17228296.78468209,-2304698.190928631,5730169.742778039,1.6585132655101682,3938765.4840813125,2.426342554370733,7.787435298914006,0.15863689148492524,167376.5214981442,-702438.1302922952,173400.82806031182,-1597223.8536348983,-166643.82443404867,-4859.820293242639,-2130388.279096075,679694.4847278986,-1376679.6141610122,181369.64194698408,-1639086.7662028559,-146354.2613268253,-3641.6759127767627,-2304248.6381177944
23,1,2016,7,8,18326774.588600002,17550833.046999987,-775941.5416000152,16908592.81628247,-319703.9683996217,5598073.020783445,1.5449584802819938,3893898.0797954914,2.1843947884466313,7.324950756671413,0.1612301145515691,-24333.375141550605,230811.47880436585,43238.60482149099,-491961.2329652905,-108580.44301114927,-701.3300910713242,-351526.2975831821,-19817.278314294625,229644.98135485375,39388.38640692872,-467643.9492984523,-100851.56050292963,-424.5480457504899,-319931.1818176664
23,1,2017,7,8,17550833.046999987,16314430.826200018,-1236402.2207999704,17626785.47183334,718192.6555508721,5608542.465194595,1.593651681154153,3882919.6636466323,2.446688805629204,7.530011610058022,0.16050025707980983,40178.415645659625,170611.8111588475,20587.94390928506,497456.7980856437,42603.62100313872,-859.1179970442993,770579.4718055561,36666.62307835129,137480.9546983866,17173.20932363635,484828.0808483109,42694.9514929726,-651.1638908114951,717705.0859986317
23,1,2018,7,8,16314430.826200018,15237150.03839998,-1077280.7878000373,18313497.72035849,686712.2485251501,5445128.041905751,1.7278094294640147,3866083.439320942,2.767299015554791,7.5401615145952725,0.16027164568657992,-150542.75816682086,169239.44653477633,59469.447548714066,514601.81229045964,3447.6716644507123,-792.0819116735838,595423.5379598744,-152728.92207390646,209516.9834184167,63643.18319852928,559649.1673375906,7318.711670780827,-686.8750262241517,686128.8930404289
24,0,2002,48,48,0.0,186675218.7972,0.0,166257053.208677,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,2003,48,48,186675218.7972,189197937.7618001,2522718.9646000667,175719120.67398238,9462067.46530536,9369070.76981673,1.0598821404420355,2227243.9906226024,1.5475191060048248,6.429496801157392,0.17876241066677548,1526601.2078469703,-981125.953854656,6252654.020187649,5391347.387845019,149925.45771105302,-678994.9006069084,11660407.219129553,2359107.241065176,-2904380.8386305063,5676101.070012347,4890885.021960926,41265.88337736417,-600910.9124803299,8918362.132467072
