COUNTY,Year,LABOR_FORCE,EMPLOYED,UNEMPLOYED
"Dickey County, ND",2017,2506,2462,44
"Divide County, ND",2017,1582,1556,26
"Dunn County, ND",2017,3162,3094,68
"Eddy County, ND",2017,1269,1209,60
"Emmons County, ND",2017,1549,1487,62
"Foster County, ND",2017,1656,1615,41
"Golden Valley County, ND",2017,932,913,19
"Grand Forks County, ND",2017,38943,38074,869
"Grant County, ND",2017,1278,1240,38
"Griggs County, ND",2017,1123,1090,33
"Hettinger County, ND",2017,1475,1446,29
"Kidder County, ND",2017,1362,1313,49
"LaMoure County, ND",2017,2266,2223,43
"Logan County, ND",2017,946,921,25
"McHenry County, ND",2017,3290,3148,142
"McIntosh County, ND",2017,1224,1192,32
"McKenzie County, ND",2017,8148,7943,205
"McLean County, ND",2017,5007,4847,160
"Mercer County, ND",2017,4441,4260,181
"Morton County, ND",2017,16620,16101,519
"Mountrail County, ND",2017,7002,6857,145
"Nelson County, ND",2017,1487,1441,46
"Oliver County, ND",2017,912,874,38
"Pembina County, ND",2017,3518,3369,149
"Pierce County, ND",2017,1880,1820,60
"Ramsey County, ND",2017,5858,5698,160
"Ransom County, ND",2017,2812,2757,55
"Renville County, ND",2017,1269,1236,33
"Richland County, ND",2017,8806,8593,213
"Rolette County, ND",2017,4826,4321,505
"Sargent County, ND",2017,2381,2332,49
"Sheridan County, ND",2017,732,699,33
"Sioux County, ND",2017,1292,1243,49
"Slope County, ND",2017,427,418,9
"Stark County, ND",2017,17973,17481,492
"Steele County, ND",2017,1055,1037,18
"Stutsman County, ND",2017,10947,10686,261
"Towner County, ND",2017,1244,1212,32
"Traill County, ND",2017,4585,4471,114
"Walsh County, ND",2017,5579,5389,190
"Ward County, ND",2017,32515,31446,1069
"Wells County, ND",2017,2140,2070,70
"Williams County, ND",2017,22725,22147,578
"Adams County, OH",2017,10885,10107,778
"Allen County, OH",2017,48547,46134,2413
"Ashland County, OH",2017,26211,24927,1284
"Ashtabula County, OH",2017,44100,41509,2591
"Athens County, OH",2017,28306,26598,1708
"Auglaize County, OH",2017,24667,23760,907
"Belmont County, OH",2017,30322,28409,1913
"Brown County, OH",2017,19475,18365,1110
"Butler County, OH",2017,192228,183735,8493
"Carroll County, OH",2017,13233,12462,771
"Champaign County, OH",2017,19889,19073,816
"Clark County, OH",2017,63607,60534,3073
"Clermont County, OH",2017,105153,100555,4598
"Clinton County, OH",2017,17406,16456,950
"Columbiana County, OH",2017,47627,44801,2826
"Coshocton County, OH",2017,14660,13666,994
"Crawford County, OH",2017,18797,17721,1076
"Cuyahoga County, OH",2017,613582,577971,35611
"Darke County, OH",2017,26262,25164,1098
"Defiance County, OH",2017,18380,17491,889
"Delaware County, OH",2017,107023,103231,3792
"Erie County, OH",2017,38086,35767,2319
"Fairfield County, OH",2017,77017,73734,3283
"Fayette County, OH",2017,14367,13762,605
"Franklin County, OH",2017,681929,654335,27594
"Fulton County, OH",2017,22438,21342,1096
"Gallia County, OH",2017,12266,11458,808
"Geauga County, OH",2017,48982,46660,2322
"Greene County, OH",2017,82385,78889,3496
"Guernsey County, OH",2017,18921,17787,1134
"Hamilton County, OH",2017,410043,392143,17900
"Hancock County, OH",2017,41551,40054,1497
"Hardin County, OH",2017,14333,13627,706
"Harrison County, OH",2017,7124,6700,424
"Henry County, OH",2017,13504,12808,696
"Highland County, OH",2017,17117,16103,1014
"Hocking County, OH",2017,13060,12354,706
"Holmes County, OH",2017,20774,20041,733
"Huron County, OH",2017,28115,26322,1793
"Jackson County, OH",2017,12875,11961,914
"Jefferson County, OH",2017,27784,25750,2034
"Knox County, OH",2017,31278,29877,1401
"Lake County, OH",2017,125637,119226,6411
"Lawrence County, OH",2017,24005,22584,1421
"Licking County, OH",2017,88742,85005,3737
"Logan County, OH",2017,23495,22541,954
"Lorain County, OH",2017,153171,143807,9364
"Lucas County, OH",2017,210138,197815,12323
"Madison County, OH",2017,20578,19781,797
"Mahoning County, OH",2017,105027,97833,7194
"Marion County, OH",2017,28042,26633,1409
"Medina County, OH",2017,96731,92194,4537
"Meigs County, OH",2017,8955,8228,727
"Mercer County, OH",2017,23476,22759,717
"Miami County, OH",2017,53434,51175,2259
"Monroe County, OH",2017,5151,4721,430
"Montgomery County, OH",2017,251455,239227,12228
"Morgan County, OH",2017,6689,6239,450
"Morrow County, OH",2017,16717,15894,823
"Muskingum County, OH",2017,39740,37499,2241
"Noble County, OH",2017,4760,4419,341
"Ottawa County, OH",2017,21179,19765,1414
"Paulding County, OH",2017,8876,8486,390
"Perry County, OH",2017,15874,14919,955
"Pickaway County, OH",2017,26256,25040,1216
"Pike County, OH",2017,10846,10093,753
"Portage County, OH",2017,87366,82986,4380
"Preble County, OH",2017,21162,20223,939
"Putnam County, OH",2017,18864,18197,667
"Richland County, OH",2017,53151,50264,2887
"Ross County, OH",2017,34175,32433,1742
"Sandusky County, OH",2017,31283,29811,1472
"Scioto County, OH",2017,29565,27486,2079
"Seneca County, OH",2017,27359,26070,1289
"Shelby County, OH",2017,24000,23013,987
"Stark County, OH",2017,186975,177280,9695
"Summit County, OH",2017,273014,259247,13767
"Trumbull County, OH",2017,89020,82636,6384
"Tuscarawas County, OH",2017,45348,43084,2264
"Union County, OH",2017,28354,27299,1055
"Van Wert County, OH",2017,14485,13920,565
"Vinton County, OH",2017,5453,5081,372
"Warren County, OH",2017,116273,111506,4767
"Washington County, OH",2017,27268,25572,1696
"Wayne County, OH",2017,61597,59203,2394
"Williams County, OH",2017,18979,18152,827
"Wood County, OH",2017,70572,67482,3090
"Wyandot County, OH",2017,12634,12169,465
"Adair County, OK",2017,8243,7834,409
"Alfalfa County, OK",2017,2960,2882,78
"Atoka County, OK",2017,5197,4923,274
"Beaver County, OK",2017,3040,2962,78
"Beckham County, OK",2017,11312,10877,435
"Blaine County, OK",2017,4627,4498,129
"Bryan County, OK",2017,20419,19635,784
"Caddo County, OK",2017,12395,11851,544
"Canadian County, OK",2017,71185,68688,2497
"Carter County, OK",2017,22499,21482,1017
"Cherokee County, OK",2017,19199,18167,1032
"Choctaw County, OK",2017,5731,5381,350
"Cimarron County, OK",2017,1420,1387,33
"Cleveland County, OK",2017,139982,135082,4900
"Coal County, OK",2017,2278,2156,122
"Comanche County, OK",2017,49005,46854,2151
"Cotton County, OK",2017,2804,2691,113
"Craig County, OK",2017,6103,5838,265
"Creek County, OK",2017,31550,29981,1569
"Custer County, OK",2017,15442,14945,497
"Delaware County, OK",2017,18606,17792,814
"Dewey County, OK",2017,2526,2454,72
"Ellis County, OK",2017,2228,2157,71
"Garfield County, OK",2017,27850,26777,1073
"Garvin County, OK",2017,12654,12128,526
"Grady County, OK",2017,26107,25054,1053
"Grant County, OK",2017,2892,2818,74
"Greer County, OK",2017,2062,1955,107
"Harmon County, OK",2017,1275,1226,49
"Harper County, OK",2017,1877,1820,57
"Haskell County, OK",2017,4373,4086,287
"Hughes County, OK",2017,5415,5115,300
"Jackson County, OK",2017,10861,10452,409
"Jefferson County, OK",2017,2499,2361,138
"Johnston County, OK",2017,5047,4848,199
"Kay County, OK",2017,19246,18210,1036
"Kingfisher County, OK",2017,8725,8484,241
"Kiowa County, OK",2017,3935,3728,207
"Latimer County, OK",2017,3400,3147,253
"Le Flore County, OK",2017,19380,18263,1117
"Lincoln County, OK",2017,15798,15112,686
"Logan County, OK",2017,21700,20903,797
"Love County, OK",2017,6591,6396,195
"McClain County, OK",2017,19257,18580,677
"McCurtain County, OK",2017,14779,13853,926
"McIntosh County, OK",2017,6954,6421,533
"Major County, OK",2017,4026,3899,127
"Marshall County, OK",2017,6584,6278,306
"Mayes County, OK",2017,19269,18359,910
"Murray County, OK",2017,6409,6171,238
"Muskogee County, OK",2017,29597,28095,1502
"Noble County, OK",2017,5766,5577,189
"Nowata County, OK",2017,4622,4373,249
"Okfuskee County, OK",2017,4467,4199,268
"Oklahoma County, OK",2017,378456,363368,15088
"Okmulgee County, OK",2017,15964,14962,1002
"Osage County, OK",2017,20792,19722,1070
"Ottawa County, OK",2017,14506,13879,627
"Pawnee County, OK",2017,7414,7020,394
"Payne County, OK",2017,38944,37561,1383
"Pittsburg County, OK",2017,17791,16858,933
"Pontotoc County, OK",2017,18612,17914,698
"Pottawatomie County, OK",2017,33082,31722,1360
"Pushmataha County, OK",2017,4739,4447,292
"Roger Mills County, OK",2017,1885,1824,61
"Rogers County, OK",2017,44680,42718,1962
"Seminole County, OK",2017,9461,8925,536
"Sequoyah County, OK",2017,16608,15703,905
"Stephens County, OK",2017,18226,17104,1122
"Texas County, OK",2017,9381,9089,292
"Tillman County, OK",2017,3275,3137,138
"Tulsa County, OK",2017,320152,306536,13616
"Wagoner County, OK",2017,37113,35493,1620
"Washington County, OK",2017,23270,22224,1046
"Washita County, OK",2017,5378,5142,236
"Woods County, OK",2017,4929,4802,127
"Woodward County, OK",2017,9456,9066,390
"Baker County, OR",2017,7014,6630,384
"Benton County, OR",2017,48324,46760,1564
"Clackamas County, OR",2017,217621,209536,8085
"Clatsop County, OR",2017,19235,18445,790
"Columbia County, OR",2017,24270,23026,1244
"Coos County, OR",2017,26482,25029,1453
"Crook County, OR",2017,9427,8829,598
"Curry County, OR",2017,8974,8429,545
"Deschutes County, OR",2017,93318,89366,3952
"Douglas County, OR",2017,46254,43786,2468
"Gilliam County, OR",2017,856,820,36
"Grant County, OR",2017,3136,2919,217
"Harney County, OR",2017,3414,3199,215
"Hood River County, OR",2017,14358,13843,515
"Jackson County, OR",2017,103334,98442,4892
"Jefferson County, OR",2017,9983,9423,560
"Josephine County, OR",2017,35201,33317,1884
"Klamath County, OR",2017,29576,27825,1751
"Lake County, OR",2017,3512,3312,200
"Lane County, OR",2017,181623,173565,8058
"Lincoln County, OR",2017,21112,20105,1007
"Linn County, OR",2017,57858,55112,2746
"Malheur County, OR",2017,12557,11974,583
"Marion County, OR",2017,160242,153304,6938
"Morrow County, OR",2017,5759,5506,253
"Multnomah County, OR",2017,453850,437362,16488
"Polk County, OR",2017,39346,37643,1703
"Sherman County, OR",2017,899,857,42
"Tillamook County, OR",2017,11758,11259,499
"Umatilla County, OR",2017,36735,34963,1772
"Union County, OR",2017,11984,11352,632
"Wallowa County, OR",2017,3321,3133,188
"Wasco County, OR",2017,13814,13240,574
"Washington County, OR",2017,320723,309537,11186
"Wheeler County, OR",2017,734,705,29
"Yamhill County, OR",2017,54055,52027,2028
"Adams County, PA",2017,55395,53370,2025
"Allegheny County, PA",2017,645960,615459,30501
"Armstrong County, PA",2017,32333,30345,1988
"Beaver County, PA",2017,84440,79772,4668
"Bedford County, PA",2017,23712,22487,1225
"Berks County, PA",2017,212426,202677,9749
"Blair County, PA",2017,60130,57238,2892
"Bradford County, PA",2017,29296,27796,1500
"Bucks County, PA",2017,340299,325885,14414
"Butler County, PA",2017,98638,94147,4491
"Cambria County, PA",2017,59641,56053,3588
"Cameron County, PA",2017,2194,2044,150
"Carbon County, PA",2017,31478,29732,1746
"Centre County, PA",2017,79074,76165,2909
"Chester County, PA",2017,280974,270916,10058
"Clarion County, PA",2017,17720,16725,995
"Clearfield County, PA",2017,35854,33738,2116
"Clinton County, PA",2017,18347,17226,1121
"Columbia County, PA",2017,33707,31965,1742
"Crawford County, PA",2017,39430,37272,2158
"Cumberland County, PA",2017,130198,125257,4941
"Dauphin County, PA",2017,142345,135959,6386
"Delaware County, PA",2017,294985,281708,13277
"Elk County, PA",2017,16011,15240,771
"Erie County, PA",2017,130693,123191,7502
"Fayette County, PA",2017,57397,53430,3967
"Forest County, PA",2017,1833,1711,122
"Franklin County, PA",2017,76591,73187,3404
"Fulton County, PA",2017,7247,6880,367
"Greene County, PA",2017,16792,15804,988
"Huntingdon County, PA",2017,19793,18612,1181
"Indiana County, PA",2017,39233,36953,2280
"Jefferson County, PA",2017,20564,19422,1142
"Juniata County, PA",2017,12377,11809,568
"Lackawanna County, PA",2017,105903,100481,5422
"Lancaster County, PA",2017,278964,268278,10686
"Lawrence County, PA",2017,40625,38172,2453
"Lebanon County, PA",2017,70730,67820,2910
"Lehigh County, PA",2017,189591,180117,9474
"Luzerne County, PA",2017,158505,149208,9297
"Lycoming County, PA",2017,57834,54612,3222
"McKean County, PA",2017,18162,17057,1105
"Mercer County, PA",2017,50679,47918,2761
"Mifflin County, PA",2017,20671,19575,1096
"Monroe County, PA",2017,82185,77383,4802
"Montgomery County, PA",2017,448130,430898,17232
"Montour County, PA",2017,9102,8753,349
"Northampton County, PA",2017,158561,150806,7755
"Northumberland County, PA",2017,43655,41190,2465
"Perry County, PA",2017,24288,23251,1037
"Philadelphia County, PA",2017,704840,660989,43851
"Pike County, PA",2017,24699,23237,1462
"Potter County, PA",2017,7267,6795,472
"Schuylkill County, PA",2017,66255,62398,3857
"Snyder County, PA",2017,20713,19803,910
"Somerset County, PA",2017,33632,31602,2030
"Sullivan County, PA",2017,2689,2529,160
"Susquehanna County, PA",2017,20584,19612,972
"Tioga County, PA",2017,19110,17974,1136
"Union County, PA",2017,19670,18815,855
"Venango County, PA",2017,22952,21556,1396
"Warren County, PA",2017,19297,18283,1014
"Washington County, PA",2017,106343,100795,5548
"Wayne County, PA",2017,22406,21265,1141
"Westmoreland County, PA",2017,180764,171432,9332
"Wyoming County, PA",2017,13842,13114,728
"York County, PA",2017,234875,224663,10212
"Bristol County, RI",2017,25978,24991,987
"Kent County, RI",2017,90126,86473,3653
"Newport County, RI",2017,44464,42748,1716
"Providence County, RI",2017,324261,308912,15349
"Washington County, RI",2017,68859,66128,2731
"Abbeville County, SC",2017,9949,9491,458
"Aiken County, SC",2017,73902,70869,3033
"Allendale County, SC",2017,2698,2512,186
"Anderson County, SC",2017,89287,85781,3506
"Bamberg County, SC",2017,5133,4749,384
"Barnwell County, SC",2017,7999,7517,482
"Beaufort County, SC",2017,74198,71174,3024
"Berkeley County, SC",2017,99706,95887,3819
"Calhoun County, SC",2017,6729,6377,352
"Charleston County, SC",2017,203385,196266,7119
"Cherokee County, SC",2017,23784,22603,1181
"Chester County, SC",2017,13287,12474,813
"Chesterfield County, SC",2017,21457,20528,929
"Clarendon County, SC",2017,12360,11623,737
"Colleton County, SC",2017,16577,15781,796
"Darlington County, SC",2017,29853,28279,1574
"Dillon County, SC",2017,12434,11722,712
"Dorchester County, SC",2017,74064,71201,2863
"Edgefield County, SC",2017,10565,10083,482
"Fairfield County, SC",2017,9908,9178,730
"Florence County, SC",2017,65299,62339,2960
"Georgetown County, SC",2017,24842,23454,1388
"Greenville County, SC",2017,248036,238980,9056
"Greenwood County, SC",2017,30684,29297,1387
"Hampton County, SC",2017,8100,7740,360
"Horry County, SC",2017,143418,136223,7195
"Jasper County, SC",2017,12002,11558,444
"Kershaw County, SC",2017,29204,27889,1315
"Lancaster County, SC",2017,39324,37491,1833
"Laurens County, SC",2017,29802,28493,1309
"Lee County, SC",2017,6387,6005,382
"Lexington County, SC",2017,148391,143051,5340
"McCormick County, SC",2017,3363,3211,152
"Marion County, SC",2017,12442,11523,919
"Marlboro County, SC",2017,9131,8533,598
"Newberry County, SC",2017,18376,17606,770
"Oconee County, SC",2017,34028,32537,1491
"Orangeburg County, SC",2017,34571,32091,2480
"Pickens County, SC",2017,56145,53823,2322
"Richland County, SC",2017,198673,190203,8470
"Saluda County, SC",2017,8861,8513,348
"Spartanburg County, SC",2017,146335,140441,5894
"Sumter County, SC",2017,43921,41631,2290
"Union County, SC",2017,11504,10882,622
"Williamsburg County, SC",2017,12129,11357,772
"York County, SC",2017,133776,128434,5342
"Aurora County, SD",2017,1523,1481,42
"Beadle County, SD",2017,9389,9131,258
"Bennett County, SD",2017,1112,1065,47
"Bon Homme County, SD",2017,2915,2832,83
"Brookings County, SD",2017,18821,18251,570
"Brown County, SD",2017,20942,20338,604
"Brule County, SD",2017,2480,2408,72
"Buffalo County, SD",2017,708,657,51
"Butte County, SD",2017,5025,4853,172
"Campbell County, SD",2017,832,805,27
"Charles Mix County, SD",2017,3886,3749,137
"Clark County, SD",2017,1884,1801,83
"Clay County, SD",2017,7126,6900,226
"Codington County, SD",2017,15218,14727,491
"Corson County, SD",2017,1422,1365,57
"Custer County, SD",2017,4034,3867,167
"Davison County, SD",2017,11030,10721,309
"Day County, SD",2017,2826,2715,111
"Deuel County, SD",2017,2196,2093,103
"Dewey County, SD",2017,2246,2026,220
"Douglas County, SD",2017,1596,1550,46
"Edmunds County, SD",2017,2113,2056,57
"Fall River County, SD",2017,2979,2863,116
"Faulk County, SD",2017,1100,1067,33
"Grant County, SD",2017,4455,4303,152
"Gregory County, SD",2017,2054,1984,70
"Haakon County, SD",2017,1103,1073,30
"Hamlin County, SD",2017,3149,3039,110
"Hand County, SD",2017,1824,1781,43
"Hanson County, SD",2017,1772,1702,70
"Harding County, SD",2017,727,706,21
"Hughes County, SD",2017,10019,9752,267
"Hutchinson County, SD",2017,3611,3504,107
"Hyde County, SD",2017,685,664,21
"Jackson County, SD",2017,1323,1251,72
"Jerauld County, SD",2017,1140,1113,27
"Jones County, SD",2017,561,545,16
"Kingsbury County, SD",2017,2678,2596,82
"Lake County, SD",2017,6502,6261,241
"Lawrence County, SD",2017,13047,12634,413
"Lincoln County, SD",2017,32957,32168,789
"Lyman County, SD",2017,1747,1662,85
"McCook County, SD",2017,3060,2977,83
"McPherson County, SD",2017,1050,1015,35
"Marshall County, SD",2017,2398,2294,104
"Meade County, SD",2017,13960,13499,461
"Mellette County, SD",2017,764,728,36
"Miner County, SD",2017,1195,1161,34
"Minnehaha County, SD",2017,109291,106293,2998
"Moody County, SD",2017,3983,3841,142
"Oglala Lakota County, SD",2017,3622,3216,406
"Pennington County, SD",2017,55714,53895,1819
"Perkins County, SD",2017,1592,1548,44
"Potter County, SD",2017,1122,1086,36
"Roberts County, SD",2017,4820,4596,224
"Sanborn County, SD",2017,1175,1135,40
"Spink County, SD",2017,3231,3125,106
"Stanley County, SD",2017,1865,1805,60
"Sully County, SD",2017,835,809,26
"Todd County, SD",2017,3137,2935,202
"Tripp County, SD",2017,3037,2954,83
"Turner County, SD",2017,4673,4527,146
"Union County, SD",2017,8042,7760,282
"Walworth County, SD",2017,2235,2126,109
"Yankton County, SD",2017,11608,11281,327
"Ziebach County, SD",2017,938,890,48
"Anderson County, TN",2017,33844,32504,1340
"Bedford County, TN",2017,20509,19696,813
"Benton County, TN",2017,6714,6349,365
"Bledsoe County, TN",2017,4293,4039,254
"Blount County, TN",2017,61558,59378,2180
"Bradley County, TN",2017,50809,48948,1861
"Campbell County, TN",2017,14603,13839,764
"Cannon County, TN",2017,6192,5971,221
"Carroll County, TN",2017,11922,11305,617
"Carter County, TN",2017,23849,22760,1089
"Cheatham County, TN",2017,20823,20182,641
"Chester County, TN",2017,8325,7992,333
"Claiborne County, TN",2017,12694,12092,602
"Clay County, TN",2017,3030,2874,156
"Cocke County, TN",2017,14587,13818,769
"Coffee County, TN",2017,24920,24002,918
"Crockett County, TN",2017,6951,6662,289
"Cumberland County, TN",2017,23363,22271,1092
"Davidson County, TN",2017,384243,373435,10808
"Decatur County, TN",2017,4665,4421,244
"DeKalb County, TN",2017,7655,7285,370
"Dickson County, TN",2017,25499,24639,860
"Dyer County, TN",2017,16073,15289,784
"Fayette County, TN",2017,18567,17819,748
"Fentress County, TN",2017,7081,6758,323
"Franklin County, TN",2017,19816,19061,755
"Gibson County, TN",2017,21252,20273,979
"Giles County, TN",2017,15523,14990,533
"Grainger County, TN",2017,9309,8911,398
"Greene County, TN",2017,30314,28920,1394
"Grundy County, TN",2017,4824,4581,243
"Hamblen County, TN",2017,27264,26153,1111
"Hamilton County, TN",2017,176358,169878,6480
"Hancock County, TN",2017,2043,1924,119
"Hardeman County, TN",2017,9203,8721,482
"Hardin County, TN",2017,10384,9891,493
"Hawkins County, TN",2017,23638,22624,1014
"Haywood County, TN",2017,7788,7379,409
"Henderson County, TN",2017,11877,11262,615
"Henry County, TN",2017,13959,13321,638
"Hickman County, TN",2017,10825,10451,374
"Houston County, TN",2017,3197,3009,188
"Humphreys County, TN",2017,8780,8397,383
"Jackson County, TN",2017,4591,4344,247
"Jefferson County, TN",2017,23871,22900,971
"Johnson County, TN",2017,7585,7286,299
"Knox County, TN",2017,237135,229559,7576
"Lake County, TN",2017,1838,1735,103
"Lauderdale County, TN",2017,9390,8844,546
"Lawrence County, TN",2017,17765,16979,786
"Lewis County, TN",2017,4939,4712,227
"Lincoln County, TN",2017,16268,15734,534
"Loudon County, TN",2017,22614,21776,838
"McMinn County, TN",2017,22641,21643,998
"McNairy County, TN",2017,8533,8049,484
"Macon County, TN",2017,10697,10327,370
"Madison County, TN",2017,48027,46125,1902
"Marion County, TN",2017,12028,11439,589
"Marshall County, TN",2017,15073,14543,530
"Maury County, TN",2017,45963,44460,1503
"Meigs County, TN",2017,4992,4729,263
"Monroe County, TN",2017,19626,18832,794
"Montgomery County, TN",2017,81891,78513,3378
"Moore County, TN",2017,3475,3366,109
"Morgan County, TN",2017,7794,7410,384
"Obion County, TN",2017,12203,11528,675
"Overton County, TN",2017,9514,9118,396
"Perry County, TN",2017,3234,3077,157
"Pickett County, TN",2017,2444,2337,107
"Polk County, TN",2017,7383,7044,339
"Putnam County, TN",2017,33950,32648,1302
"Rhea County, TN",2017,13217,12355,862
"Roane County, TN",2017,22904,21887,1017
"Robertson County, TN",2017,35931,34694,1237
"Rutherford County, TN",2017,171375,166350,5025
"Scott County, TN",2017,8158,7740,418
"Sequatchie County, TN",2017,5956,5653,303
"Sevier County, TN",2017,52088,49987,2101
"Shelby County, TN",2017,436811,417698,19113
"Smith County, TN",2017,8907,8584,323
"Stewart County, TN",2017,5179,4899,280
"Sullivan County, TN",2017,69907,67068,2839
"Sumner County, TN",2017,95687,92806,2881
"Tipton County, TN",2017,27567,26339,1228
"Trousdale County, TN",2017,4744,4579,165
"Unicoi County, TN",2017,7044,6663,381
"Union County, TN",2017,7369,7044,325
"Van Buren County, TN",2017,2086,1997,89
"Warren County, TN",2017,17135,16455,680
"Washington County, TN",2017,59444,57186,2258
"Wayne County, TN",2017,6117,5793,324
"Weakley County, TN",2017,15749,14978,771
"White County, TN",2017,11890,11414,476
"Williamson County, TN",2017,119438,116193,3245
"Wilson County, TN",2017,70887,68767,2120
"Anderson County, TX",2017,23284,22436,848
"Andrews County, TX",2017,9011,8733,278
"Angelina County, TX",2017,36687,34821,1866
"Aransas County, TX",2017,10344,9638,706
"Archer County, TX",2017,4146,4007,139
"Armstrong County, TX",2017,919,895,24
"Atascosa County, TX",2017,20965,20072,893
"Austin County, TX",2017,13819,13210,609
"Bailey County, TX",2017,2665,2550,115
"Bandera County, TX",2017,9750,9398,352
"Bastrop County, TX",2017,40239,38795,1444
"Baylor County, TX",2017,1591,1537,54
"Bee County, TX",2017,9980,9334,646
"Bell County, TX",2017,142270,136208,6062
"Bexar County, TX",2017,925234,892466,32768
"Blanco County, TX",2017,6235,6063,172
"Borden County, TX",2017,323,312,11
"Bosque County, TX",2017,8205,7878,327
"Bowie County, TX",2017,39318,37517,1801
"Brazoria County, TX",2017,173464,164254,9210
"Brazos County, TX",2017,113158,109668,3490
"Brewster County, TX",2017,3972,3833,139
"Briscoe County, TX",2017,555,531,24
"Brooks County, TX",2017,2435,2234,201
"Brown County, TX",2017,16108,15484,624
"Burleson County, TX",2017,8001,7665,336
"Burnet County, TX",2017,22297,21589,708
"Caldwell County, TX",2017,18528,17802,726
"Calhoun County, TX",2017,10508,9901,607
"Callahan County, TX",2017,5917,5702,215
"Cameron County, TX",2017,166426,154866,11560
"Camp County, TX",2017,5033,4748,285
"Carson County, TX",2017,3033,2935,98
"Cass County, TX",2017,12206,11479,727
"Castro County, TX",2017,3398,3285,113
"Chambers County, TX",2017,18942,17710,1232
"Cherokee County, TX",2017,20801,19857,944
"Childress County, TX",2017,2913,2827,86
"Clay County, TX",2017,4909,4736,173
"Cochran County, TX",2017,1134,1082,52
"Coke County, TX",2017,1402,1350,52
"Coleman County, TX",2017,3071,2934,137
"Collin County, TX",2017,532717,514292,18425
"Collingsworth County, TX",2017,1168,1126,42
"Colorado County, TX",2017,9758,9368,390
"Comal County, TX",2017,68868,66551,2317
"Comanche County, TX",2017,5310,5114,196
"Concho County, TX",2017,1214,1163,51
"Cooke County, TX",2017,18873,18193,680
"Coryell County, TX",2017,24426,23356,1070
"Cottle County, TX",2017,520,498,22
"Crane County, TX",2017,1595,1511,84
"Crockett County, TX",2017,1681,1613,68
"Crosby County, TX",2017,2549,2442,107
"Culberson County, TX",2017,925,891,34
"Dallam County, TX",2017,4064,3977,87
"Dallas County, TX",2017,1328381,1276261,52120
"Dawson County, TX",2017,4636,4411,225
"Deaf Smith County, TX",2017,8359,8104,255
"Delta County, TX",2017,2550,2464,86
"Denton County, TX",2017,471677,455924,15753
"DeWitt County, TX",2017,9592,9172,420
"Dickens County, TX",2017,681,648,33
"Dimmit County, TX",2017,6496,6167,329
"Donley County, TX",2017,1505,1451,54
"Duval County, TX",2017,4807,4438,369
"Eastland County, TX",2017,7950,7610,340
"Ector County, TX",2017,78647,75421,3226
"Edwards County, TX",2017,907,878,29
"Ellis County, TX",2017,87895,84842,3053
"El Paso County, TX",2017,354541,338149,16392
"Erath County, TX",2017,20708,20001,707
"Falls County, TX",2017,6655,6373,282
"Fannin County, TX",2017,15969,15435,534
"Fayette County, TX",2017,12591,12189,402
"Fisher County, TX",2017,1706,1645,61
"Floyd County, TX",2017,2705,2557,148
"Foard County, TX",2017,594,574,20
"Fort Bend County, TX",2017,376029,358547,17482
"Franklin County, TX",2017,4549,4338,211
"Freestone County, TX",2017,6763,6332,431
"Frio County, TX",2017,9374,9005,369
"Gaines County, TX",2017,9258,8977,281
"Galveston County, TX",2017,162154,153618,8536
"Garza County, TX",2017,2123,2053,70
"Gillespie County, TX",2017,13149,12808,341
"Glasscock County, TX",2017,710,691,19
"Goliad County, TX",2017,3279,3118,161
"Gonzales County, TX",2017,9383,9056,327
"Gray County, TX",2017,8242,7810,432
"Grayson County, TX",2017,62011,59810,2201
"Gregg County, TX",2017,57465,54497,2968
"Grimes County, TX",2017,10896,10313,583
"Guadalupe County, TX",2017,78527,75907,2620
"Hale County, TX",2017,12527,11886,641
"Hall County, TX",2017,1130,1061,69
"Hamilton County, TX",2017,3625,3482,143
"Hansford County, TX",2017,2865,2792,73
"Hardeman County, TX",2017,1660,1594,66
"Hardin County, TX",2017,25330,23776,1554
"Harris County, TX",2017,2268057,2153104,114953
"Harrison County, TX",2017,29495,27954,1541
"Hartley County, TX",2017,2944,2886,58
"Haskell County, TX",2017,2440,2323,117
"Hays County, TX",2017,110836,107343,3493
"Hemphill County, TX",2017,2318,2260,58
"Henderson County, TX",2017,35677,34187,1490
"Hidalgo County, TX",2017,343347,317719,25628
"Hill County, TX",2017,16187,15550,637
"Hockley County, TX",2017,11274,10855,419
"Hood County, TX",2017,25952,24860,1092
"Hopkins County, TX",2017,17188,16569,619
"Houston County, TX",2017,10398,9947,451
"Howard County, TX",2017,13234,12670,564
"Hudspeth County, TX",2017,1666,1570,96
"Hunt County, TX",2017,41427,39774,1653
"Hutchinson County, TX",2017,9409,8840,569
"Irion County, TX",2017,757,734,23
"Jack County, TX",2017,3958,3810,148
"Jackson County, TX",2017,7382,7087,295
"Jasper County, TX",2017,13463,12459,1004
"Jeff Davis County, TX",2017,1068,1034,34
"Jefferson County, TX",2017,107725,99776,7949
"Jim Hogg County, TX",2017,1908,1768,140
"Jim Wells County, TX",2017,16672,15407,1265
"Johnson County, TX",2017,78170,75204,2966
"Jones County, TX",2017,5655,5354,301
"Karnes County, TX",2017,6453,6229,224
"Kaufman County, TX",2017,60398,58255,2143
"Kendall County, TX",2017,21117,20467,650
"Kenedy County, TX",2017,242,234,8
"Kent County, TX",2017,454,442,12
