CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,TSD_WA_EMP_PCT_LEHD,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_POW,YEARS_SINCE_TNC_RAIL_POW,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,TSD_WA_EMP_PCT_LEHD_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_POW_FAC,YEARS_SINCE_TNC_RAIL_POW_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
2.0,0,2010,1460,834611629.0000001,961216518.0,908879793.0,898704146.9999999,-12484167.99999988,907030554.8652349,20789735.22456447,11662173.301157078,1.0147581535574084,2506860.1969974237,41.66216088123032,3.269849533510993,29669.122375049657,7.925990832461792,4.027879329848159,0.0,0.0,-9075549.820388334,677189.7000092797,3187116.1634153672,1675061.660646157,19691097.208258327,2884981.7751483237,2274592.674954101,-7617.695979756193,0.0,0.0,21306871.666063473,21742473.008962125,-34226641.00896201,2308521.999999999,-10175645.999999883
2.0,0,2011,1460,834611629.0000001,961216518.0,898704146.9999999,936058350.9999999,37354203.999999985,936865847.5449691,29835292.679734007,11462779.635000493,0.9974284523821851,2526455.2832451183,40.869059442528894,4.0111020093807,29100.830016762302,8.21325535454527,4.1277261650759955,0.0,0.0,-8780537.264341325,3763408.3958837213,2591881.033166814,-906773.3969896212,27548930.614634223,3527005.672173188,2341741.613103465,-993024.6106893915,0.0,0.0,29092632.05694107,29066460.08523313,8287743.914766865,0.0,37354203.999999985
2.0,0,2012,1460,834611629.0000001,961216518.0,936058350.9999999,961216517.9999998,25158166.999999605,935066798.0804119,-1799049.4645569585,11264859.97852807,0.992574394229256,2552570.2182420236,38.31273754914378,4.025635842023475,28874.30950212684,8.25691541066462,4.125146976115281,0.0,0.0,-5017553.065827762,12234.456801561493,3500841.0734640514,-2966575.708949307,526815.3778441008,1771565.6078335952,263899.2897907523,24805.338481490624,0.0,0.0,-1883967.6305615143,-1937663.577221535,27095830.577221155,0.0,25158166.999999605
2.0,0,2013,1460,834611629.0000001,961216518.0,961216517.9999998,943429917.9999999,-17786599.999999646,928916867.1423838,-6149930.9380280115,11263611.05969423,1.02084820166258,2586254.4538100096,38.1413645671885,3.8688140678341774,29012.009098915678,8.061410663150488,4.209983574408115,0.0,0.0,4418674.983402999,-7285718.658499315,6018611.039232969,-230702.40842122585,-5744710.816848137,-833098.195055544,-1693413.8567473986,-589118.8720431492,0.0,0.0,-5939476.784978805,-5895352.928029235,-11891247.071970414,0.0,-17786599.999999646
2.0,0,2014,1460,834611629.0000001,961216518.0,943429917.9999999,939315734.0,-4114183.9999997607,935458324.389965,6541457.247581208,11419119.683224887,1.0016930398073778,2619700.4193235864,37.84270507793493,3.648912589689066,29100.59214070388,8.10393323624538,4.286909931253786,0.16161767259535742,0.0,9920538.752511363,3238151.423643179,4533950.282244232,-383711.6828666229,-8129750.297170725,-638257.6748590665,348283.0450044552,-740069.1572061204,-1545753.1128184847,0.0,6603381.5784822125,6535204.758997998,-10649388.758997757,0.0,-4114183.9999997607
2.0,0,2015,1460,834611629.0000001,961216518.0,939315734.0,913699509.0000002,-25616225.000000145,896385406.6615067,-39072917.72845815,11782498.880544942,1.0041721746130894,2653957.930823444,37.644156968011536,2.6811130935646244,30303.426469331953,7.89858692563221,4.435976714625912,1.1346213987273184,0.0,19569226.693026535,-1826612.599240194,4442657.379304189,-224737.2472999655,-40691545.52328908,-7111905.426787688,-1910128.1619979981,-1285213.0312911256,-9594615.859781485,0.0,-38632873.7773568,-39082797.41288848,13466572.412888331,0.0,-25616225.000000145
2.0,0,2016,1460,834611629.0000001,961216518.0,913699509.0000002,871357915.0,-42341593.999999925,874836866.8299682,-21548539.831538692,12159503.951854233,1.0184609172565577,2686779.490681187,37.09258851364707,2.375580169433513,31096.219490803018,7.7279764475579835,4.946688749888003,2.8483291613415673,0.0,18789527.028680652,-3354217.2986376258,4138563.169283266,-734600.015736449,-14637257.436415974,-4357014.076465106,-1192912.4451560706,-4271709.561344073,-16611907.968827449,0.0,-22231528.604618832,-22315106.811367314,-20026487.188632645,0.0,-42341593.999999925
2.0,0,2017,1460,834611629.0000001,961216518.0,871357915.0,831552342.0000001,-39805573.00000009,867007909.356172,-4334353.908538649,12281198.976827214,1.0133404202490515,2723302.8340536105,36.66245229633789,2.5871111280765544,31229.15029256711,7.447846200594936,5.1713650493599825,5.080509342290575,0.0,5762870.105395107,2597707.4487429163,4196144.583829754,-242237.04532446223,10053215.696482748,-853148.8344606266,-2488256.925503066,-1813163.6649312847,-20727379.97663611,0.0,-3798447.1988733243,-4115344.228347049,-35481574.77165304,0.0,-39596919.00000009
2.0,0,2018,1460,834611629.0000001,961216518.0,831552342.0000001,809531783.0000001,-22020558.999999903,870645027.6619098,-738252.6850702548,12605880.249967996,1.0085579264681765,2755043.820597202,37.19909309167469,2.8661268903790953,31624.666409858393,7.199429888269627,5.46755028277949,7.7762975151386,0.0,10663286.193862945,3493019.441255631,3642862.2606523484,367796.95585119654,11680201.358509524,-2026759.2202530792,-2019459.1205958829,-2253994.541785692,-23945659.11318361,0.0,-873839.5775380672,-1254385.6034860301,-20752066.39651387,0.0,-22006451.999999903
2.0,1,2002,131,47103514.99999999,65733970.0,0.0,47103514.99999999,0.0,40951742.0112326,0.0,2988066.6864974704,1.2244613250611416,2748238.41346597,35.296873781256664,1.9586372174560647,35513.76978510316,7.6754355225931645,3.550166844236571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47103514.99999999,47103514.99999999
