,CBSA,MNAME,Mode,Year,Mecha_Failures,Other_Failures,Total_Failures,MDBF_Exclude,MDBF_Notes
363,12540,"Bakersfield-Delano, CA Metro Area",Bus,2008,295,329,624,0,
364,12540,"Bakersfield-Delano, CA Metro Area",Bus,2009,378,288,666,0,
365,12540,"Bakersfield-Delano, CA Metro Area",Bus,2010,428,311,739,0,
366,12540,"Bakersfield-Delano, CA Metro Area",Bus,2011,370,277,647,0,
367,12540,"Bakersfield-Delano, CA Metro Area",Bus,2012,276,188,464,0,
368,12540,"Bakersfield-Delano, CA Metro Area",Bus,2013,250,179,429,0,
369,12540,"Bakersfield-Delano, CA Metro Area",Bus,2014,320,212,532,0,
370,12540,"Bakersfield-Delano, CA Metro Area",Bus,2015,253,168,421,0,
371,12540,"Bakersfield-Delano, CA Metro Area",Bus,2016,331,85,416,0,
372,12540,"Bakersfield-Delano, CA Metro Area",Bus,2017,331,193,524,0,
373,12540,"Bakersfield-Delano, CA Metro Area",Bus,2018,461,184,645,0,
374,12580,"Baltimore-Towson, MD Metro Area",Bus,2002,3792,0,3792,0,
375,12580,"Baltimore-Towson, MD Metro Area",Bus,2003,4424,0,4424,1,Other not reported
376,12580,"Baltimore-Towson, MD Metro Area",Bus,2004,3284,0,3284,1,Other not reported
377,12580,"Baltimore-Towson, MD Metro Area",Bus,2005,4257,0,4257,1,Other not reported
378,12580,"Baltimore-Towson, MD Metro Area",Bus,2006,3504,0,3504,1,Other not reported
379,12580,"Baltimore-Towson, MD Metro Area",Bus,2007,3299,0,3299,1,Other not reported
380,12580,"Baltimore-Towson, MD Metro Area",Bus,2008,3855,0,3855,1,Other not reported
381,12580,"Baltimore-Towson, MD Metro Area",Bus,2009,4788,0,4788,1,Other not reported
382,12580,"Baltimore-Towson, MD Metro Area",Bus,2010,3768,0,3768,1,Other not reported
383,12580,"Baltimore-Towson, MD Metro Area",Bus,2011,4514,0,4514,1,Other not reported
384,12580,"Baltimore-Towson, MD Metro Area",Bus,2012,3108,14,3122,1,Other not reported
