CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
2.0,0,2018,1460,961216517.9999998,961216518.0,831552342.0000001,809531783.0000001,-22020558.999999903,828556404.0308415,-13889162.850206757,12308198.121255089,0.9803018344021154,2690989.920838016,2.8694868240289635,31442.402042136717,7.110095173530923,5.498745105236528,0.0,0.0,3.8121893864499734,0.0,0.0,0.0,0.0,8288775.207292875,3183760.0778961526,1167990.3348886142,8583525.84587391,-374169.05646247894,-198458.05038340777,-1945526.9616266221,0.0,0.0,-32138787.22749168,0.0,0.0,0.0,0.0,-13432889.830012642,-13922852.736746252,-8097706.263253652,0.0,-22020558.999999903
2.0,1,2012,358,85082647.00000003,85082647.0,0.0,85082647.00000003,0.0,82744779.74047896,0.0,4167496.3639548044,1.2364869160122451,2757483.336761021,3.995737503286658,28884.932686625518,8.227106473544481,4.353356387701478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85082647.00000003,85082647.00000003
2.0,1,2013,358,85082647.00000003,85082647.0,85082647.00000003,89235247.99999997,4152600.9999999413,86585442.16761059,3840662.42713162,5114360.314117018,1.3226646951851653,2792387.5603109626,3.845494409129043,29489.14128080946,8.064562723818408,4.36762189239364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5718945.3366796225,-1501799.7885706304,130870.25138654374,-358791.2300533223,-62770.838182245185,-13313.51646909339,-9320.428500642258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903819.7862902326,3782663.0653812643,369937.9346186765,0.0,4152600.9999999413
2.0,1,2014,358,85082647.00000003,85082647.0,89235247.99999997,87881509.99999999,-1353737.9999999779,87293867.54653242,708425.378921851,5163144.701906068,1.3365157391066982,2819795.496254806,3.639849178178483,29537.006125996293,8.04191647293249,4.42843376158713,0.0,0.0,0.0,0.0,0.0,0.0,0.24232390184099442,1292498.5776517077,87527.62589179323,111443.29898414103,-535085.9855257927,-8160.231750719708,-1051.1451131306817,-46391.57301717592,0.0,0.0,0.0,0.0,0.0,0.0,-97147.83196015688,803632.7351606662,786231.1226121684,-2139969.1226121467,0.0,-1353737.9999999779
2.0,1,2015,358,85082647.00000003,85082647.0,87881509.99999999,86693927.00000003,-1187582.999999972,84051876.30723509,-3241991.2392973294,5243101.272462981,1.3623520235606434,2850813.86161334,2.6718243666725603,31080.818248962085,7.83186368954882,4.620080279119666,0.0,0.0,0.0,0.0,0.0,0.0,1.1573764741945558,642329.8667977763,-549937.5464494346,122684.13942698884,-2840369.7332285102,-161836.02183291205,-18208.47390220704,-134197.59707427886,0.0,0.0,0.0,0.0,0.0,0.0,-385026.6103041708,-3324561.976566748,-3292483.7682149466,2104900.768214975,0.0,-1187582.999999972
2.0,1,2016,358,85082647.00000003,85082647.0,86693927.00000003,85389957.00000003,-1303970.0000000012,84713170.13164167,661293.8244065689,5335123.003024172,1.3092021085042465,2874655.906975686,2.366784417620434,31739.269045884867,7.492307614265927,5.281513594658144,0.0,0.0,0.0,0.0,0.0,0.0,2.157376474194556,1562249.0882874012,1014110.0877718572,102303.86489017826,-1029531.3976328515,-61583.447072430165,-26178.053662915696,-452042.8315491657,0.0,0.0,0.0,0.0,0.0,0.0,-415034.64477582177,694292.666256252,673171.2781685251,-1977141.2781685265,0.0,-1303970.0000000014
2.0,1,2017,358,85082647.00000003,85082647.0,85389957.00000003,83224405.99999999,-2165551.00000004,85125831.7621521,412661.63051042653,5336562.16269986,1.3248409391162865,2899501.187861686,2.584128717006183,31565.316496371583,7.287950459040138,5.578267014894353,0.0,0.0,0.0,0.0,0.0,0.0,3.1573764741945554,382802.25988033286,-212735.49368545288,106176.33629712246,748395.6706413672,12667.782502245029,-20417.150165166724,-221701.50593630967,0.0,0.0,0.0,0.0,0.0,0.0,-408792.0768765924,386395.82265754597,409888.9093109371,-2575439.9093109774,0.0,-2165551.00000004
2.0,1,2018,358,85082647.00000003,85082647.0,83224405.99999999,81764133.00000003,-1460272.9999999474,87533335.78870974,2407504.026557645,5364819.047439767,1.3368044680515538,2923146.826633889,2.875629692268507,31711.860959994003,7.055500652089491,5.9661904089561295,0.0,0.0,0.0,0.0,0.0,0.0,4.157376474194556,1585601.2813824122,293249.8104288329,92967.65423536564,913720.1909668867,-16623.634730801114,-20861.524111112187,-274078.6559084807,0.0,0.0,0.0,0.0,0.0,0.0,-398424.8144727456,2175550.3077903586,2382339.26315438,-3842612.2631543274,0.0,-1460272.9999999474
3.0,0,2012,4323,308782118.99999994,308782119.0,0.0,308782118.99999994,0.0,308421948.7738817,0.0,1961685.631684227,0.7880571115298317,596588.1345229391,4.000780117453949,26016.398599391174,7.375233331629542,3.877501695945029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308782118.99999994,308782118.99999994
3.0,0,2013,4323,308782118.99999994,308782119.0,308782118.99999994,305945778.0,-2836340.999999876,303491777.8024592,-4930170.971422522,1972380.6281413464,0.8612109269314524,606175.7078837455,3.8506230612142396,26029.55828962817,7.401457958050373,3.7851277440712168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241698.7081913545,-5319888.085640664,477142.8475626757,-1301903.6381325917,-5864.489132671957,7981.6229146554315,234541.69256446869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4666291.34167277,-4662304.936622846,1825963.9366229721,0.0,-2836340.999999876
