,CBSA,MNAME,Mode,Year,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE,UBER_REV_SCALED
98,12940,"Baton Rouge, LA Metro Area",Bus,2018,1,4,11270,25.325842696629213
99,13020,"Bay City, MI Metro Area",Bus,2017,1,0,7932,1.0
100,13020,"Bay City, MI Metro Area",Bus,2018,1,1,11270,1.4208270297528995
101,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2015,1,0,1690,1.0
102,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2016,1,1,4964,2.9372781065088756
103,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2017,1,2,7932,4.693491124260355
104,13140,"Beaumont-Port Arthur, TX Metro Area",Bus,2018,1,3,11270,6.668639053254438
105,13380,"Bellingham, WA Metro Area",Bus,2015,1,0,1690,1.0
106,13380,"Bellingham, WA Metro Area",Bus,2016,1,1,4964,2.9372781065088756
107,13380,"Bellingham, WA Metro Area",Bus,2017,1,2,7932,4.693491124260355
108,13380,"Bellingham, WA Metro Area",Bus,2018,1,3,11270,6.668639053254438
109,13740,"Billings, MT Metro Area",Bus,2016,1,0,4964,1.0
110,13740,"Billings, MT Metro Area",Bus,2017,1,1,7932,1.5979049153908138
111,13740,"Billings, MT Metro Area",Bus,2018,1,2,11270,2.2703464947622884
112,13780,"Binghamton, NY Metro Area",Bus,2015,1,0,1690,1.0
113,13780,"Binghamton, NY Metro Area",Bus,2016,1,1,4964,2.9372781065088756
114,13780,"Binghamton, NY Metro Area",Bus,2017,1,2,7932,4.693491124260355
115,13780,"Binghamton, NY Metro Area",Bus,2018,1,3,11270,6.668639053254438
116,13820,"Birmingham-Hoover, AL Metro Area",Bus,2015,1,0,1690,1.0
117,13820,"Birmingham-Hoover, AL Metro Area",Bus,2016,1,1,4964,2.9372781065088756
118,13820,"Birmingham-Hoover, AL Metro Area",Bus,2017,1,2,7932,4.693491124260355
119,13820,"Birmingham-Hoover, AL Metro Area",Bus,2018,1,3,11270,6.668639053254438
120,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2014,1,0,445,1.0
121,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2015,1,1,1690,3.797752808988764
122,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2016,1,2,4964,11.155056179775281
123,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2017,1,3,7932,17.824719101123595
124,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Bus,2018,1,4,11270,25.325842696629213
125,14020,"Bloomington, IN Metro Area",Bus,2014,1,0,445,1.0
126,14020,"Bloomington, IN Metro Area",Bus,2015,1,1,1690,3.797752808988764
127,14020,"Bloomington, IN Metro Area",Bus,2016,1,2,4964,11.155056179775281
128,14020,"Bloomington, IN Metro Area",Bus,2017,1,3,7932,17.824719101123595
129,14020,"Bloomington, IN Metro Area",Bus,2018,1,4,11270,25.325842696629213
130,14060,"Bloomington-Normal, IL Metro Area",Bus,2015,1,0,1690,1.0
131,14060,"Bloomington-Normal, IL Metro Area",Bus,2016,1,1,4964,2.9372781065088756
132,14060,"Bloomington-Normal, IL Metro Area",Bus,2017,1,2,7932,4.693491124260355
133,14060,"Bloomington-Normal, IL Metro Area",Bus,2018,1,3,11270,6.668639053254438
134,14260,"Boise City-Nampa, ID Metro Area",Bus,2014,1,0,445,1.0
135,14260,"Boise City-Nampa, ID Metro Area",Bus,2015,1,1,1690,3.797752808988764
136,14260,"Boise City-Nampa, ID Metro Area",Bus,2016,1,2,4964,11.155056179775281
137,14260,"Boise City-Nampa, ID Metro Area",Bus,2017,1,3,7932,17.824719101123595
138,14260,"Boise City-Nampa, ID Metro Area",Bus,2018,1,4,11270,25.325842696629213
139,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2012,1,0,15,1.0
140,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2013,1,1,103,6.866666666666666
141,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2014,1,2,445,29.666666666666668
142,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2015,1,3,1690,112.66666666666667
143,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2016,1,4,4964,330.93333333333334
144,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Bus,2017,1,5,7932,528.8
