CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT_LEHD,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HIMIDNY_BUS,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS,PER_CAPITA_TNC_TRIPS_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_LEHD_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HIMIDNY_BUS_FAC,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
3.0,0,2010,4519,233966460.15750003,282138351.6146,284999038.803,3024508.188400007,287608429.3829603,9436360.406250926,1947002.919313068,0.8498338003469483,599725.5218969773,3.2360194898549626,26488.378144430622,7.345032199711044,13.38340200687704,4.0758029693171025,0.0,0.0,0.0,0.028812116896849625,0.0,1133396.818040156,1663579.268701643,527930.9688396915,7943365.022268076,-420260.35202046833,502471.9727004498,-1147370.5329338093,-280292.6232811582,0.0,0.0,0.0,-87583.98905856941,0.0,9835236.553256012,9884656.635006629,-6860148.446606617,770981.0000000007,3795489.1884000087
3.0,0,2011,4618,234783255.7833,284999038.803,303959152.0491,17154209.620300002,306339904.0005504,16783080.55985916,1923695.1721766135,0.8146936750104777,602527.5774780547,3.9918521435583494,26309.20531400401,7.481010224206477,12.902163323866342,3.9014006043699028,0.0,0.0,0.0,0.02871188142233561,0.0,-242055.7407964704,4212175.445605779,348518.0476055578,11456248.85349581,860188.038369783,331041.76045911305,-534602.2984736327,77000.18676672726,0.0,0.0,0.0,0.0,0.0,16508514.293032674,16807828.325239908,346381.29506009805,816795.6257999995,17971005.24610001
3.0,0,2012,4652,235208657.7833,303959152.0491,313235882.6643999,8851328.615299918,305012500.1423561,-1746123.92651493,1930186.4080985151,0.8442736436426871,607080.14119745,4.000640361920489,25856.047480622783,7.328777547219104,12.856692472708463,3.7958994447190046,0.0,0.0,0.0,0.04023475193978138,0.0,887715.7145902987,-3180634.9672481697,484305.7675544176,117790.1987632804,1932463.3683104157,-342298.8231805659,-29188.03726236617,99928.3476360296,0.0,0.0,0.0,-56863.10978346367,0.0,-86781.5406201254,115441.19534822865,8735887.419951694,425401.9999999998,9276730.615299921
3.0,0,2013,4718,236666897.96730003,313235882.6643999,310204736.07490003,-3219209.3755999003,298068264.6385907,-7264259.7566477675,1931334.7529704177,0.9037612139897182,614877.0766381767,3.8344243863975502,25831.258635312548,7.2942256833723045,12.841076058184631,3.7410733443064914,0.0,0.0,0.0,0.03998684260993513,0.0,1721341.3558210852,-7550345.291464651,763972.5183793673,-2309771.171715885,-7501.7824230060505,102074.8301435748,22697.252691125996,83238.51843360209,0.0,0.0,0.0,0.0,0.0,-7174293.770134786,-7152036.339318856,3932826.963718951,1458240.1839999994,-1760969.1915999018
3.0,0,2014,4718,236666897.96730003,310204736.07490003,310956499.3637,-290446.7112000392,299937018.4336111,808714.4073558855,1964158.4826882272,0.8999435897211161,620082.1305615706,3.6356252260389548,26260.46295915938,7.435378746824679,12.792021909413206,3.8813389950721793,0.0,0.2502536959484181,0.0,0.05581441728207015,0.0,5982848.363433895,387191.22859188676,491845.10819988215,-3389668.1821497143,-1690500.8362971123,75137.7981835152,-55740.96029072155,-162726.43980492186,0.0,-506448.84179091675,0.0,-131265.00859980652,0.0,1000672.2294759846,1142779.7101473862,-1433226.4213474274,0.0,-290446.71120003914
3.0,0,2015,4718,236666897.96730003,310956499.3637,299037265.41569996,-12325146.151699983,281566346.29164654,-18714686.42462494,2018773.5876276789,0.9229427217099533,625565.0618927998,2.6404873004137004,27135.71515807215,7.249688212290289,13.15827333317681,3.945465514720679,0.0,0.5709874937570705,0.0,0.1185755203284805,0.0,5147178.276646047,-2323081.8589027617,572139.7884393745,-17947546.66480062,-3751506.8759783157,-389162.2651946812,460905.86023278825,-13618.008337485773,0.0,-659334.6968512526,0.0,-327621.4550749449,0.0,-19231647.89982187,-19332685.606581654,7007539.454881669,0.0,-12325146.151699986
3.0,0,2016,4718,236666897.96730003,299037265.41569996,279894597.2254,-18730189.348699972,270075470.1039365,-11021251.334913328,2063805.4003081894,0.9853585125725304,629923.1173916076,2.3499592198619412,27487.96829867774,7.066430113160696,13.020740468684373,4.450041692858105,0.0,1.161405958796252,0.0,0.20081972853071664,0.0,3889160.5636039386,-5595026.398216628,520305.0699329489,-5870330.997291669,-1422435.362835404,-263654.92386263533,-132570.88130484853,-542290.3043071416,0.0,-1204411.214692759,0.0,-518977.5207971852,0.0,-11140231.96977139,-10914763.359219184,-7815425.989480788,0.0,-18730189.348699972
3.0,0,2017,4718,236666897.96730003,279894597.2254,270558220.78919995,-8455052.726399984,272985156.3195164,3651966.2981559415,2085563.4311556553,0.9761416073261553,633689.4740419675,2.5594199815080376,27658.51626772485,7.055967328580372,13.027885528363386,4.7385506753043725,0.0,1.9993361112064907,0.0,0.4096641951317417,0.0,2871333.713561505,688534.9412635498,442060.34569320915,4221983.213766576,-1221509.8227181437,-97243.41971909392,35293.173463623716,-273842.50460342865,0.0,-1554658.9836292868,0.0,-1218375.3379512283,0.0,3893575.319127284,3841616.0772649986,-12296668.803664982,0.0,-8455052.726399986
3.0,0,2018,4718,236666897.96730003,270558220.78919995,267797302.1002,-3179117.017000043,277091517.0444763,3662942.050572048,2102749.2543792357,0.9734593123014657,639775.5453283989,2.8184186208126554,28066.597469405086,7.010713977731197,13.063499244699008,5.097144539094801,0.0,2.8570797582450402,0.0,0.5565026505586668,0.0550520868955666,2314121.9748194506,917503.8472373458,461036.2043071765,4635763.989570445,-1419544.7903605923,-116605.73241714803,17891.510125793535,-330940.774219758,0.0,-1540319.7437909057,0.0,-831700.9436611468,-1101348.1677879659,3005857.373822695,3063373.1652458212,-6242490.182245865,0.0,-3179117.0170000424
10.0,0,2002,100,1201007994.0000014,0.0,1201007994.0000014,0.0,1141514713.9813533,0.0,253905652.10000002,0.979563485,25697520.38999998,1.9740000000000002,42439.07499999996,31.709999999999997,50.1122327951568,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201007994.0000014,1201007994.0000014
