,CBSA Title,CBSA Code,Area_acre,Year,POP_CENSUSTRACT,CBSA
234,"Peoria, IL",37900.0,4313.6,2005,32164.0,"Peoria, IL Metro Area"
235,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980.0,166681.60000000006,2005,2524663.0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
236,"Phoenix-Mesa-Chandler, AZ",38060.0,161420.80000000008,2005,1519559.0,"Phoenix-Mesa-Chandler, AZ Metro Area"
237,"Pittsburgh, PA",38300.0,46719.99999999999,2005,480488.0,"Pittsburgh, PA Metro Area"
238,"Pocatello, ID",38540.0,1548.8,2005,10184.0,"Pocatello, ID Metro Area"
239,"Port St. Lucie, FL",38940.0,2035.2,2005,14568.0,"Port St. Lucie, FL Metro Area"
240,"Portland-South Portland, ME",38860.0,4006.400000000001,2005,35530.0,"Portland-South Portland, ME Metro Area"
241,"Portland-Vancouver-Hillsboro, OR-WA",38900.0,94400.0,2005,958870.0,"Portland-Vancouver-Hillsboro, OR-WA Metro Area"
242,"Poughkeepsie-Newburgh-Middletown, NY",39100.0,9580.8,2005,112499.0,"Poughkeepsie-Newburgh-Middletown, NY Metro Area"
243,"Prescott Valley-Prescott, AZ",39150.0,1196.8000000000004,2005,3159.0,"Prescott Valley-Prescott, AZ Metro Area"
244,"Providence-Warwick, RI-MA",39300.0,27270.4,2005,345052.0,"Providence-Warwick, RI-MA Metro Area"
245,"Provo-Orem, UT",39340.0,13817.6,2005,150468.0,"Provo-Orem, UT Metro Area"
246,"Pueblo, CO",39380.0,1728.0,2005,17597.0,"Pueblo, CO Metro Area"
247,"Punta Gorda, FL",39460.0,672.0,2005,2068.0,"Punta Gorda, FL Metro Area"
248,"Racine, WI",39540.0,3148.8,2005,28449.0,"Racine, WI Metro Area"
249,"Raleigh-Cary, NC",39580.0,13849.6,2005,98827.0,"Raleigh-Cary, NC Metro Area"
250,"Rapid City, SD",39660.0,1817.6,2005,10355.0,"Rapid City, SD Metro Area"
251,"Reading, PA",39740.0,6630.4000000000015,2005,97412.0,"Reading, PA Metro Area"
252,"Redding, CA",39820.0,339.2000000000001,2005,3001.0,"Redding, CA Metro Area"
253,"Reno, NV",39900.0,13542.4,2005,141704.0,"Reno, NV Metro Area"
254,"Richmond, VA",40060.0,17823.999999999996,2005,141000.0,"Richmond, VA Metro Area"
255,"Riverside-San Bernardino-Ontario, CA",40140.0,146380.80000000005,2005,1579980.0,"Riverside-San Bernardino-Ontario, CA Metro Area"
256,"Roanoke, VA",40220.0,819.1999999999998,2005,5084.0,"Roanoke, VA Metro Area"
