UA,UANAME,CBSA,MNAME,UAPOP,MPOP,metro_micro
81002,"Shannondale, WV Urban Cluster",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2577,5582170,FALSE
80956,"Shallowater, TX Urban Cluster",31180,"Lubbock, TX Metro Area",3229,284890,FALSE
80929,"Shafter, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",18098,839631,FALSE
80902,"Shady Side--Deale, MD Urban Cluster",12580,"Baltimore-Towson, MD Metro Area",10784,2710489,FALSE
80875,"Shady Cove, OR Urban Cluster",32780,"Medford, OR Metro Area",3379,203206,FALSE
80848,"Seymour (Outagamie County), WI Urban Cluster",11540,"Appleton, WI Metro Area",3500,225666,FALSE
80767,"Seward, NE Urban Cluster",30700,"Lincoln, NE Metro Area",6636,302157,FALSE
80704,"Severance, CO Urban Cluster",24540,"Greeley, CO Metro Area",2670,252825,FALSE
80659,"Senatobia, MS Urban Cluster",32820,"Memphis, TN-MS-AR Metro Area",6531,1316100,FALSE
80497,"Seguin, TX Urban Cluster",41700,"San Antonio-New Braunfels, TX Metro Area",24122,2142508,FALSE
80362,"Seaside--Monterey, CA Urbanized Area",41500,"Salinas, CA Metro Area",114237,415057,FALSE
80281,"Sealy, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",5562,5946800,FALSE
79795,"Savannah, MO Urban Cluster",41140,"St. Joseph, MO-KS Metro Area",5138,127329,FALSE
79768,"Savannah, GA Urbanized Area",42340,"Savannah, GA Metro Area",260677,347611,FALSE
79687,"Sauk Centre, MN Urban Cluster",41060,"St. Cloud, MN Metro Area",4253,189093,FALSE
79633,"Saratoga Springs, NY Urbanized Area",10580,"Albany-Schenectady-Troy, NY Metro Area",64100,870716,FALSE
79552,"Santo Domingo Pueblo, NM Urban Cluster",10740,"Albuquerque, NM Metro Area",2567,887077,FALSE
79471,"Santaquin, UT Urban Cluster",39340,"Provo-Orem, UT Metro Area",9936,526810,FALSE
79498,"Santa Rosa, CA Urbanized Area",42220,"Santa Rosa-Petaluma, CA Metro Area",308231,483878,FALSE
79444,"Santa Paula, CA Urban Cluster",37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",29742,823318,FALSE
79363,"Santa Fe, NM Urbanized Area",42140,"Santa Fe, NM Metro Area",89284,144170,FALSE
79336,"Santa Cruz, CA Urbanized Area",42100,"Santa Cruz-Watsonville, CA Metro Area",163703,262382,FALSE
79309,"Santa Clarita, CA Urbanized Area",31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",258653,12828837,FALSE
78958,"Sanger, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",5972,6371773,FALSE
78931,"Sanger, CA Urban Cluster",23420,"Fresno, CA Metro Area",26604,930450,FALSE
78850,"Sanford, ME Urban Cluster",38860,"Portland-South Portland-Biddeford, ME Metro Area",13584,514098,FALSE
78823,"Sandy, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",9954,2226009,FALSE
78769,"Sandusky, OH Urban Cluster",41780,"Sandusky, OH Metro Area",48990,77079,FALSE
79174,"San Manuel, AZ Urban Cluster",38060,"Phoenix-Mesa-Glendale, AZ Metro Area",3185,4192887,FALSE
79120,"San Luis, AZ Urban Cluster",49740,"Yuma, AZ Metro Area",24091,195751,FALSE
79147,"San Luis Obispo, CA Urbanized Area",42020,"San Luis Obispo-Paso Robles, CA Metro Area",59219,269637,FALSE
79012,"San Joaquin, CA Urban Cluster",23420,"Fresno, CA Metro Area",3983,930450,FALSE
78985,"San Germ疣--Cabo Rojo--Sabana Grande, PR Urbanized Area",41900,"San Germ疣-Cabo Rojo, PR Metro Area",118199,137462,FALSE
78904,"San Francisco--Oakland, CA Urbanized Area",41860,"San Francisco-Oakland-Fremont, CA Metro Area",3281212,4335391,FALSE
78661,"San Diego, CA Urbanized Area",41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",2956746,3095313,FALSE
78580,"San Antonio, TX Urbanized Area",41700,"San Antonio-New Braunfels, TX Metro Area",1758210,2142508,FALSE
78553,"San Angelo, TX Urbanized Area",41660,"San Angelo, TX Metro Area",92984,111823,FALSE
78526,"Saluda, SC Urban Cluster",17900,"Columbia, SC Metro Area",3528,767598,FALSE
78418,"Sallisaw, OK Urban Cluster",22900,"Fort Smith, AR-OK Metro Area",8179,298592,FALSE
78310,"Salinas, CA Urbanized Area",41500,"Salinas, CA Metro Area",184809,415057,FALSE
78229,"Salem, OR Urbanized Area",41420,"Salem, OR Metro Area",236632,390738,FALSE
78175,"Salem, NJ Urban Cluster",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5724,5965343,FALSE
78121,"Salem, IN Urban Cluster",31140,"Louisville/Jefferson County, KY-IN Metro Area",6544,1283566,FALSE
77161,"Sahuarita--Green Valley, AZ Urban Cluster",46060,"Tucson, AZ Metro Area",40691,980263,FALSE
77068,"Sacramento, CA Urbanized Area",40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",1723634,2149127,FALSE
76759,"Rush City, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2883,3279833,FALSE
76717,"Running Springs, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4811,4224851,FALSE
76528,"Roxborough Park, CO Urban Cluster",19740,"Denver-Aurora-Broomfield, CO Metro Area",8503,2543482,FALSE
76501,"Roxboro, NC Urban Cluster",20500,"Durham-Chapel Hill, NC Metro Area",9660,504357,FALSE
76366,"Rose Hill, KS Urban Cluster",48620,"Wichita, KS Metro Area",3650,623061,FALSE
76285,"Rosamond, CA Urban Cluster",12540,"Bakersfield-Delano, CA Metro Area",16000,839631,FALSE
76231,"Rome, NY Urban Cluster",46540,"Utica-Rome, NY Metro Area",33428,299397,FALSE
76204,"Rome, GA Urbanized Area",40660,"Rome, GA Metro Area",60851,96317,FALSE
76177,"Romancoke, MD Urban Cluster",12580,"Baltimore-Towson, MD Metro Area",3538,2710489,FALSE
76069,"Rogersville, TN Urban Cluster",28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",6444,309544,FALSE
76059,"Rogersville, MO Urban Cluster",44180,"Springfield, MO Metro Area",2878,436712,FALSE
76015,"Rocky Mount, VA Urban Cluster",40220,"Roanoke, VA Metro Area",6048,308707,FALSE
75853,"Rockport, TX Urban Cluster",18580,"Corpus Christi, TX Metro Area",16322,428185,FALSE
75732,"Rockford, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",4618,3279833,FALSE
75718,"Rockford, IL Urbanized Area",40420,"Rockford, IL Metro Area",296863,349431,FALSE
75745,"Rock Hill, SC Urbanized Area",16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",104996,1758038,FALSE
75664,"Rochester, NY Urbanized Area",40380,"Rochester, NY Metro Area",720572,1054323,FALSE
75637,"Rochester, MN Urbanized Area",40340,"Rochester, MN Metro Area",107677,186011,FALSE
75556,"Robstown, TX Urban Cluster",18580,"Corpus Christi, TX Metro Area",11991,428185,FALSE
75340,"Riverside--San Bernardino, CA Urbanized Area",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",1932666,4224851,FALSE
75270,"Riverdale, CA Urban Cluster",23420,"Fresno, CA Metro Area",2823,930450,FALSE
75286,"River Falls, WI Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",15351,3279833,FALSE
75205,"Ripon, WI Urban Cluster",22540,"Fond du Lac, WI Metro Area",7930,101633,FALSE
75097,"Rio Vista, CA Urban Cluster",46700,"Vallejo-Fairfield, CA Metro Area",7097,413344,FALSE
75080,"Rio Hondo, TX Urban Cluster",15180,"Brownsville-Harlingen, TX Metro Area",4423,406220,FALSE
75016,"Rio Bravo--El Cenizo, TX Urban Cluster",29700,"Laredo, TX Metro Area",8067,250304,FALSE
74989,"Rincon, GA Urban Cluster",42340,"Savannah, GA Metro Area",12111,347611,FALSE
74962,"Rigby, ID Urban Cluster",26820,"Idaho Falls, ID Metro Area",8729,130374,FALSE
74840,"Ridgefield, WA Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",4259,2226009,FALSE
74881,"Ridge Manor, FL Urban Cluster",45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2971,2783243,FALSE
74746,"Richmond, VA Urbanized Area",40060,"Richmond, VA Metro Area",953556,1258251,FALSE
74719,"Richmond, MO Urban Cluster",28140,"Kansas City, MO-KS Metro Area",5307,2035334,FALSE
74692,"Richmond, MI Urban Cluster",19820,"Detroit-Warren-Livonia, MI Metro Area",6140,4296250,FALSE
74601,"Richlands South, NC Urban Cluster",27340,"Jacksonville, NC Metro Area",5278,177772,FALSE
74449,"Richgrove, CA Urban Cluster",47300,"Visalia-Porterville, CA Metro Area",2867,442179,FALSE
74314,"Rhinebeck, NY Urban Cluster",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",3032,670301,FALSE
74206,"Rensselaer, IN Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",6048,9461105,FALSE
74179,"Reno, NV--CA Urbanized Area",39900,"Reno-Sparks, NV Metro Area",392141,425417,FALSE
74152,"Reidsville, NC Urban Cluster",24660,"Greensboro-High Point, NC Metro Area",14067,723801,FALSE
73882,"Redmond, OR Urban Cluster",13460,"Bend, OR Metro Area",27685,157733,FALSE
73774,"Redding, CA Urbanized Area",39820,"Redding, CA Metro Area",117731,177223,FALSE
73828,"Red Hook, NY Urban Cluster",39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",6661,670301,FALSE
73554,"Raymond, MS Urban Cluster",27140,"Jackson, MS Metro Area",3178,539057,FALSE
73423,"Rathdrum, ID Urban Cluster",17660,"Coeur d'Alene, ID Metro Area",6539,138494,FALSE
73396,"Rapid City, SD Urbanized Area",39660,"Rapid City, SD Metro Area",81251,126382,FALSE
73369,"Rantoul, IL Urban Cluster",16580,"Champaign-Urbana, IL Metro Area",14071,231891,FALSE
73342,"Rancho Murieta, CA Urban Cluster",40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",5376,2149127,FALSE
73300,"Ramseur, NC Urban Cluster",24660,"Greensboro-High Point, NC Metro Area",2951,723801,FALSE
73288,"Ramona, CA Urban Cluster",41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",25913,3095313,FALSE
73245,"Rainbow Lakes Estates, FL Urban Cluster",36100,"Ocala, FL Metro Area",5155,331298,FALSE
73126,"Quitman, GA Urban Cluster",46660,"Valdosta, GA Metro Area",3769,139588,FALSE
73018,"Quincy, FL Urban Cluster",45220,"Tallahassee, FL Metro Area",9292,367413,FALSE
72910,"Quarryville, PA Urban Cluster",29540,"Lancaster, PA Metro Area",7233,519445,FALSE
72856,"Purcellville, VA Urban Cluster",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",11951,5582170,FALSE
72829,"Purcell, OK Urban Cluster",36420,"Oklahoma City, OK Metro Area",6877,1252987,FALSE
72694,"Pulaski, VA Urban Cluster",13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",16066,162958,FALSE
72613,"Pueblo, CO Urbanized Area",39380,"Pueblo, CO Metro Area",136550,159063,FALSE
72559,"Provo--Orem, UT Urbanized Area",39340,"Provo-Orem, UT Metro Area",482819,526810,FALSE
72532,"Provincetown, MA Urban Cluster",12700,"Barnstable Town, MA Metro Area",3152,215888,FALSE
72316,"Princeton, IN Urban Cluster",21780,"Evansville, IN-KY Metro Area",8645,358676,FALSE
72262,"Princess Anne, MD Urban Cluster",41540,"Salisbury, MD Metro Area",10396,125203,FALSE
72253,"Prince Frederick, MD Urban Cluster",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6357,5582170,FALSE
72244,"Priceville, AL Urban Cluster",19460,"Decatur, AL Metro Area",3006,153829,FALSE
72181,"Preston, ID Urban Cluster",30860,"Logan, UT-ID Metro Area",4323,125442,FALSE
72120,"Presidential Lakes Estates, NJ Urban Cluster",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",3015,5965343,FALSE
72100,"Prescott, WI Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",4152,3279833,FALSE
72112,"Prescott Valley--Prescott, AZ Urbanized Area",39140,"Prescott, AZ Metro Area",84744,211033,FALSE
71938,"Prairie View, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",5569,5946800,FALSE
71911,"Prairie Grove, AR Urban Cluster",22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",3213,463204,FALSE
71695,"Potosi, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",4919,2812896,FALSE
71668,"Poteet, TX Urban Cluster",41700,"San Antonio-New Braunfels, TX Metro Area",3199,2142508,FALSE
71641,"Poteau, OK Urban Cluster",22900,"Fort Smith, AR-OK Metro Area",7791,298592,FALSE
71290,"Portland, MI Urban Cluster",24340,"Grand Rapids-Wyoming, MI Metro Area",5020,774160,FALSE
71263,"Portland, ME Urbanized Area",38860,"Portland-South Portland-Biddeford, ME Metro Area",203914,514098,FALSE
71074,"Porterville, CA Urbanized Area",47300,"Visalia-Porterville, CA Metro Area",70272,442179,FALSE
70858,"Portage, WI Urban Cluster",31540,"Madison, WI Metro Area",10391,568593,FALSE
70831,"Portage, PA Urban Cluster",27780,"Johnstown, PA Metro Area",7247,143679,FALSE
71479,"Port St. Lucie, FL Urbanized Area",38940,"Port St. Lucie, FL Metro Area",376047,424107,FALSE
71371,"Port Lavaca, TX Urban Cluster",47020,"Victoria, TX Metro Area",11817,115384,FALSE
71182,"Port Isabel--Laguna Heights, TX Urban Cluster",15180,"Brownsville-Harlingen, TX Metro Area",14950,406220,FALSE
71047,"Port Clinton, OH Urban Cluster",45780,"Toledo, OH Metro Area",13349,651429,FALSE
70993,"Port Arthur, TX Urbanized Area",13140,"Beaumont-Port Arthur, TX Metro Area",153150,388745,FALSE
70815,"Poplar-Cotton Center, CA Urban Cluster",47300,"Visalia-Porterville, CA Metro Area",3158,442179,FALSE
70750,"Poolesville, MD Urban Cluster",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",4620,5582170,FALSE
70548,"Polk City, IA Urban Cluster",19780,"Des Moines-West Des Moines, IA Metro Area",3122,569633,FALSE
70534,"Pojoaque, NM Urban Cluster",42140,"Santa Fe, NM Metro Area",4733,144170,FALSE
70490,"Poinciana Southwest, FL Urban Cluster",29460,"Lakeland-Winter Haven, FL Metro Area",5501,602095,FALSE
70465,"Pocono Woodland Lakes, PA Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",7020,18897109,FALSE
70426,"Pocatello, ID Urbanized Area",38540,"Pocatello, ID Metro Area",69809,90656,FALSE
70372,"Plymouth, WI Urban Cluster",43100,"Sheboygan, WI Metro Area",8799,115507,FALSE
70280,"Plumas Lake, CA Urban Cluster",49700,"Yuba City, CA Metro Area",5252,166892,FALSE
70237,"Pleasanton, TX Urban Cluster",41700,"San Antonio-New Braunfels, TX Metro Area",12468,2142508,FALSE
70270,"Pleasant View, TN Urban Cluster",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",3730,1589934,FALSE
70210,"Pleasant Hill, MO Urban Cluster",28140,"Kansas City, MO-KS Metro Area",8049,2035334,FALSE
70183,"Plattsmouth, NE Urban Cluster",36540,"Omaha-Council Bluffs, NE-IA Metro Area",6596,865350,FALSE
70102,"Platte City, MO Urban Cluster",28140,"Kansas City, MO-KS Metro Area",8958,2035334,FALSE
70021,"Planada, CA Urban Cluster",32900,"Merced, CA Metro Area",4523,255793,FALSE
69940,"Plainview, MN Urban Cluster",40340,"Rochester, MN Metro Area",3329,186011,FALSE
69886,"Plain City, OH Urban Cluster",18140,"Columbus, OH Metro Area",4223,1836536,FALSE
69832,"Placerville--Diamond Springs, CA Urban Cluster",40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",29700,2149127,FALSE
69778,"Pittsfield, MA Urbanized Area",38340,"Pittsfield, MA Metro Area",59124,131219,FALSE
69697,"Pittsburgh, PA Urbanized Area",38300,"Pittsburgh, PA Metro Area",1733853,2356285,FALSE
69632,"Pittsboro, NC Urban Cluster",20500,"Durham-Chapel Hill, NC Metro Area",3410,504357,FALSE
69616,"Piqua, OH Urban Cluster",19380,"Dayton, OH Metro Area",21104,841502,FALSE
69454,"Pine Bluff, AR Urbanized Area",38220,"Pine Bluff, AR Metro Area",53495,100258,FALSE
69400,"Pilot Point, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",3579,6371773,FALSE
69265,"Piedmont, AL Urban Cluster",11500,"Anniston-Oxford, AL Metro Area",3666,118572,FALSE
69238,"Picture Rocks, AZ Urban Cluster",46060,"Tucson, AZ Metro Area",4345,980263,FALSE
69184,"Phoenix--Mesa, AZ Urbanized Area",38060,"Phoenix-Mesa-Glendale, AZ Metro Area",3629114,4192887,FALSE
69034,"Phelan, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",6629,4224851,FALSE
68941,"Petersburg, IL Urban Cluster",44100,"Springfield, IL Metro Area",3088,210170,FALSE
68900,"Peterborough, NH Urban Cluster",31700,"Manchester-Nashua, NH Metro Area",3165,400721,FALSE
68887,"Petaluma, CA Urbanized Area",42220,"Santa Rosa-Petaluma, CA Metro Area",64078,483878,FALSE
68644,"Perry, IA Urban Cluster",19780,"Des Moines-West Des Moines, IA Metro Area",7628,569633,FALSE
68536,"Peotone, IL Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4172,9461105,FALSE
68509,"Peoria, IL Urbanized Area",37900,"Peoria, IL Metro Area",266921,379186,FALSE
68374,"Pell City, AL Urban Cluster",13820,"Birmingham-Hoover, AL Metro Area",11096,1128047,FALSE
68228,"Pecan Acres, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",5269,6371773,FALSE
68196,"Pearisburg, VA Urban Cluster",13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2884,162958,FALSE
68171,"Peaceful Valley, WA Urban Cluster",13380,"Bellingham, WA Metro Area",3025,201140,FALSE
68050,"Pawnee, IL Urban Cluster",44100,"Springfield, IL Metro Area",2869,210170,FALSE
67969,"Pawhuska, OK Urban Cluster",46140,"Tulsa, OK Metro Area",3623,937478,FALSE
68077,"Paw Paw, MI Urban Cluster",28020,"Kalamazoo-Portage, MI Metro Area",8684,326589,FALSE
67882,"Patton, PA Urban Cluster",27780,"Johnstown, PA Metro Area",2798,143679,FALSE
67861,"Patterson, CA Urban Cluster",33700,"Modesto, CA Metro Area",20781,514453,FALSE
67807,"Pascagoula, MS Urbanized Area",37700,"Pascagoula, MS Metro Area",50428,162246,FALSE
67753,"Parlier, CA Urban Cluster",23420,"Fresno, CA Metro Area",14490,930450,FALSE
67672,"Parkersburg, WV--OH Urbanized Area",37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",67229,162056,FALSE
67618,"Park City, UT Urban Cluster",41620,"Salt Lake City, UT Metro Area",13352,1124197,FALSE
67510,"Paris, KY Urban Cluster",30460,"Lexington-Fayette, KY Metro Area",11042,472099,FALSE
67375,"Paradise, CA Urban Cluster",17020,"Chico, CA Metro Area",34725,220000,FALSE
67321,"Paola, KS Urban Cluster",28140,"Kansas City, MO-KS Metro Area",5399,2035334,FALSE
67305,"Panama City Northeast, FL Urban Cluster",37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",5817,168852,FALSE
67231,"Paloma Creek South--Paloma Creek, TX Urban Cluster",19100,"Dallas-Fort Worth-Arlington, TX Metro Area",5234,6371773,FALSE
67223,"Palmyra, NY Urban Cluster",40380,"Rochester, NY Metro Area",5214,1054323,FALSE
67105,"Palm Bay--Melbourne, FL Urbanized Area",37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",452791,543376,FALSE
66916,"Pahokee, FL Urban Cluster",33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",7179,5564635,FALSE
66808,"Page, AZ Urban Cluster",22380,"Flagstaff, AZ Metro Area",6665,134421,FALSE
66740,"Pacific, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",10327,2812896,FALSE
66700,"Ozark, AR Urban Cluster",22900,"Fort Smith, AR-OK Metro Area",3153,298592,FALSE
66673,"Oxnard, CA Urbanized Area",37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",367260,823318,FALSE
66619,"Oxford, OH Urban Cluster",17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",21376,2130151,FALSE
66484,"Owensboro, KY Urbanized Area",36980,"Owensboro, KY Metro Area",70543,114752,FALSE
66457,"Owego, NY Urban Cluster",13780,"Binghamton, NY Metro Area",5071,251725,FALSE
66322,"Ottawa, KS Urban Cluster",28140,"Kansas City, MO-KS Metro Area",12450,2035334,FALSE
66241,"Oswego, NY Urban Cluster",45060,"Syracuse, NY Metro Area",39385,662577,FALSE
66214,"Ossian, IN Urban Cluster",23060,"Fort Wayne, IN Metro Area",3711,416257,FALSE
66160,"Oshkosh, WI Urbanized Area",36780,"Oshkosh-Neenah, WI Metro Area",74495,166994,FALSE
66079,"Osawatomie, KS Urban Cluster",28140,"Kansas City, MO-KS Metro Area",4365,2035334,FALSE
66068,"Osage City, KS Urban Cluster",45820,"Topeka, KS Metro Area",2683,233870,FALSE
65944,"Oroville, CA Urban Cluster",17020,"Chico, CA Metro Area",37122,220000,FALSE
65917,"Orosi, CA Urban Cluster",47300,"Visalia-Porterville, CA Metro Area",15150,442179,FALSE
65863,"Orlando, FL Urbanized Area",36740,"Orlando-Kissimmee-Sanford, FL Metro Area",1510516,2134411,FALSE
65767,"Orangetree, FL Urban Cluster",34940,"Naples-Marco Island, FL Metro Area",7624,321520,FALSE
65755,"Orange Cove, CA Urban Cluster",23420,"Fresno, CA Metro Area",9774,930450,FALSE
65566,"Oostburg, WI Urban Cluster",43100,"Sheboygan, WI Metro Area",2724,115507,FALSE
65485,"Oneonta, AL Urban Cluster",13820,"Birmingham-Hoover, AL Metro Area",5374,1128047,FALSE
65323,"Omro, WI Urban Cluster",36780,"Oshkosh-Neenah, WI Metro Area",3358,166994,FALSE
65269,"Omaha, NE--IA Urbanized Area",36540,"Omaha-Council Bluffs, NE-IA Metro Area",725008,865350,FALSE
65242,"Olympia--Lacey, WA Urbanized Area",36500,"Olympia, WA Metro Area",176617,252264,FALSE
65107,"Okmulgee, OK Urban Cluster",46140,"Tulsa, OK Metro Area",14053,937478,FALSE
65080,"Oklahoma City, OK Urbanized Area",36420,"Oklahoma City, OK Metro Area",861505,1252987,FALSE
64837,"Odessa, MO Urban Cluster",28140,"Kansas City, MO-KS Metro Area",5199,2035334,FALSE
64810,"Odem, TX Urban Cluster",18580,"Corpus Christi, TX Metro Area",2775,428185,FALSE
64756,"Oconto, WI Urban Cluster",24580,"Green Bay, WI Metro Area",4273,306241,FALSE
64783,"Oconto Falls, WI Urban Cluster",24580,"Green Bay, WI Metro Area",2621,306241,FALSE
64567,"Ocala, FL Urbanized Area",36100,"Ocala, FL Metro Area",156909,331298,FALSE
64577,"Ocala Estates, FL Urban Cluster",36100,"Ocala, FL Metro Area",2939,331298,FALSE
64550,"Oberlin, OH Urban Cluster",17460,"Cleveland-Elyria-Mentor, OH Metro Area",7966,2077240,FALSE
64513,"Oakridge, OR Urban Cluster",21660,"Eugene-Springfield, OR Metro Area",3214,351715,FALSE
64475,"Oakland, TN Urban Cluster",32820,"Memphis, TN-MS-AR Metro Area",7057,1316100,FALSE
64486,"Oakland City, IN Urban Cluster",21780,"Evansville, IN-KY Metro Area",2515,358676,FALSE
64432,"Oakhurst, CA Urban Cluster",31460,"Madera-Chowchilla, CA Metro Area",2913,150865,FALSE
64459,"Oak Island, NC Urban Cluster",48900,"Wilmington, NC Metro Area",11226,362315,FALSE
64351,"Oak Harbor, OH Urban Cluster",45780,"Toledo, OH Metro Area",2794,651429,FALSE
64189,"Norwood Young America, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3486,3279833,FALSE
63851,"North Shore, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",3012,4224851,FALSE
63622,"North East, PA Urban Cluster",21500,"Erie, PA Metro Area",6456,280566,FALSE
63568,"North Brookfield, MA Urban Cluster",49340,"Worcester, MA Metro Area",7194,798552,FALSE
63541,"North Branch, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",6447,3279833,FALSE
63487,"North Baltimore, OH Urban Cluster",45780,"Toledo, OH Metro Area",3474,651429,FALSE
63447,"Norris, TN Urban Cluster",28940,"Knoxville, TN Metro Area",3005,698030,FALSE
63433,"Norman, OK Urbanized Area",36420,"Oklahoma City, OK Metro Area",103898,1252987,FALSE
63282,"Nipomo, CA Urban Cluster",42020,"San Luis Obispo-Paso Robles, CA Metro Area",15882,269637,FALSE
63244,"Nicholasville, KY Urban Cluster",30460,"Lexington-Fayette, KY Metro Area",28058,472099,FALSE
63137,"Newton, NJ Urban Cluster",35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",11941,18897109,FALSE
63109,"Newton, KS Urban Cluster",48620,"Wichita, KS Metro Area",20654,623061,FALSE
62866,"Newport, PA Urban Cluster",25420,"Harrisburg-Carlisle, PA Metro Area",2657,549475,FALSE
62569,"Newman, CA Urban Cluster",33700,"Modesto, CA Metro Area",10223,514453,FALSE
62326,"Newfane, NY Urban Cluster",15380,"Buffalo-Niagara Falls, NY Metro Area",5626,1135509,FALSE
61813,"Newberg, OR Urban Cluster",38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",27001,2226009,FALSE
61732,"Newaygo, MI Urban Cluster",24340,"Grand Rapids-Wyoming, MI Metro Area",3335,774160,FALSE
61705,"Newark, OH Urbanized Area",18140,"Columbus, OH Metro Area",76068,1836536,FALSE
61678,"Newark, NY Urban Cluster",40380,"Rochester, NY Metro Area",13799,1054323,FALSE
63001,"New Roads, LA Urban Cluster",12940,"Baton Rouge, LA Metro Area",7947,802484,FALSE
62974,"New Richmond, WI Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",8275,3279833,FALSE
62964,"New Richmond, OH Urban Cluster",17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2838,2130151,FALSE
62461,"New Lebanon, OH Urban Cluster",19380,"Dayton, OH Metro Area",4078,841502,FALSE
61921,"New Boston, TX Urban Cluster",45500,"Texarkana, TX-Texarkana, AR Metro Area",4707,136027,FALSE
61759,"New Baden, IL Urban Cluster",41180,"St. Louis, MO-IL Metro Area",3424,2812896,FALSE
61597,"Nevada, IA Urban Cluster",11180,"Ames, IA Metro Area",6728,89542,FALSE
61570,"Nephi, UT Urban Cluster",39340,"Provo-Orem, UT Metro Area",5249,526810,FALSE
61543,"Neosho, MO Urban Cluster",27900,"Joplin, MO Metro Area",11955,175518,FALSE
61478,"Nelson, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",4091,5268860,FALSE
61462,"Needville, TX Urban Cluster",26420,"Houston-Sugar Land-Baytown, TX Metro Area",2844,5946800,FALSE
61300,"Nassau Village-Ratliff, FL Urban Cluster",27260,"Jacksonville, FL Metro Area",5243,1345596,FALSE
61273,"Nashville-Davidson, TN Urbanized Area",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",969587,1589934,FALSE
61057,"Napa, CA Urbanized Area",34900,"Napa, CA Metro Area",83913,136484,FALSE
61030,"Nanty-Glo, PA Urban Cluster",27780,"Johnstown, PA Metro Area",3918,143679,FALSE
