,Trs_Id,mode_cd,service_cd,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MODE
122,2113,MB,DO,463.0,608.0,381.0,349.0,101.0,187.0,534,685,597,436,327.0,439.0,346.0,327.0,343.0,307.0,284.0,Bus
123,2116,MB,DO,20.0,9.0,3.0,11.0,6.0,7.0,11,12,14,16,13.0,18.0,20.0,21.0,,,,Bus
124,2117,MB,DO,173.0,158.0,374.0,,,,,,,,,,,,,,,Bus
125,2120,DR,DO,1.0,2.0,2.0,2.0,1.0,1.0,1,1,1,,,,,,,,,DemandResponse
126,2120,MB,DO,1.0,2.0,4.0,5.0,3.0,3.0,3,4,4,,,,,,,,,Bus
127,2122,MB,DO,36.0,37.0,34.0,11.0,12.0,9.0,407,7,6,4,5.0,,,,,,,Bus
128,2126,MB,DO,184.0,180.0,142.0,155.0,148.0,142.0,151,117,110,136,204.0,,,,,,,Bus
129,2128,MB,DO,249.0,290.0,310.0,279.0,201.0,182.0,582,94,57,60,54.0,,,,,,,Bus
130,2132,MB,DO,42.0,46.0,39.0,26.0,24.0,18.0,95,21,16,13,17.0,17.0,20.0,,,,,Bus
131,2135,MB,DO,11.0,12.0,11.0,10.0,9.0,8.0,9,10,11,13,15.0,,,,,,,Bus
132,2136,MB,DO,694.0,817.0,916.0,154.0,,,,,,,,,,,,,,Bus
133,2145,MB,DO,320.0,151.0,375.0,375.0,326.0,174.0,183,167,121,145,196.0,214.0,306.0,221.0,140.0,43.0,64.0,Bus
134,2147,MB,DO,3077.0,,,,,,,,,,,,,,,,,Bus
135,2148,DR,DO,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,,,,,,,,DemandResponse
136,2148,MB,DO,1.0,1.0,1.0,2.0,0.0,0.0,6,13,14,12,,,,,,,,Bus
137,2149,MB,DO,268.0,364.0,300.0,336.0,289.0,280.0,250,608,384,278,453.0,,,,,,,Bus
138,2155,DR,DO,4.0,19.0,34.0,0.0,28.0,33.0,,,,,,,,,,,,DemandResponse
139,2158,DR,DO,1.0,1.0,1.0,,,,,,,,,,,,,,,DemandResponse
