,CBSA,MNAME,TOTAL_EMPLOYMENT,JTW_DA_PCT,JTW_CARPOOLED_PCT,JTW_TRANSIT_PCT,JTW_WALK_PCT,JTW_BICYCLE_PCT,JTW_OTHER_PCT,JTW_HOME_PCT,Year
1181,21500,"Erie, PA Metro Area",125902,79.8,11.7,0.8,3.6,0.8,1.1,2.3,2008
1544,21500,"Erie, PA Metro Area",125696,81.5,9.8,1.6,3.6,0.2,0.8,2.4,2009
1910,21500,"Erie, PA Metro Area",123184,82.2,9.3,1.6,4.3,0.0,0.3,2.3,2010
2276,21500,"Erie, PA Metro Area",127712,79.5,9.1,2.3,4.6,0.3,0.9,3.4,2011
2642,21500,"Erie, PA Metro Area",126093,81.6,8.8,1.4,3.3,0.2,1.3,3.4,2012
3013,21500,"Erie, PA Metro Area",127148,78.5,11.5,1.7,3.5,0.3,1.1,3.4,2013
3394,21500,"Erie, PA Metro Area",124709,77.7,10.9,1.8,4.9,0.4,0.6,3.9,2014
3775,21500,"Erie, PA Metro Area",124891,78.5,10.2,2.0,4.5,0.6,0.5,3.8,2015
4157,21500,"Erie, PA Metro Area",126310,80.0,11.1,1.7,3.1,0.2,0.5,3.4,2016
4539,21500,"Erie, PA Metro Area",121253,78.6,11.7,1.9,3.5,0.3,0.7,3.4,2017
3014,21660,"Eugene, OR Metro Area",155663,70.9,9.8,2.8,4.1,4.4,0.9,7.2,2013
3395,21660,"Eugene, OR Metro Area",160329,69.5,10.0,3.6,5.9,4.5,1.0,5.6,2014
3776,21660,"Eugene, OR Metro Area",161994,69.3,12.6,3.3,4.6,4.0,1.4,4.7,2015
4158,21660,"Eugene, OR Metro Area",166336,73.7,8.9,2.4,4.6,3.5,1.2,5.6,2016
4540,21660,"Eugene, OR Metro Area",170454,71.5,10.3,3.6,4.8,2.8,0.6,6.3,2017
103,21660,"Eugene-Springfield, OR Metro Area",148785,73.7,10.8,2.4,2.8,4.7,0.7,4.7,2005
461,21660,"Eugene-Springfield, OR Metro Area",155753,71.6,12.0,4.3,4.1,2.8,0.7,4.5,2006
820,21660,"Eugene-Springfield, OR Metro Area",160458,72.5,9.5,3.5,3.9,4.3,0.6,5.8,2007
1182,21660,"Eugene-Springfield, OR Metro Area",165480,69.9,10.4,4.8,4.8,4.8,0.8,4.6,2008
1545,21660,"Eugene-Springfield, OR Metro Area",145497,70.6,8.9,3.6,4.2,5.6,0.5,6.5,2009
1911,21660,"Eugene-Springfield, OR Metro Area",152073,71.3,9.5,3.2,4.5,4.5,1.0,6.0,2010
2277,21660,"Eugene-Springfield, OR Metro Area",146600,73.5,9.3,2.6,4.4,4.0,1.0,5.1,2011
2643,21660,"Eugene-Springfield, OR Metro Area",146847,68.6,10.6,3.1,5.7,4.9,0.5,6.7,2012
104,21780,"Evansville, IN-KY Metro Area",161757,85.5,8.2,0.5,1.7,0.3,1.0,2.8,2005
462,21780,"Evansville, IN-KY Metro Area",167196,85.1,8.9,0.9,2.2,0.1,0.7,2.0,2006
821,21780,"Evansville, IN-KY Metro Area",165720,87.1,7.9,0.6,1.1,0.1,0.9,2.3,2007
1183,21780,"Evansville, IN-KY Metro Area",170513,83.5,10.0,0.8,2.4,0.1,1.2,1.9,2008
1546,21780,"Evansville, IN-KY Metro Area",169110,84.0,9.7,0.9,1.6,0.3,0.5,3.1,2009
1912,21780,"Evansville, IN-KY Metro Area",165740,85.9,7.5,0.6,2.0,0.4,1.0,2.7,2010
2278,21780,"Evansville, IN-KY Metro Area",166247,86.1,8.0,1.0,1.5,0.2,0.7,2.6,2011
2644,21780,"Evansville, IN-KY Metro Area",167687,85.0,7.5,1.4,1.7,0.4,1.1,2.8,2012
3015,21780,"Evansville, IN-KY Metro Area",141414,85.6,8.3,1.1,1.3,0.3,0.8,2.7,2013
3396,21780,"Evansville, IN-KY Metro Area",148800,87.4,7.3,0.6,1.0,0.1,0.8,2.7,2014
3777,21780,"Evansville, IN-KY Metro Area",149015,87.4,6.3,1.3,1.9,0.0,1.1,2.1,2015
4159,21780,"Evansville, IN-KY Metro Area",152996,85.8,7.4,1.6,2.5,0.2,0.7,1.7,2016
4541,21780,"Evansville, IN-KY Metro Area",148460,86.3,7.2,0.9,1.5,0.1,1.3,2.7,2017
105,21820,"Fairbanks, AK Metro Area",39978,76.3,13.1,0.7,3.9,0.7,3.2,2.0,2005
463,21820,"Fairbanks, AK Metro Area",40139,74.5,16.0,1.5,5.8,0.5,0.4,1.2,2006
822,21820,"Fairbanks, AK Metro Area",48695,69.5,13.5,1.0,4.9,1.4,1.0,8.7,2007
1184,21820,"Fairbanks, AK Metro Area",50602,66.8,17.7,1.1,2.9,0.6,2.2,8.6,2008
1547,21820,"Fairbanks, AK Metro Area",49689,73.3,12.5,1.7,4.0,0.9,0.9,6.8,2009
1913,21820,"Fairbanks, AK Metro Area",49089,75.0,12.9,0.6,2.6,1.1,1.9,6.0,2010
2279,21820,"Fairbanks, AK Metro Area",50875,73.3,13.1,2.8,2.8,1.1,2.1,4.8,2011
2645,21820,"Fairbanks, AK Metro Area",50147,72.5,15.4,0.9,1.8,2.4,3.0,4.1,2012
3016,21820,"Fairbanks, AK Metro Area",50819,69.4,16.2,0.8,6.5,1.8,1.9,3.4,2013
3397,21820,"Fairbanks, AK Metro Area",50873,76.7,15.8,1.2,2.3,0.5,1.4,2.1,2014
3778,21820,"Fairbanks, AK Metro Area",52429,74.6,12.5,1.1,5.2,1.7,2.4,2.6,2015
4160,21820,"Fairbanks, AK Metro Area",52841,76.2,14.8,0.8,3.9,0.7,0.8,2.8,2016
4542,21820,"Fairbanks, AK Metro Area",48883,76.8,13.5,0.2,3.9,0.7,2.4,2.4,2017
106,22020,"Fargo, ND-MN Metro Area",101565,82.1,9.8,0.8,2.8,0.5,0.6,3.4,2005
464,22020,"Fargo, ND-MN Metro Area",105320,82.5,9.3,0.5,2.5,1.2,0.8,3.2,2006
823,22020,"Fargo, ND-MN Metro Area",106489,81.2,8.3,1.0,4.3,0.8,0.8,3.6,2007
1185,22020,"Fargo, ND-MN Metro Area",109965,81.7,8.3,0.8,3.7,1.1,1.0,3.3,2008
1548,22020,"Fargo, ND-MN Metro Area",112468,82.2,7.3,0.7,4.2,0.6,1.0,4.0,2009
1914,22020,"Fargo, ND-MN Metro Area",119759,83.4,7.0,1.3,3.4,0.8,0.9,3.3,2010
2280,22020,"Fargo, ND-MN Metro Area",121753,80.1,8.2,0.6,4.5,1.1,1.1,4.4,2011
2646,22020,"Fargo, ND-MN Metro Area",123440,82.7,7.8,0.7,4.4,0.2,0.5,3.7,2012
3017,22020,"Fargo, ND-MN Metro Area",123247,80.6,9.0,1.1,4.2,0.8,1.4,2.9,2013
3398,22020,"Fargo, ND-MN Metro Area",127290,83.0,7.4,1.6,3.3,0.6,0.9,3.2,2014
3779,22020,"Fargo, ND-MN Metro Area",129863,82.3,9.1,0.2,3.0,0.4,0.6,4.4,2015
4161,22020,"Fargo, ND-MN Metro Area",135393,82.1,8.8,1.0,2.5,0.6,0.5,4.4,2016
4543,22020,"Fargo, ND-MN Metro Area",141493,81.7,7.7,1.0,3.2,0.7,0.6,5.1,2017
107,22140,"Farmington, NM Metro Area",53188,83.1,8.8,0.2,1.8,0.3,1.2,4.5,2005
465,22140,"Farmington, NM Metro Area",53088,85.9,8.7,0.1,1.7,0.3,0.4,2.9,2006
824,22140,"Farmington, NM Metro Area",N,N,N,N,N,N,N,N,2007
1186,22140,"Farmington, NM Metro Area",54272,84.9,11.0,0.0,1.7,0.0,0.7,1.7,2008
1549,22140,"Farmington, NM Metro Area",50579,78.1,9.9,0.1,3.8,0.0,0.6,7.5,2009
1915,22140,"Farmington, NM Metro Area",49893,86.1,7.7,0.1,1.1,0.3,0.8,4.0,2010
2281,22140,"Farmington, NM Metro Area",52610,86.4,8.2,0.2,1.0,0.4,0.5,3.3,2011
2647,22140,"Farmington, NM Metro Area",50704,80.5,12.8,0.3,2.6,0.1,1.0,2.6,2012
3018,22140,"Farmington, NM Metro Area",50013,84.6,8.7,0.2,1.4,0.5,1.3,3.2,2013
3399,22140,"Farmington, NM Metro Area",50029,83.3,9.5,0.5,2.1,0.7,1.3,2.6,2014
3780,22140,"Farmington, NM Metro Area",49775,84.8,8.6,0.3,2.1,0.0,0.5,3.8,2015
4162,22140,"Farmington, NM Metro Area",45185,84.3,10.8,0.3,1.8,0.0,0.4,2.4,2016
4544,22140,"Farmington, NM Metro Area",47138,80.0,15.2,0.3,1.2,0.0,1.1,2.2,2017
108,22180,"Fayetteville, NC Metro Area",130995,82.9,11.2,0.7,1.3,0.7,1.2,1.9,2005
466,22180,"Fayetteville, NC Metro Area",150080,80.3,8.5,0.6,2.6,0.1,1.1,6.8,2006
825,22180,"Fayetteville, NC Metro Area",150392,82.0,10.5,0.5,1.9,0.1,1.5,3.5,2007
1187,22180,"Fayetteville, NC Metro Area",168676,77.3,10.3,0.4,2.1,0.2,1.1,8.7,2008
1550,22180,"Fayetteville, NC Metro Area",157500,81.1,8.1,0.4,4.9,0.1,0.7,4.7,2009
1916,22180,"Fayetteville, NC Metro Area",159230,81.8,9.4,0.4,3.7,0.3,1.6,2.7,2010
2282,22180,"Fayetteville, NC Metro Area",159492,82.5,9.9,0.6,4.1,0.1,1.3,1.6,2011
2648,22180,"Fayetteville, NC Metro Area",160239,82.5,9.8,0.6,3.8,0.1,1.6,1.5,2012
3019,22180,"Fayetteville, NC Metro Area",160838,83.8,7.7,0.9,3.4,0.3,0.8,3.2,2013
3400,22180,"Fayetteville, NC Metro Area",165449,84.6,7.3,0.8,3.5,0.1,0.6,3.1,2014
3781,22180,"Fayetteville, NC Metro Area",162632,81.2,10.9,0.3,3.8,0.0,0.9,2.7,2015
4163,22180,"Fayetteville, NC Metro Area",165882,81.5,8.8,0.6,3.5,0.1,1.7,3.8,2016
4545,22180,"Fayetteville, NC Metro Area",172952,78.7,8.1,0.9,6.1,0.2,1.6,4.4,2017
109,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",193911,80.1,12.9,0.1,2.0,0.4,0.7,3.8,2005
467,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",200992,77.3,15.3,0.2,2.0,0.1,1.0,4.0,2006
826,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",195781,80.6,12.7,0.3,1.9,0.2,1.3,3.0,2007
1188,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",208507,78.8,12.1,0.4,3.4,0.2,1.6,3.6,2008
1551,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",209884,78.1,12.5,0.3,2.5,0.3,1.3,5.0,2009
1917,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",209879,79.3,12.3,0.7,2.6,0.1,1.6,3.4,2010
2283,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",217027,78.3,11.3,0.5,2.6,0.3,1.2,5.8,2011
2649,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",218599,80.1,11.1,0.5,1.8,0.1,0.7,5.7,2012
3020,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",223266,82.3,9.8,0.6,2.3,0.5,1.0,3.5,2013
3401,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",233547,82.4,10.5,0.3,1.9,0.6,0.8,3.5,2014
3782,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",239553,82.6,10.6,0.4,1.7,0.2,0.5,4.1,2015
4164,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",245757,82.0,10.9,0.4,1.8,0.3,0.7,3.9,2016
4546,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",255220,82.9,10.8,0.2,1.7,0.3,0.6,3.4,2017
110,22380,"Flagstaff, AZ Metro Area",57710,65.8,15.1,1.3,7.9,4.3,1.9,3.8,2005
468,22380,"Flagstaff, AZ Metro Area",58898,70.7,14.3,0.9,6.0,2.2,1.0,5.0,2006
827,22380,"Flagstaff, AZ Metro Area",64677,68.3,12.4,0.5,7.3,2.4,2.1,7.0,2007
1189,22380,"Flagstaff, AZ Metro Area",63009,69.2,12.2,0.7,7.6,4.0,0.2,6.1,2008
1552,22380,"Flagstaff, AZ Metro Area",62939,68.4,15.5,1.2,5.4,2.4,1.8,5.4,2009
1918,22380,"Flagstaff, AZ Metro Area",57708,65.8,14.9,1.7,7.6,3.1,0.4,6.4,2010
2284,22380,"Flagstaff, AZ Metro Area",63740,67.5,10.0,1.8,10.7,3.6,1.5,5.0,2011
2650,22380,"Flagstaff, AZ Metro Area",64877,65.5,13.1,2.0,8.0,2.6,1.5,7.3,2012
3021,22380,"Flagstaff, AZ Metro Area",63179,73.9,11.3,1.4,7.0,2.1,1.0,3.3,2013
3402,22380,"Flagstaff, AZ Metro Area",63568,70.9,8.1,2.0,9.9,3.3,1.6,4.2,2014
3783,22380,"Flagstaff, AZ Metro Area",64974,69.2,11.0,1.4,10.3,2.0,2.1,4.1,2015
4165,22380,"Flagstaff, AZ Metro Area",62981,70.7,12.3,1.5,7.1,1.1,0.8,6.5,2016
4547,22380,"Flagstaff, AZ Metro Area",65740,70.7,10.8,1.0,9.7,1.6,0.7,5.4,2017
111,22420,"Flint, MI Metro Area",183626,85.1,9.1,1.7,0.8,0.0,0.5,2.8,2005
469,22420,"Flint, MI Metro Area",182544,84.8,9.4,1.0,0.8,0.0,0.7,3.3,2006
828,22420,"Flint, MI Metro Area",170312,85.3,9.3,0.6,1.0,0.1,0.9,2.7,2007
1190,22420,"Flint, MI Metro Area",174171,84.8,9.7,1.0,0.8,0.1,0.8,2.9,2008
1553,22420,"Flint, MI Metro Area",157165,84.7,8.8,1.4,1.5,0.2,0.5,2.9,2009
1919,22420,"Flint, MI Metro Area",148637,85.3,8.9,1.3,1.0,0.0,0.5,3.0,2010
2285,22420,"Flint, MI Metro Area",155119,86.9,8.2,0.8,0.8,0.1,0.5,2.8,2011
2651,22420,"Flint, MI Metro Area",154920,85.0,8.4,1.1,1.0,0.4,0.7,3.5,2012
3022,22420,"Flint, MI Metro Area",158576,84.0,8.8,1.2,1.7,0.1,0.7,3.5,2013
3403,22420,"Flint, MI Metro Area",155961,84.8,9.4,1.5,1.6,0.1,0.7,1.9,2014
3784,22420,"Flint, MI Metro Area",165169,85.1,8.4,1.6,1.0,0.1,0.5,3.3,2015
4166,22420,"Flint, MI Metro Area",163167,83.9,9.6,1.2,1.1,0.1,0.4,3.7,2016
4548,22420,"Flint, MI Metro Area",168144,84.1,9.4,1.1,1.1,0.0,0.6,3.6,2017
112,22500,"Florence, SC Metro Area",83249,83.1,10.2,0.7,1.3,0.0,1.6,2.9,2005
470,22500,"Florence, SC Metro Area",84236,78.8,13.6,0.3,1.9,0.3,1.8,3.3,2006
829,22500,"Florence, SC Metro Area",84859,81.9,12.1,0.4,1.7,0.4,0.7,2.7,2007
1191,22500,"Florence, SC Metro Area",87127,82.1,11.8,0.6,1.1,0.3,1.6,2.4,2008
1554,22500,"Florence, SC Metro Area",85128,81.5,10.3,0.4,1.8,0.3,0.8,5.0,2009
1920,22500,"Florence, SC Metro Area",79412,85.9,8.9,0.2,0.7,0.1,0.9,3.3,2010
2286,22500,"Florence, SC Metro Area",81724,85.4,7.1,0.4,1.3,0.2,0.8,4.8,2011
2652,22500,"Florence, SC Metro Area",83628,85.0,8.4,0.2,1.5,0.1,1.4,3.4,2012
3023,22500,"Florence, SC Metro Area",81136,83.1,11.4,0.3,0.8,0.3,1.0,3.2,2013
3404,22500,"Florence, SC Metro Area",84125,83.3,10.9,0.2,1.9,0.4,0.9,2.4,2014
3785,22500,"Florence, SC Metro Area",83532,84.1,8.5,0.3,1.1,0.0,2.1,4.0,2015
4167,22500,"Florence, SC Metro Area",87654,85.1,11.4,0.2,0.7,0.2,0.5,1.9,2016
4549,22500,"Florence, SC Metro Area",86487,83.2,8.9,0.5,1.6,0.0,1.6,4.1,2017
113,22520,"Florence-Muscle Shoals, AL Metro Area",54007,85.8,10.8,0.5,0.2,0.0,1.2,1.5,2005
471,22520,"Florence-Muscle Shoals, AL Metro Area",62835,87.5,9.2,0.2,1.7,0.0,0.2,1.2,2006
830,22520,"Florence-Muscle Shoals, AL Metro Area",59018,84.5,10.8,0.4,0.9,0.0,1.4,1.9,2007
1192,22520,"Florence-Muscle Shoals, AL Metro Area",63832,85.5,11.8,0.2,0.5,0.1,0.4,1.5,2008
1555,22520,"Florence-Muscle Shoals, AL Metro Area",N,N,N,N,N,N,N,N,2009
1921,22520,"Florence-Muscle Shoals, AL Metro Area",59767,89.4,6.8,0.0,1.6,0.0,0.4,1.8,2010
2287,22520,"Florence-Muscle Shoals, AL Metro Area",60123,87.5,7.5,0.3,1.0,0.0,1.2,2.5,2011
2653,22520,"Florence-Muscle Shoals, AL Metro Area",58293,86.9,10.0,0.1,0.5,0.2,0.6,1.6,2012
3024,22520,"Florence-Muscle Shoals, AL Metro Area",61019,88.2,8.3,0.2,1.7,0.3,0.6,0.7,2013
3405,22520,"Florence-Muscle Shoals, AL Metro Area",61213,89.1,6.8,0.4,1.9,0.0,0.6,1.3,2014
3786,22520,"Florence-Muscle Shoals, AL Metro Area",58868,86.8,8.0,0.0,1.6,0.2,0.3,3.2,2015
4168,22520,"Florence-Muscle Shoals, AL Metro Area",N,N,N,N,N,N,N,N,2016
4550,22520,"Florence-Muscle Shoals, AL Metro Area",61903,87.9,8.0,0.0,0.7,0.1,0.9,2.5,2017
114,22540,"Fond du Lac, WI Metro Area",50400,81.3,10.6,0.4,2.5,0.7,1.3,3.1,2005
472,22540,"Fond du Lac, WI Metro Area",52099,80.8,10.7,0.2,3.5,0.3,2.0,2.5,2006
831,22540,"Fond du Lac, WI Metro Area",49842,81.4,9.2,0.3,2.9,0.4,1.2,4.7,2007
1193,22540,"Fond du Lac, WI Metro Area",53521,80.8,9.5,0.4,3.3,0.5,1.4,4.1,2008
1556,22540,"Fond du Lac, WI Metro Area",52607,84.1,9.5,0.6,1.7,0.3,0.5,3.3,2009
1922,22540,"Fond du Lac, WI Metro Area",51746,81.3,9.4,0.4,2.7,0.5,1.1,4.6,2010
2288,22540,"Fond du Lac, WI Metro Area",52161,82.2,8.2,0.2,4.4,1.0,1.0,3.0,2011
2654,22540,"Fond du Lac, WI Metro Area",51265,79.6,12.3,0.1,2.9,0.4,0.7,3.9,2012
3025,22540,"Fond du Lac, WI Metro Area",51792,81.6,9.9,0.9,3.2,0.4,0.8,3.2,2013
3406,22540,"Fond du Lac, WI Metro Area",52435,82.3,8.1,0.0,3.8,0.5,1.3,4.0,2014
3787,22540,"Fond du Lac, WI Metro Area",52509,82.0,8.0,0.4,4.0,0.4,0.6,4.6,2015
4169,22540,"Fond du Lac, WI Metro Area",52947,83.0,8.2,0.1,3.6,0.2,0.6,4.3,2016
4551,22540,"Fond du Lac, WI Metro Area",53904,85.8,7.4,0.1,1.7,0.3,1.1,3.6,2017
3026,22660,"Fort Collins, CO Metro Area",159189,74.4,8.6,0.6,2.9,4.2,1.6,7.7,2013
3407,22660,"Fort Collins, CO Metro Area",163266,76.4,9.5,1.2,1.9,3.8,0.6,6.6,2014
3788,22660,"Fort Collins, CO Metro Area",170510,75.9,8.2,2.0,3.2,4.1,0.9,5.7,2015
4170,22660,"Fort Collins, CO Metro Area",175334,74.5,9.5,1.7,2.5,3.2,1.1,7.7,2016
4552,22660,"Fort Collins, CO Metro Area",176202,74.6,8.0,1.4,2.0,2.9,1.9,9.2,2017
115,22660,"Fort Collins-Loveland, CO Metro Area",140354,77.9,8.9,0.8,2.5,2.4,1.2,6.4,2005
473,22660,"Fort Collins-Loveland, CO Metro Area",142971,75.9,11.2,0.5,1.8,3.1,1.3,6.1,2006
832,22660,"Fort Collins-Loveland, CO Metro Area",145125,76.4,8.4,0.8,3.3,2.8,1.4,6.9,2007
1194,22660,"Fort Collins-Loveland, CO Metro Area",155596,73.3,10.1,1.0,2.1,4.5,1.7,7.2,2008
1557,22660,"Fort Collins-Loveland, CO Metro Area",155327,74.0,9.6,1.0,2.6,5.2,0.9,6.8,2009
1923,22660,"Fort Collins-Loveland, CO Metro Area",148049,79.6,8.9,0.7,2.3,2.8,0.7,5.1,2010
2289,22660,"Fort Collins-Loveland, CO Metro Area",153506,74.9,9.0,0.9,2.7,3.7,1.8,7.0,2011
2655,22660,"Fort Collins-Loveland, CO Metro Area",157283,73.9,7.4,1.6,3.3,4.8,1.1,7.9,2012
116,22900,"Fort Smith, AR-OK Metro Area",114313,82.6,12.9,0.1,1.4,0.0,0.9,2.1,2005
474,22900,"Fort Smith, AR-OK Metro Area",126367,82.7,12.3,0.1,1.2,0.3,1.2,2.2,2006
833,22900,"Fort Smith, AR-OK Metro Area",121098,80.9,13.3,0.2,1.1,0.3,0.7,3.5,2007
1195,22900,"Fort Smith, AR-OK Metro Area",124621,78.2,14.7,0.3,1.0,0.0,0.9,4.8,2008
1558,22900,"Fort Smith, AR-OK Metro Area",118285,82.0,12.5,0.4,1.2,0.0,1.0,2.9,2009
1924,22900,"Fort Smith, AR-OK Metro Area",123318,84.1,10.7,0.4,1.2,0.0,1.3,2.2,2010
2290,22900,"Fort Smith, AR-OK Metro Area",117648,84.2,10.5,0.2,0.8,0.3,0.9,3.1,2011
2656,22900,"Fort Smith, AR-OK Metro Area",119932,82.1,11.9,0.3,2.0,0.0,1.1,2.5,2012
3027,22900,"Fort Smith, AR-OK Metro Area",110231,86.5,8.6,0.1,1.3,0.0,1.2,2.3,2013
3408,22900,"Fort Smith, AR-OK Metro Area",115034,83.3,11.3,0.4,2.0,0.2,0.8,2.0,2014
3789,22900,"Fort Smith, AR-OK Metro Area",111894,84.6,10.0,0.5,1.5,0.1,1.2,2.1,2015
4171,22900,"Fort Smith, AR-OK Metro Area",115565,83.5,10.9,0.1,1.8,0.0,1.7,1.9,2016
4553,22900,"Fort Smith, AR-OK Metro Area",115759,84.6,8.5,0.2,2.3,0.2,1.2,3.0,2017
117,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",82916,83.1,11.8,0.1,1.4,0.1,1.2,2.2,2005
475,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",85819,82.6,10.4,0.7,1.4,0.7,1.4,2.8,2006
834,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",89478,82.1,9.9,0.2,1.4,0.9,1.9,3.6,2007
1196,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",90098,78.7,13.3,0.4,1.4,0.2,1.7,4.5,2008
1559,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",87236,82.0,10.9,0.2,1.0,0.7,1.3,3.8,2009
118,23060,"Fort Wayne, IN Metro Area",187713,86.0,8.8,0.4,1.2,0.3,0.7,2.6,2005
476,23060,"Fort Wayne, IN Metro Area",195276,85.6,7.7,0.5,2.0,0.4,1.1,2.7,2006
835,23060,"Fort Wayne, IN Metro Area",198378,85.1,8.9,0.6,0.9,0.3,0.9,3.3,2007
1197,23060,"Fort Wayne, IN Metro Area",197439,84.2,9.4,0.4,1.4,0.2,1.0,3.3,2008
1560,23060,"Fort Wayne, IN Metro Area",188924,85.2,7.9,0.6,1.7,0.3,0.9,3.4,2009
1925,23060,"Fort Wayne, IN Metro Area",183322,87.9,5.8,0.5,1.0,0.2,0.5,4.1,2010
2291,23060,"Fort Wayne, IN Metro Area",187708,86.7,7.2,0.6,0.9,0.3,0.5,3.8,2011
2657,23060,"Fort Wayne, IN Metro Area",195415,83.6,8.1,0.3,1.8,0.5,1.2,4.4,2012
3028,23060,"Fort Wayne, IN Metro Area",195610,85.4,7.6,1.0,1.1,0.2,0.9,3.7,2013
3409,23060,"Fort Wayne, IN Metro Area",201294,83.8,9.0,0.8,1.3,0.3,0.8,4.1,2014
3790,23060,"Fort Wayne, IN Metro Area",203411,84.6,8.7,0.6,1.5,0.2,0.4,3.9,2015
4172,23060,"Fort Wayne, IN Metro Area",204019,84.1,9.1,0.7,0.9,0.2,0.6,4.4,2016
4554,23060,"Fort Wayne, IN Metro Area",207885,84.9,8.4,0.5,1.2,0.3,0.7,3.9,2017
119,23420,"Fresno, CA Metro Area",343903,76.0,15.8,1.2,1.7,0.6,0.7,4.0,2005
477,23420,"Fresno, CA Metro Area",357506,76.0,14.2,1.5,2.0,0.7,2.2,3.3,2006
836,23420,"Fresno, CA Metro Area",366836,76.0,13.4,1.5,2.0,0.5,3.2,3.4,2007
1198,23420,"Fresno, CA Metro Area",364626,76.6,13.2,1.5,1.7,0.5,3.2,3.4,2008
1561,23420,"Fresno, CA Metro Area",334036,77.6,10.6,1.3,2.4,0.7,3.4,3.9,2009
1926,23420,"Fresno, CA Metro Area",346889,77.2,10.2,1.4,2.7,0.6,3.9,4.1,2010
2292,23420,"Fresno, CA Metro Area",340528,78.3,12.2,1.1,2.1,0.7,2.2,3.4,2011
2658,23420,"Fresno, CA Metro Area",348437,75.2,13.5,1.7,2.0,1.0,2.1,4.7,2012
3029,23420,"Fresno, CA Metro Area",358739,77.6,13.4,1.1,1.7,0.9,1.5,3.8,2013
3410,23420,"Fresno, CA Metro Area",365305,77.2,12.6,1.2,1.9,0.9,2.0,4.1,2014
3791,23420,"Fresno, CA Metro Area",382735,76.8,12.1,1.4,1.6,0.8,2.4,4.8,2015
4173,23420,"Fresno, CA Metro Area",382801,77.9,12.3,1.0,1.7,0.6,1.9,4.6,2016
4555,23420,"Fresno, CA Metro Area",398832,80.9,10.7,1.2,1.4,0.3,1.4,4.1,2017
120,23460,"Gadsden, AL Metro Area",40970,83.9,12.2,0.3,1.0,0.0,1.3,1.4,2005
478,23460,"Gadsden, AL Metro Area",41053,86.0,8.8,0.0,1.0,0.0,0.2,4.1,2006
837,23460,"Gadsden, AL Metro Area",41228,82.4,14.2,0.0,0.8,0.0,0.8,1.9,2007
1199,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2008
1562,23460,"Gadsden, AL Metro Area",39529,82.5,11.7,0.0,1.1,0.0,0.2,4.6,2009
1927,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2010
2293,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2011
2659,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2012
3030,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2013
3411,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2014
3792,23460,"Gadsden, AL Metro Area",42656,85.1,8.7,0.2,0.8,0.2,0.9,4.1,2015
4174,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2016
4556,23460,"Gadsden, AL Metro Area",N,N,N,N,N,N,N,N,2017
121,23540,"Gainesville, FL Metro Area",111860,75.6,12.1,2.9,2.9,1.9,0.8,3.8,2005
479,23540,"Gainesville, FL Metro Area",115402,75.9,10.7,2.6,3.5,2.3,1.2,3.8,2006
838,23540,"Gainesville, FL Metro Area",118089,75.9,12.2,3.1,3.2,2.3,1.0,2.3,2007
1200,23540,"Gainesville, FL Metro Area",123711,74.9,9.2,3.4,2.2,3.6,1.4,5.1,2008
1563,23540,"Gainesville, FL Metro Area",110765,75.6,11.9,2.3,2.9,3.2,1.6,2.4,2009
1928,23540,"Gainesville, FL Metro Area",115929,72.0,12.5,4.2,3.2,3.2,0.6,4.4,2010
2294,23540,"Gainesville, FL Metro Area",118127,72.7,11.0,4.5,3.4,3.1,1.7,3.7,2011
2660,23540,"Gainesville, FL Metro Area",117666,74.2,9.4,4.0,3.3,2.8,1.3,4.9,2012
3031,23540,"Gainesville, FL Metro Area",119288,74.4,8.5,4.3,2.6,3.5,2.6,4.1,2013
3412,23540,"Gainesville, FL Metro Area",118780,77.5,7.0,4.2,3.6,2.2,1.8,3.8,2014
