,Id,Id2,Geography,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,Year
2632,310M100US20100,20100,"Dover, DE Metro Area",59499,3120,18705,23423,9770,4481,2012
3002,310M200US20100,20100,"Dover, DE Metro Area",62053,4493,19265,25096,8897,4302,2013
3383,310M200US20100,20100,"Dover, DE Metro Area",61270,4105,18214,24212,10737,4002,2014
3764,310M200US20100,20100,"Dover, DE Metro Area",62477,4028,18208,25516,9915,4810,2015
4145,310M300US20100,20100,"Dover, DE Metro Area",64452,3995,21943,24062,10372,4080,2016
4527,310M300US20100,20100,"Dover, DE Metro Area",63807,3430,21439,23772,10492,4674,2017
93,3100000US20220,20220,"Dubuque, IA Metro Area",35563,1560,11970,15299,4175,2559,2005
451,3100000US20220,20220,"Dubuque, IA Metro Area",36861,2745,10613,16921,4906,1676,2006
810,3100000US20220,20220,"Dubuque, IA Metro Area",36847,2261,11098,15371,5838,2279,2007
1172,3100000US20220,20220,"Dubuque, IA Metro Area",36773,2917,11248,15340,5188,2080,2008
1535,3100000US20220,20220,"Dubuque, IA Metro Area",37577,2231,10596,17369,5459,1922,2009
1901,310M100US20220,20220,"Dubuque, IA Metro Area",37177,2467,12033,13896,5556,3225,2010
2267,310M100US20220,20220,"Dubuque, IA Metro Area",37646,2046,12145,16179,4560,2716,2011
2633,310M100US20220,20220,"Dubuque, IA Metro Area",37726,2332,12766,15419,4694,2515,2012
3003,310M200US20220,20220,"Dubuque, IA Metro Area",36801,2272,12507,14613,4992,2417,2013
3384,310M200US20220,20220,"Dubuque, IA Metro Area",38824,2453,11367,16001,6397,2606,2014
3765,310M200US20220,20220,"Dubuque, IA Metro Area",37784,1815,13017,15211,5585,2156,2015
4146,310M300US20220,20220,"Dubuque, IA Metro Area",37710,2103,12103,14668,6484,2352,2016
4528,310M300US20220,20220,"Dubuque, IA Metro Area",37785,2558,11155,15196,6230,2646,2017
94,3100000US20260,20260,"Duluth, MN-WI Metro Area",116654,10383,34312,46329,18114,7516,2005
452,3100000US20260,20260,"Duluth, MN-WI Metro Area",114665,8886,36903,42749,17610,8517,2006
811,3100000US20260,20260,"Duluth, MN-WI Metro Area",119962,9915,38887,44592,18416,8152,2007
1173,3100000US20260,20260,"Duluth, MN-WI Metro Area",118337,11513,37823,41434,18461,9106,2008
1536,3100000US20260,20260,"Duluth, MN-WI Metro Area",119840,8890,35914,46148,20494,8394,2009
1902,310M100US20260,20260,"Duluth, MN-WI Metro Area",121010,10754,38311,45027,17936,8982,2010
2268,310M100US20260,20260,"Duluth, MN-WI Metro Area",116198,11056,34604,44098,17937,8503,2011
2634,310M100US20260,20260,"Duluth, MN-WI Metro Area",116531,9743,36871,44058,17172,8687,2012
3004,310M200US20260,20260,"Duluth, MN-WI Metro Area",115589,10919,36757,43426,15849,8638,2013
3385,310M200US20260,20260,"Duluth, MN-WI Metro Area",116768,10417,35905,43694,18525,8227,2014
3766,310M200US20260,20260,"Duluth, MN-WI Metro Area",116212,10074,36356,41921,19451,8410,2015
4147,310M300US20260,20260,"Duluth, MN-WI Metro Area",116967,9664,35340,43407,18778,9778,2016
4529,310M300US20260,20260,"Duluth, MN-WI Metro Area",117874,8482,38051,43553,19103,8685,2017
95,3100000US20500,20500,"Durham, NC Metro Area",185901,12196,68684,67167,26688,11166,2005
453,3100000US20500,20500,"Durham, NC Metro Area",185625,12170,68489,64847,25909,14210,2006
812,3100000US20500,20500,"Durham, NC Metro Area",189615,14728,68655,67449,26877,11906,2007
1174,3100000US20500,20500,"Durham, NC Metro Area",194357,14849,65256,73538,28159,12555,2008
1537,3100000US20500,20500,"Durham-Chapel Hill, NC Metro Area",197618,13796,68929,74458,26360,14075,2009
1903,310M100US20500,20500,"Durham-Chapel Hill, NC Metro Area",198793,16168,69055,73461,28107,12002,2010
2269,310M100US20500,20500,"Durham-Chapel Hill, NC Metro Area",203088,15952,73154,75066,28586,10330,2011
2635,310M100US20500,20500,"Durham-Chapel Hill, NC Metro Area",207572,18057,71224,78176,28002,12113,2012
3005,310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",209290,13735,75850,77110,29698,12897,2013
3386,310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",213163,16227,74799,78127,30170,13840,2014
3767,310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",215294,14601,78042,81834,28772,12045,2015
4148,310M300US20500,20500,"Durham-Chapel Hill, NC Metro Area",217853,15652,75676,81838,31763,12924,2016
4530,310M300US20500,20500,"Durham-Chapel Hill, NC Metro Area",224437,15379,75957,86193,33384,13524,2017
3006,310M200US20700,20700,"East Stroudsburg, PA Metro Area",58496,2936,16539,23534,10069,5418,2013
3387,310M200US20700,20700,"East Stroudsburg, PA Metro Area",54404,2221,16010,22300,9272,4601,2014
3768,310M200US20700,20700,"East Stroudsburg, PA Metro Area",55681,3518,14788,24144,8889,4342,2015
4149,310M300US20700,20700,"East Stroudsburg, PA Metro Area",57284,2858,21215,20682,8042,4487,2016
4531,310M300US20700,20700,"East Stroudsburg, PA Metro Area",57668,2001,16377,23170,10951,5169,2017
96,3100000US20740,20740,"Eau Claire, WI Metro Area",61753,3127,18515,25090,11119,3902,2005
454,3100000US20740,20740,"Eau Claire, WI Metro Area",63237,3793,18835,24972,10849,4788,2006
813,3100000US20740,20740,"Eau Claire, WI Metro Area",61747,3056,18083,25846,10881,3881,2007
1175,3100000US20740,20740,"Eau Claire, WI Metro Area",63003,3319,18719,26053,10956,3956,2008
1538,3100000US20740,20740,"Eau Claire, WI Metro Area",62577,3065,20597,25545,10003,3367,2009
1904,310M100US20740,20740,"Eau Claire, WI Metro Area",63436,4164,21076,25653,8925,3618,2010
2270,310M100US20740,20740,"Eau Claire, WI Metro Area",64922,4600,20369,24991,9543,5419,2011
2636,310M100US20740,20740,"Eau Claire, WI Metro Area",64765,3392,21353,26232,9757,4031,2012
3007,310M200US20740,20740,"Eau Claire, WI Metro Area",64494,3712,19679,25836,11982,3285,2013
3388,310M200US20740,20740,"Eau Claire, WI Metro Area",65392,3811,20779,25831,11193,3778,2014
3769,310M200US20740,20740,"Eau Claire, WI Metro Area",63854,4002,19493,25761,9650,4948,2015
4150,310M300US20740,20740,"Eau Claire, WI Metro Area",66866,4086,21443,25698,10837,4802,2016
4532,310M300US20740,20740,"Eau Claire, WI Metro Area",67079,3930,19410,26638,11206,5895,2017
97,3100000US20940,20940,"El Centro, CA Metro Area",44987,5030,13934,16560,6213,3250,2005
455,3100000US20940,20940,"El Centro, CA Metro Area",45204,3163,14683,16948,8054,2356,2006
814,3100000US20940,20940,"El Centro, CA Metro Area",46312,5447,17362,14523,6414,2566,2007
1176,3100000US20940,20940,"El Centro, CA Metro Area",46834,6026,13381,16159,7271,3997,2008
1539,3100000US20940,20940,"El Centro, CA Metro Area",48540,5261,15107,15698,7413,5061,2009
1905,310M100US20940,20940,"El Centro, CA Metro Area",48206,4336,15876,15221,8645,4128,2010
2271,310M100US20940,20940,"El Centro, CA Metro Area",48790,4912,15793,18775,6657,2653,2011
2637,310M100US20940,20940,"El Centro, CA Metro Area",46747,4120,15149,17599,6712,3167,2012
3008,310M200US20940,20940,"El Centro, CA Metro Area",47430,2991,15336,18112,7801,3190,2013
3389,310M200US20940,20940,"El Centro, CA Metro Area",43635,3165,13672,15669,7614,3515,2014
3770,310M200US20940,20940,"El Centro, CA Metro Area",45158,3525,13405,16404,8519,3305,2015
4151,310M300US20940,20940,"El Centro, CA Metro Area",44855,3866,11933,16220,8127,4709,2016
4533,310M300US20940,20940,"El Centro, CA Metro Area",44478,2764,12780,16434,8176,4324,2017
101,3100000US21340,21340,"El Paso, TX Metro Area",227491,24023,75907,83284,32022,12255,2005
459,3100000US21340,21340,"El Paso, TX Metro Area",229911,21216,81518,88341,29842,8994,2006
818,3100000US21340,21340,"El Paso, TX Metro Area",231381,21520,78860,85070,32988,12943,2007
1180,3100000US21340,21340,"El Paso, TX Metro Area",237200,20252,77279,91768,33837,14064,2008
1543,3100000US21340,21340,"El Paso, TX Metro Area",241699,18922,87578,88764,30552,15883,2009
1909,310M100US21340,21340,"El Paso, TX Metro Area",248770,20419,86572,89893,38657,13229,2010
2275,310M100US21340,21340,"El Paso, TX Metro Area",257285,20122,88201,97119,37735,14108,2011
2641,310M100US21340,21340,"El Paso, TX Metro Area",260645,21140,83854,99854,39614,16183,2012
3012,310M200US21340,21340,"El Paso, TX Metro Area",259580,20944,86188,94752,40978,16718,2013
3393,310M200US21340,21340,"El Paso, TX Metro Area",256548,18189,86787,97972,38127,15473,2014
3774,310M200US21340,21340,"El Paso, TX Metro Area",261529,18340,87547,97705,41012,16925,2015
4155,310M300US21340,21340,"El Paso, TX Metro Area",268172,20779,90150,93669,41679,21895,2016
4537,310M300US21340,21340,"El Paso, TX Metro Area",270076,18853,82533,103302,43429,21959,2017
98,3100000US21060,21060,"Elizabethtown, KY Metro Area",41858,1904,11892,17565,7984,2513,2005
456,3100000US21060,21060,"Elizabethtown, KY Metro Area",42433,1425,13637,17542,7078,2751,2006
815,3100000US21060,21060,"Elizabethtown, KY Metro Area",40640,1386,11965,17791,5657,3841,2007
1177,3100000US21060,21060,"Elizabethtown, KY Metro Area",45145,2209,13845,17728,7314,4049,2008
1540,3100000US21060,21060,"Elizabethtown, KY Metro Area",43588,2428,13186,17150,7869,2955,2009
1906,310M100US21060,21060,"Elizabethtown, KY Metro Area",44911,1565,14515,18318,7760,2753,2010
2272,310M100US21060,21060,"Elizabethtown, KY Metro Area",43295,2462,14993,16121,6010,3709,2011
2638,310M100US21060,21060,"Elizabethtown, KY Metro Area",44998,2233,13437,16916,9213,3199,2012
3009,310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",56888,3476,17272,21960,9185,4995,2013
3390,310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",54612,2974,18035,19880,8687,5036,2014
3771,310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",56899,3250,17917,21623,9836,4273,2015
4152,310M300US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",56261,3264,15900,21434,9930,5733,2016
4534,310M300US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",57979,2715,16491,23523,9789,5461,2017
99,3100000US21140,21140,"Elkhart-Goshen, IN Metro Area",71028,4239,21896,30013,10693,4187,2005
457,3100000US21140,21140,"Elkhart-Goshen, IN Metro Area",70726,4638,22049,29429,9781,4829,2006
816,3100000US21140,21140,"Elkhart-Goshen, IN Metro Area",71357,5233,22268,29539,10019,4298,2007
1178,3100000US21140,21140,"Elkhart-Goshen, IN Metro Area",70908,6796,20551,27790,10922,4849,2008
1541,3100000US21140,21140,"Elkhart-Goshen, IN Metro Area",69058,5121,22762,27948,9304,3923,2009
1907,310M100US21140,21140,"Elkhart-Goshen, IN Metro Area",67959,5666,23502,26229,8710,3852,2010
2273,310M100US21140,21140,"Elkhart-Goshen, IN Metro Area",70795,5847,22418,29021,10228,3281,2011
2639,310M100US21140,21140,"Elkhart-Goshen, IN Metro Area",70857,6387,22177,27850,10022,4421,2012
3010,310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",71056,6784,21618,28854,8856,4944,2013
3391,310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",70636,6563,21406,29129,9010,4528,2014
3772,310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",68498,6405,20535,26260,9889,5409,2015
4153,310M300US21140,21140,"Elkhart-Goshen, IN Metro Area",72487,5982,21744,28971,11643,4147,2016
4535,310M300US21140,21140,"Elkhart-Goshen, IN Metro Area",73363,6413,20232,30194,11759,4765,2017
100,3100000US21300,21300,"Elmira, NY Metro Area",35119,2765,13629,14045,3467,1213,2005
458,3100000US21300,21300,"Elmira, NY Metro Area",34669,2239,12515,14107,4042,1766,2006
817,3100000US21300,21300,"Elmira, NY Metro Area",34726,3873,11738,13173,4294,1648,2007
1179,3100000US21300,21300,"Elmira, NY Metro Area",34853,3248,12670,14119,3440,1376,2008
1542,3100000US21300,21300,"Elmira, NY Metro Area",36204,4763,14197,12237,3730,1277,2009
1908,310M100US21300,21300,"Elmira, NY Metro Area",35534,4158,13724,12853,3472,1327,2010
2274,310M100US21300,21300,"Elmira, NY Metro Area",35644,3787,12274,12812,5179,1592,2011
2640,310M100US21300,21300,"Elmira, NY Metro Area",34867,4069,12510,12864,3765,1659,2012
3011,310M200US21300,21300,"Elmira, NY Metro Area",35838,4550,12406,12839,4606,1437,2013
3392,310M200US21300,21300,"Elmira, NY Metro Area",34617,4646,10969,13887,3870,1245,2014
3773,310M200US21300,21300,"Elmira, NY Metro Area",34546,4125,11094,13052,5059,1216,2015
4154,310M300US21300,21300,"Elmira, NY Metro Area",34418,3488,12239,12859,4914,918,2016
4536,310M300US21300,21300,"Elmira, NY Metro Area",32247,2813,12657,11905,3805,1067,2017
4156,310M300US21420,21420,"Enid, OK Metro Area",24859,1335,9014,9602,3876,1032,2016
4538,310M300US21420,21420,"Enid, OK Metro Area",22784,734,8153,9251,2984,1662,2017
102,3100000US21500,21500,"Erie, PA Metro Area",107331,10008,38931,43725,10316,4351,2005
460,3100000US21500,21500,"Erie, PA Metro Area",107874,10396,41318,40329,12354,3477,2006
819,3100000US21500,21500,"Erie, PA Metro Area",105632,11339,39268,40153,10429,4443,2007
1181,3100000US21500,21500,"Erie, PA Metro Area",106435,9495,40349,39705,11818,5068,2008
1544,3100000US21500,21500,"Erie, PA Metro Area",108457,11136,40681,41072,11397,4171,2009
1910,310M100US21500,21500,"Erie, PA Metro Area",109388,14313,40971,36812,12867,4425,2010
2276,310M100US21500,21500,"Erie, PA Metro Area",109138,12565,42631,39498,10345,4099,2011
2642,310M100US21500,21500,"Erie, PA Metro Area",109973,11374,40599,41282,12104,4614,2012
3013,310M200US21500,21500,"Erie, PA Metro Area",110733,12091,42855,40950,11724,3113,2013
3394,310M200US21500,21500,"Erie, PA Metro Area",108655,12976,39301,40778,11301,4299,2014
3775,310M200US21500,21500,"Erie, PA Metro Area",110138,11355,43146,39652,11307,4678,2015
4157,310M300US21500,21500,"Erie, PA Metro Area",109705,12021,42608,37926,12759,4391,2016
4539,310M300US21500,21500,"Erie, PA Metro Area",108458,12671,38221,39623,13380,4563,2017
3014,310M200US21660,21660,"Eugene, OR Metro Area",144166,11860,48957,53255,21109,8985,2013
3395,310M200US21660,21660,"Eugene, OR Metro Area",145732,12574,49350,54175,21532,8101,2014
3776,310M200US21660,21660,"Eugene, OR Metro Area",146602,12915,50001,52377,21618,9691,2015
4158,310M300US21660,21660,"Eugene, OR Metro Area",147712,13309,45256,55635,23621,9891,2016
4540,310M300US21660,21660,"Eugene, OR Metro Area",151675,12255,52162,52345,24206,10707,2017
103,3100000US21660,21660,"Eugene-Springfield, OR Metro Area",136635,9799,46963,51452,19835,8586,2005
461,3100000US21660,21660,"Eugene-Springfield, OR Metro Area",137601,10875,44203,53261,20711,8551,2006
820,3100000US21660,21660,"Eugene-Springfield, OR Metro Area",138374,10847,44926,53075,19655,9871,2007
1182,3100000US21660,21660,"Eugene-Springfield, OR Metro Area",142951,13621,47046,51310,22014,8960,2008
1545,3100000US21660,21660,"Eugene-Springfield, OR Metro Area",140782,11235,45477,56346,19943,7781,2009
1911,310M100US21660,21660,"Eugene-Springfield, OR Metro Area",144923,12232,48098,54389,21241,8963,2010
2277,310M100US21660,21660,"Eugene-Springfield, OR Metro Area",145781,12960,50088,54916,20297,7520,2011
2643,310M100US21660,21660,"Eugene-Springfield, OR Metro Area",146327,12751,49295,54077,21003,9201,2012
104,3100000US21780,21780,"Evansville, IN-KY Metro Area",140138,9638,42836,57759,20588,9317,2005
462,3100000US21780,21780,"Evansville, IN-KY Metro Area",142463,10692,44767,55291,23249,8464,2006
821,3100000US21780,21780,"Evansville, IN-KY Metro Area",142027,9871,44539,55834,22831,8952,2007
1183,3100000US21780,21780,"Evansville, IN-KY Metro Area",146258,11664,49279,54610,22140,8565,2008
1546,3100000US21780,21780,"Evansville, IN-KY Metro Area",142331,10009,47987,54155,20171,10009,2009
1912,310M100US21780,21780,"Evansville, IN-KY Metro Area",142984,9523,43707,55478,24062,10214,2010
2278,310M100US21780,21780,"Evansville, IN-KY Metro Area",142972,10537,46304,55961,21953,8217,2011
2644,310M100US21780,21780,"Evansville, IN-KY Metro Area",145212,9915,48424,55083,22884,8906,2012
3015,310M200US21780,21780,"Evansville, IN-KY Metro Area",124343,8362,41083,48380,17913,8605,2013
3396,310M200US21780,21780,"Evansville, IN-KY Metro Area",125439,8592,41899,47795,19856,7297,2014
3777,310M200US21780,21780,"Evansville, IN-KY Metro Area",124936,10024,42809,44906,19553,7644,2015
4159,310M300US21780,21780,"Evansville, IN-KY Metro Area",128277,9438,43137,47857,19869,7976,2016
4541,310M300US21780,21780,"Evansville, IN-KY Metro Area",130667,7935,42538,48707,22739,8748,2017
105,3100000US21820,21820,"Fairbanks, AK Metro Area",30741,1686,9958,11718,4582,2797,2005
463,3100000US21820,21820,"Fairbanks, AK Metro Area",27986,2299,8929,9134,4633,2991,2006
822,3100000US21820,21820,"Fairbanks, AK Metro Area",33673,2410,10183,13393,5340,2347,2007
1184,3100000US21820,21820,"Fairbanks, AK Metro Area",32559,1693,10051,13195,4835,2785,2008
1547,3100000US21820,21820,"Fairbanks, AK Metro Area",31169,1499,9303,12143,5075,3149,2009
1913,310M100US21820,21820,"Fairbanks, AK Metro Area",37413,2597,12498,14869,5315,2134,2010
2279,310M100US21820,21820,"Fairbanks, AK Metro Area",37016,2336,11490,15301,5263,2626,2011
2645,310M100US21820,21820,"Fairbanks, AK Metro Area",35944,2067,10614,16158,4360,2745,2012
3016,310M200US21820,21820,"Fairbanks, AK Metro Area",34056,3189,11129,11909,5920,1909,2013
3397,310M200US21820,21820,"Fairbanks, AK Metro Area",35692,954,10926,14816,5315,3681,2014
3778,310M200US21820,21820,"Fairbanks, AK Metro Area",35475,1763,10748,14279,5089,3596,2015
4160,310M300US21820,21820,"Fairbanks, AK Metro Area",33770,1505,9160,14389,5400,3316,2016
4542,310M300US21820,21820,"Fairbanks, AK Metro Area",35046,1541,10969,13963,5396,3177,2017
106,3100000US22020,22020,"Fargo, ND-MN Metro Area",78341,3135,26179,32387,11899,4741,2005
464,3100000US22020,22020,"Fargo, ND-MN Metro Area",80840,5627,24588,32925,13299,4401,2006
823,3100000US22020,22020,"Fargo, ND-MN Metro Area",81363,6598,26371,31904,11537,4953,2007
1185,3100000US22020,22020,"Fargo, ND-MN Metro Area",84272,5060,27149,35273,12142,4648,2008
1548,3100000US22020,22020,"Fargo, ND-MN Metro Area",84330,4777,26902,34241,12313,6097,2009
1914,310M100US22020,22020,"Fargo, ND-MN Metro Area",86373,4692,29943,35584,11664,4490,2010
2280,310M100US22020,22020,"Fargo, ND-MN Metro Area",87929,6183,27882,36350,12834,4680,2011
2646,310M100US22020,22020,"Fargo, ND-MN Metro Area",89002,5938,28421,36760,12145,5738,2012
3017,310M200US22020,22020,"Fargo, ND-MN Metro Area",90959,6953,27251,38517,12899,5339,2013
3398,310M200US22020,22020,"Fargo, ND-MN Metro Area",92345,5627,30518,36572,14088,5540,2014
3779,310M200US22020,22020,"Fargo, ND-MN Metro Area",96142,6109,31951,40471,11684,5927,2015
4161,310M300US22020,22020,"Fargo, ND-MN Metro Area",99968,7045,30157,42436,14240,6090,2016
4543,310M300US22020,22020,"Fargo, ND-MN Metro Area",100721,5116,31185,41635,14922,7863,2017
107,3100000US22140,22140,"Farmington, NM Metro Area",38026,2726,10989,16668,5817,1826,2005
465,3100000US22140,22140,"Farmington, NM Metro Area",38559,2364,13689,12448,7266,2792,2006
824,3100000US22140,22140,"Farmington, NM Metro Area",39496,1858,10837,16576,6296,3929,2007
1186,3100000US22140,22140,"Farmington, NM Metro Area",39861,1814,12164,16272,6996,2615,2008
1549,3100000US22140,22140,"Farmington, NM Metro Area",39609,2166,11329,14993,7020,4101,2009
1915,310M100US22140,22140,"Farmington, NM Metro Area",41703,2490,13334,15752,6147,3980,2010
2281,310M100US22140,22140,"Farmington, NM Metro Area",42224,1869,12420,17470,6529,3936,2011
2647,310M100US22140,22140,"Farmington, NM Metro Area",40025,2460,11731,14944,6708,4182,2012
3018,310M200US22140,22140,"Farmington, NM Metro Area",37847,2039,12705,14071,6552,2480,2013
3399,310M200US22140,22140,"Farmington, NM Metro Area",40378,3234,10926,16225,5304,4689,2014
3780,310M200US22140,22140,"Farmington, NM Metro Area",43030,2341,13003,16563,7627,3496,2015
4162,310M300US22140,22140,"Farmington, NM Metro Area",43093,1757,12632,17542,6777,4385,2016
4544,310M300US22140,22140,"Farmington, NM Metro Area",41071,1997,13370,14158,7487,4059,2017
108,3100000US22180,22180,"Fayetteville, NC Metro Area",129829,11066,39714,53298,19248,6503,2005
466,3100000US22180,22180,"Fayetteville, NC Metro Area",132591,9658,42053,52053,21655,7172,2006
825,3100000US22180,22180,"Fayetteville, NC Metro Area",129458,8688,43455,48518,20165,8632,2007
1187,3100000US22180,22180,"Fayetteville, NC Metro Area",132566,9177,45690,49043,21225,7431,2008
1550,3100000US22180,22180,"Fayetteville, NC Metro Area",132109,8909,45909,48659,20653,7979,2009
1916,310M100US22180,22180,"Fayetteville, NC Metro Area",133054,7408,47077,48388,21384,8797,2010
2282,310M100US22180,22180,"Fayetteville, NC Metro Area",135555,9605,46837,51529,19485,8099,2011
2648,310M100US22180,22180,"Fayetteville, NC Metro Area",139404,8824,50143,51297,20970,8170,2012
3019,310M200US22180,22180,"Fayetteville, NC Metro Area",142827,9291,53562,53600,18430,7944,2013
3400,310M200US22180,22180,"Fayetteville, NC Metro Area",140204,8329,55222,50380,19673,6600,2014
3781,310M200US22180,22180,"Fayetteville, NC Metro Area",137158,10323,50624,48582,20132,7497,2015
4163,310M300US22180,22180,"Fayetteville, NC Metro Area",141972,8540,53737,52079,20006,7610,2016
4545,310M300US22180,22180,"Fayetteville, NC Metro Area",143306,8659,54773,51559,19451,8864,2017
109,3100000US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",153564,6471,45273,67035,23736,11049,2005
467,3100000US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",160511,6105,50957,69577,23579,10293,2006
826,3100000US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",160013,7142,49439,69686,23931,9815,2007
1188,3100000US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",162875,7517,53814,69950,21933,9661,2008
1551,3100000US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",165413,8493,54123,67601,26421,8775,2009
1917,310M100US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",170006,9181,54706,72599,22951,10569,2010
2283,310M100US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",177663,8041,59252,73313,26987,10070,2011
2649,310M100US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",179264,8908,58208,74485,27593,10070,2012
3020,310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",178227,6803,54957,74260,29261,12946,2013
3401,310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",182570,6740,62028,72937,28149,12716,2014
3782,310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",190860,8974,60791,78731,29189,13175,2015
4164,310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",196775,11785,59873,78335,33393,13389,2016
4546,310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",194671,8641,57849,82542,32300,13339,2017
110,3100000US22380,22380,"Flagstaff, AZ Metro Area",43435,2429,15126,17361,5405,3114,2005
468,3100000US22380,22380,"Flagstaff, AZ Metro Area",43189,2999,13030,18713,5754,2693,2006
827,3100000US22380,22380,"Flagstaff, AZ Metro Area",43142,2271,14436,17089,6341,3005,2007
1189,3100000US22380,22380,"Flagstaff, AZ Metro Area",46500,2274,16057,16468,8098,3603,2008
1552,3100000US22380,22380,"Flagstaff, AZ Metro Area",44132,1979,14778,16741,6475,4159,2009
1918,310M100US22380,22380,"Flagstaff, AZ Metro Area",44276,2437,17660,15323,6875,1981,2010
2284,310M100US22380,22380,"Flagstaff, AZ Metro Area",44826,3067,15479,18357,5349,2574,2011
2650,310M100US22380,22380,"Flagstaff, AZ Metro Area",46366,2872,15754,17744,6611,3385,2012
3021,310M200US22380,22380,"Flagstaff, AZ Metro Area",49002,3019,16807,16336,9139,3701,2013
3402,310M200US22380,22380,"Flagstaff, AZ Metro Area",46919,2639,14726,18809,7066,3679,2014
3783,310M200US22380,22380,"Flagstaff, AZ Metro Area",45911,2233,14127,16843,7401,5307,2015
4165,310M300US22380,22380,"Flagstaff, AZ Metro Area",47408,2372,14700,16983,10027,3326,2016
4547,310M300US22380,22380,"Flagstaff, AZ Metro Area",47977,1768,15510,19653,7465,3581,2017
111,3100000US22420,22420,"Flint, MI Metro Area",173441,12348,60308,71500,20357,8928,2005
469,3100000US22420,22420,"Flint, MI Metro Area",177191,11711,61937,70211,24280,9052,2006
828,3100000US22420,22420,"Flint, MI Metro Area",170767,13724,63322,63430,22338,7953,2007
1190,3100000US22420,22420,"Flint, MI Metro Area",169002,13178,64488,61963,21634,7739,2008
1553,3100000US22420,22420,"Flint, MI Metro Area",169776,13671,66592,61826,21652,6035,2009
1919,310M100US22420,22420,"Flint, MI Metro Area",166539,15906,65685,58870,18668,7410,2010
2285,310M100US22420,22420,"Flint, MI Metro Area",163473,13096,61907,60731,20271,7468,2011
2651,310M100US22420,22420,"Flint, MI Metro Area",166225,14362,62794,61184,19711,8174,2012
3022,310M200US22420,22420,"Flint, MI Metro Area",163740,17108,63717,55637,18193,9085,2013
3403,310M200US22420,22420,"Flint, MI Metro Area",167096,15133,63966,60430,19121,8446,2014
3784,310M200US22420,22420,"Flint, MI Metro Area",163488,15013,62069,59557,18251,8598,2015
4166,310M300US22420,22420,"Flint, MI Metro Area",167171,15642,63126,58110,21010,9283,2016
4548,310M300US22420,22420,"Flint, MI Metro Area",165719,15279,60663,59846,21560,8371,2017
112,3100000US22500,22500,"Florence, SC Metro Area",72293,6057,25823,26262,10415,3736,2005
470,3100000US22500,22500,"Florence, SC Metro Area",72367,5640,25102,25938,12039,3648,2006
829,3100000US22500,22500,"Florence, SC Metro Area",73691,6439,25206,26595,11062,4389,2007
1191,3100000US22500,22500,"Florence, SC Metro Area",75652,6622,23877,28465,12787,3901,2008
1554,3100000US22500,22500,"Florence, SC Metro Area",75679,6499,25853,27219,11923,4185,2009
1920,310M100US22500,22500,"Florence, SC Metro Area",79218,7631,29384,28285,10304,3614,2010
2286,310M100US22500,22500,"Florence, SC Metro Area",77239,6409,27181,24948,13960,4741,2011
2652,310M100US22500,22500,"Florence, SC Metro Area",77878,6857,28672,27282,10621,4446,2012
3023,310M200US22500,22500,"Florence, SC Metro Area",77550,8011,27358,27062,9758,5361,2013
3404,310M200US22500,22500,"Florence, SC Metro Area",77815,7514,25985,27388,12238,4690,2014
3785,310M200US22500,22500,"Florence, SC Metro Area",79914,7406,29609,26876,10743,5280,2015
4167,310M300US22500,22500,"Florence, SC Metro Area",76117,6816,24320,28766,10521,5694,2016
4549,310M300US22500,22500,"Florence, SC Metro Area",79458,8082,27863,25735,12129,5649,2017
113,3100000US22520,22520,"Florence-Muscle Shoals, AL Metro Area",59584,4438,17235,22898,10335,4678,2005
471,3100000US22520,22520,"Florence-Muscle Shoals, AL Metro Area",57616,3559,15172,21904,11644,5337,2006
830,3100000US22520,22520,"Florence-Muscle Shoals, AL Metro Area",59650,3562,19141,21407,10771,4769,2007
1192,3100000US22520,22520,"Florence-Muscle Shoals, AL Metro Area",59855,2848,17781,22429,11429,5368,2008
