,Abbreviation,State,Cluster,MSA_Name,MNAME
157,GPT ,LA-MS,3,Gulfport-Biloxi-Pascagoula ,"Gulfport-Biloxi-Pascagoula, LA-MS Metro Area"
158,HAN ,CA,3,Hanford-Corcoran ,"Hanford-Corcoran, CA Metro Area"
159,MDT ,PA,3,Harrisburg-Carlisle ,"Harrisburg-Carlisle, PA Metro Area"
160,HAR ,VA,3,Harrisonburg ,"Harrisonburg, VA Metro Area"
161,HIC ,NC,3,Hickory-Lenoir-Morganton ,"Hickory-Lenoir-Morganton, NC Metro Area"
162,HOL ,MI,3,Holland ,"Holland, MI Metro Area"
163,HUN ,OH,3,Huntington-Ashland ,"Huntington-Ashland, OH Metro Area"
164,HSV ,AL,3,Huntsville ,"Huntsville, AL Metro Area"
165,JAC ,MI,3,Jackson ,"Jackson, MI Metro Area"
166,JAN ,MS,3,Jackson ,"Jackson, MS Metro Area"
167,JSN ,TN,3,Jackson ,"Jackson, TN Metro Area"
168,JAX ,FL,3,Jacksonville ,"Jacksonville, FL Metro Area"
169,KAL ,MI,3,Kalamazoo-Portage ,"Kalamazoo-Portage, MI Metro Area"
170,KAN ,IL,3,Kankakee ,"Kankakee, IL Metro Area"
171,KEN ,WA,3,Kennewick-Richland ,"Kennewick-Richland, WA Metro Area"
172,KNO ,TN,3,Knoxville ,"Knoxville, TN Metro Area"
173,KOK ,IN,3,Kokomo ,"Kokomo, IN Metro Area"
174,LAF ,LA,3,Lafayette ,"Lafayette, LA Metro Area"
175,LWL ,IN,3,Lafayette-West Lafayette ,"Lafayette-West Lafayette, IN Metro Area"
176,LAK ,FL,3,Lakeland-Winter Haven ,"Lakeland-Winter Haven, FL Metro Area"
177,LAN ,MI,3,Lansing-East Lansing ,"Lansing-East Lansing, MI Metro Area"
178,LIT ,AR,3,Little Rock-North Little Rock-Conway ,"Little Rock-North Little Rock-Conway, AR Metro Area"
179,LON ,WA,3,Longview ,"Longview, WA Metro Area"
180,LYN ,VA,3,Lynchburg ,"Lynchburg, VA Metro Area"
181,MED ,OR,3,Medford ,"Medford, OR Metro Area"
182,MER ,CA,3,Merced ,"Merced, CA Metro Area"
183,MOB ,AL,3,Mobile ,"Mobile, AL Metro Area"
184,MON ,AL,3,Montgomery ,"Montgomery, AL Metro Area"
185,MVN ,WA,3,Mount Vernon-Anacortes ,"Mount Vernon-Anacortes, WA Metro Area"
186,MUN ,IN,3,Muncie ,"Muncie, IN Metro Area"
187,NIL ,MI,3,Niles-Benton Harbor ,"Niles-Benton Harbor, MI Metro Area"
188,OCA ,FL,3,Ocala ,"Ocala, FL Metro Area"
189,OLY ,WA,3,Olympia-Tumwater ,"Olympia-Tumwater, WA Metro Area"
190,MEL ,FL,3,Palm Bay-Melbourne-Titusville ,"Palm Bay-Melbourne-Titusville, FL Metro Area"
191,PAN ,FL,3,Panama City ,"Panama City, FL Metro Area"
192,PNS ,FL,3,Pensacola-Ferry Pass-Brent ,"Pensacola-Ferry Pass-Brent, FL Metro Area"
193,PEO ,IL,3,Peoria ,"Peoria, IL Metro Area"
194,PSL ,FL,3,Port St. Lucie ,"Port St. Lucie, FL Metro Area"
195,PSP ,ME,3,Portland-South Portland ,"Portland-South Portland, ME Metro Area"
196,RAC ,WI,3,Racine ,"Racine, WI Metro Area"
197,RED ,CA,3,Redding ,"Redding, CA Metro Area"
198,RIC ,VA,3,Richmond ,"Richmond, VA Metro Area"
199,ROA ,VA,3,Roanoke ,"Roanoke, VA Metro Area"
200,RST ,MN,3,Rochester ,"Rochester, MN Metro Area"
201,RCK ,IL,3,Rockford ,"Rockford, IL Metro Area"
202,ROM ,GA,3,Rome ,"Rome, GA Metro Area"
