NTD_ID,MODE,SERVICE_ID,2002
3040,MB,DO,"613,265.00"
3042,MB,DO,"240,500.00"
3044,DR,PT,"18,824.00"
3044,MB,PT,"260,160.00"
3048,DR,PT,"63,838.00"
3048,MB,PT,"209,190.00"
3050,DR,DO,"705,926.00"
3050,MB,DO,"94,113.00"
3051,DR,PT,0
3051,MB,DO,"74,143,361.00"
3051,MB,PT,"813,275.00"
3054,DR,PT,"64,737.00"
3054,MB,DO,"2,763,065.00"
3057,CR,PT,"2,645,460.00"
3058,MB,DO,"199,351.00"
3061,DR,PT,386
3061,MB,PT,"454,396.00"
3067,DR,PT,"6,397,331.00"
3068,MB,DO,"2,694,398.00"
3069,DR,DO,"40,660.00"
3069,MB,DO,"181,173.00"
3070,MB,PT,"3,299,468.00"
3071,MB,DO,"1,616,019.00"
3072,DR,DO,"164,612.00"
3072,MB,DO,"162,482.00"
3073,CR,PT,"12,753,214.00"
3074,DR,DO,"40,948.00"
3074,MB,DO,"114,842.00"
3075,CR,PT,"1,965,365.00"
3075,DR,DO,"810,833.00"
3075,DR,PT,"14,458.00"
3075,MB,DO,"5,266,318.00"
3075,MB,PT,"250,717.00"
3076,DR,DO,"10,261.00"
3076,MB,DO,"65,424.00"
3076,MB,PT,"48,272.00"
3078,VP,PT,"335,497.00"
3081,MB,PT,"835,109.00"
3083,DR,DO,"422,805.00"
3083,DR,PT,"132,226.00"
3083,FB,PT,0
3083,MB,DO,"12,436,865.00"
3083,VP,DO,0
3084,VP,DO,"113,385.00"
4001,DR,DO,"102,068.00"
4001,DR,PT,"20,000.00"
4001,IP,DO,"1,409,378.00"
4001,MB,DO,"1,295,444.00"
4002,DR,DO,"61,109.00"
4002,MB,DO,"778,064.00"
4003,DR,DO,"176,677.00"
4003,LR,DO,"514,991.00"
4003,MB,DO,"9,166,681.00"
4004,DR,DO,"198,660.00"
4004,MB,DO,"6,028,969.00"
4005,DR,PT,"33,072.00"
4005,MB,DO,"511,871.00"
4006,DR,DO,"4,508.00"
4006,MB,DO,"369,616.00"
4007,DR,DO,"40,575.00"
4007,MB,DO,"1,851,120.00"
4008,DR,DO,"367,696.00"
4008,DR,PT,"3,334.00"
4008,MB,DO,"7,896,570.00"
4008,MB,PT,"137,914.00"
4008,VP,DO,"567,357.00"
4009,DR,DO,"16,933.00"
4009,MB,DO,"504,129.00"
4011,DR,DO,"34,838.00"
4011,DR,PT,"24,201.00"
4011,MB,DO,"324,319.00"
4012,DR,DO,0
4012,MB,DO,"2,173,872.00"
4014,DR,DO,"467,860.00"
4014,MB,DO,"362,622.00"
4015,DR,DO,"18,212.00"
4015,MB,DO,"369,256.00"
4017,DR,PT,"129,404.00"
4017,MB,DO,"1,591,068.00"
4018,DR,DO,"76,315.00"
4018,DR,PT,"584,789.00"
4018,MB,DO,"5,364,804.00"
4018,MB,PT,"10,083.00"
4019,DR,DO,"47,694.00"
4019,MB,DO,"3,055,556.00"
4021,DR,DO,"41,952.00"
4021,MB,DO,"303,082.00"
4022,DR,DO,"321,377.00"
4022,HR,DO,"47,988,075.00"
4022,MB,DO,"50,840,483.00"
4022,MB,PT,"912,064.00"
4023,DR,DO,"22,940.00"
4023,MB,DO,"626,766.00"
4024,DR,DO,"38,126.00"
4024,MB,DO,"679,681.00"
4025,DR,PT,"63,026.00"
4025,MB,DO,"2,692,983.00"
4026,DR,DO,"58,953.00"
4026,DR,PT,"23,062.00"
4026,MB,DO,"332,997.00"
4026,VP,DO,0
4027,DR,PT,"606,706.00"
4027,MB,DO,"7,817,301.00"
4028,DR,PT,"202,416.00"
4028,MB,DO,"1,412,866.00"
4028,VP,PT,"15,120.00"
4029,DR,PT,"1,883,916.00"
4029,MB,DO,"15,315,612.00"
4029,MB,PT,"111,694.00"
4030,DR,PT,0
4030,MB,DO,"714,183.00"
4031,DR,DO,"111,452.00"
4031,MB,DO,"513,481.00"
4032,DR,DO,"516,373.00"
4032,DR,PT,"189,627.00"
4032,MB,DO,"1,311,809.00"
4032,MB,PT,"14,808.00"
4032,VP,DO,"56,237.00"
4034,AG,DO,"440,830.00"
4034,DR,PT,"2,661,073.00"
4034,HR,DO,"9,893,201.00"
4034,MB,DO,"54,728,551.00"
4035,DR,PT,"853,061.00"
4035,MB,DO,"11,714,699.00"
4035,VP,PT,"320,748.00"
4036,DR,DO,"438,537.00"
4036,DR,PT,"21,050.00"
4036,MB,DO,"2,732,200.00"
4037,DR,PT,"678,280.00"
4037,MB,DO,"5,027,119.00"
4037,MB,PT,"23,470.00"
4038,DR,PT,"103,428.00"
4038,MB,DO,"836,935.00"
4040,AG,DO,"326,435.00"
4040,DR,PT,"11,443,056.00"
