5 digit NTD ID,4 digit NTD ID,Agency,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population
20096,2096,Putnam County Transit,Carmel,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",120,"70,291"
20098,2098,Port Authority Trans-Hudson Corporation,Jersey City,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",226,"3,116,788"
20099,2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",Staten Island,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",59,"476,015"
20100,2100,MTA Long Island Rail Road,Jamaica,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","2,967","11,391,756"
20113,2113,"Regional Transit Service, Inc. and Lift Line, Inc.",Rochester,NY,60,"Rochester, NY",324,"720,572",293,"694,394"
20116,2116,"Centro of Cayuga, Inc.",Syracuse,NY,90,"Syracuse, NY",195,"412,317",74,"57,608"
20117,2117,"Liberty Lines Express, Inc.",Yonkers,NY,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",42,"1,332,650"
20120,2120,Greater Glens Falls Transit System,Queensbury,NY,419,"Glens Falls, NY",42,"65,443",57,"61,090"
20122,2122,"Academy Lines, Inc.",Hoboken,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",468,"1,455,245"
20126,2126,"Hudson Transit Lines, Inc.",Mahwah,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",90,"187,257"
20128,2128,Suburban Transit Corporation,New Brunswick,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",202,"514,162"
20132,2132,New Jersey Transit Corporation-45,Newark,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","2,898","5,443,000"
20135,2135,Monsey New Square Trails Corporation,Spring Valley,NY,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295",176,"286,573"
20136,2136,Queens Surface Corporation,Flushing,NY,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",112,"1,952,000"
20137,2137,Monroe Bus Corporation,Brooklyn,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",265,"351,982"
20145,2145,Tompkins Consolidated Area Transit,Ithaca,NY,473,"Ithaca, NY",25,"53,661",476,"103,617"
20147,2147,GTJC,Lynbrook,NY,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",322,"8,008,278"
20148,2148,Newburgh Beacon Bus Corporation,New Windsor,NY,89,"Poughkeepsie-Newburgh, NY-NJ",327,"423,566",132,"249,175"
20149,2149,"Rockland Coaches, Inc.",Westwood,NJ,1,"New York-Newark, NY-NJ-CT","3,450","18,351,295","2,898","1,246,231"
20154,2154,New York Waterway,Weehawken,NJ,1,"New York-Newark, NY-NJ-CT","3,353","17,799,861",0,0
