,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,HQ City,HQ State,UZA Name,UZA,UZA Area SQ Miles,UZA Population,MODE,SERVICE_ID,RailBus,Service Area SQ Miles,Service Area Population,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
198,7,7,7,Lane Transit District,Eugene,OR,"Eugene, OR",151,87,"247,421",RB,DO,Bus,482,"302,200",0.0,0.0,0.0,0.0,0.0,0.0,156662.0,1560433.0,1660015.0,1772690.0,1897201.0,1914337.0,1945538.0
204,8,8,8,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",DR,PT,DemandResponse,534,"1,560,803",127756.0,3344843.0,3498416.0,3547874.0,5160538.0,4027942.0,4333877.0,4192994.0,3708623.0,5168822.0,6737573.0,7312066.0,7769411.0
211,8,8,8,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",LR,DO,Rail,534,"1,560,803",23249374.0,26149543.0,29337862.0,31495353.0,33868269.0,36908552.0,40843683.0,43069976.0,46442818.0,46404323.0,46025815.0,49059712.0,49384596.0
218,8,8,8,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",MB,DO,Bus,534,"1,560,803",37559384.0,40714948.0,44760793.0,47467995.0,54044751.0,54468361.0,53576580.0,56332405.0,63818606.0,65529184.0,68567921.0,66843094.0,65512900.0
225,8,0,0,0,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",CR,PT,Rail,534,"1,560,803",0.0,0.0,0.0,0.0,107831.0,311656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,8,8,8,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",DT,PT,DemandResponse,534,"1,560,803",0.0,0.0,0.0,0.0,0.0,424965.0,488721.0,517941.0,431486.0,610351.0,867326.0,1095793.0,1118651.0
239,8,0,0,0,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",SR,DO,Rail,534,"1,560,803",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,8,8,8,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",YR,PT,Other,534,"1,560,803",0.0,0.0,0.0,0.0,0.0,0.0,386003.0,447356.0,467838.0,554133.0,522503.0,540148.0,473627.0
253,8,8,8,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",24,524,"1,849,898",SR,PT,Rail,534,"1,560,803",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363170.0,531922.0,498003.0,854201.0,801809.0
260,11,11,11,Valley Regional Transit,Meridian,ID,"Boise City, ID",108,134,"349,684",DR,DO,DemandResponse,66,"338,759",60152.0,61028.0,73095.0,76404.0,69840.0,64402.0,79017.0,84318.0,86154.0,93103.0,88536.0,94984.0,95852.0
264,11,0,0,0,Meridian,ID,"Boise City, ID",108,134,"349,684",DR,PT,DemandResponse,66,"338,759",5040.0,6261.0,4546.0,3956.0,4082.0,3620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,11,11,11,Valley Regional Transit,Meridian,ID,"Boise City, ID",108,134,"349,684",MB,DO,Bus,66,"338,759",577551.0,503501.0,560870.0,667818.0,727279.0,746074.0,893179.0,862227.0,906723.0,877868.0,931936.0,790719.0,841606.0
272,11,0,0,0,Meridian,ID,"Boise City, ID",108,134,"349,684",MB,PT,Bus,66,"338,759",110939.0,135536.0,137934.0,215109.0,168319.0,148617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,12,12,12,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",149,85,"251,243",DR,PT,DemandResponse,77,"299,037",776647.0,851340.0,1053691.0,1302135.0,1570258.0,1538561.0,1736457.0,1676912.0,1237847.0,1245627.0,1220138.0,1168554.0,931437.0
280,12,12,12,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",149,85,"251,243",MB,DO,Bus,77,"299,037",2867604.0,3461154.0,3331361.0,3770857.0,3762970.0,3774194.0,4115324.0,4353774.0,4265961.0,4243486.0,4191141.0,3904205.0,3207156.0
284,12,12,12,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",149,85,"251,243",VP,PT,DemandResponse,77,"299,037",354035.0,280639.0,611177.0,0.0,310798.0,345266.0,771522.0,833383.0,643117.0,1595871.0,1175529.0,932106.0,755753.0
288,12,0,0,0,Anchorage,AK,"Anchorage, AK",149,85,"251,243",MB,PT,Bus,77,"299,037",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28066.0
292,16,16,16,RiverCities Transit,Longview,WA,"Longview, WA-OR",431,33,"63,952",DR,PT,DemandResponse,23,"49,200",6526.0,7707.0,8821.0,11631.0,7265.0,13892.0,14572.0,14996.0,20288.0,0.0,14948.0,31743.0,35145.0
295,16,16,16,RiverCities Transit,Longview,WA,"Longview, WA-OR",431,33,"63,952",MB,DO,Bus,23,"49,200",92209.0,93844.0,107533.0,119890.0,67993.0,127443.0,134864.0,131217.0,123942.0,121006.0,133339.0,160952.0,153470.0
298,16,0,0,0,Longview,WA,"Longview, WA-OR",431,33,"63,952",VP,DO,DemandResponse,23,"49,200",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,288.0
301,18,18,18,Ben Franklin Transit,Richland,WA,"Kennewick-Pasco, WA",171,102,"210,975",DR,DO,DemandResponse,616,"251,151",139255.0,281220.0,189211.0,221035.0,270828.0,283732.0,294618.0,303952.0,261144.0,290085.0,288193.0,304891.0,317092.0
306,18,18,18,Ben Franklin Transit,Richland,WA,"Kennewick-Pasco, WA",171,102,"210,975",DR,PT,DemandResponse,616,"251,151",142014.0,53058.0,68030.0,170704.0,135465.0,10.0,200.0,1400.0,31275.0,30660.0,31742.0,32694.0,33505.0
311,18,18,18,Ben Franklin Transit,Richland,WA,"Kennewick-Pasco, WA",171,102,"210,975",MB,DO,Bus,616,"251,151",668095.0,708239.0,1013459.0,1125487.0,1194936.0,1303603.0,1374355.0,1376351.0,1277604.0,1461664.0,1285120.0,1316704.0,1483642.0
316,18,18,18,Ben Franklin Transit,Richland,WA,"Kennewick-Pasco, WA",171,102,"210,975",VP,DO,DemandResponse,616,"251,151",1204748.0,1172849.0,1538866.0,2005830.0,2367733.0,2253987.0,2492744.0,2317843.0,2156253.0,2282102.0,2209862.0,2122070.0,1877932.0
321,18,18,18,Ben Franklin Transit,Richland,WA,"Kennewick-Pasco, WA",171,102,"210,975",DT,PT,DemandResponse,616,"251,151",0.0,0.0,0.0,0.0,0.0,95299.0,85402.0,107822.0,99954.0,155724.0,165741.0,152090.0,129090.0
326,19,19,19,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,106,"176,617",DR,DO,DemandResponse,101,"178,328",58810.0,103356.0,113448.0,124936.0,149473.0,160737.0,187415.0,197789.0,210126.0,236646.0,284661.0,285297.0,273955.0
330,19,19,19,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,106,"176,617",MB,DO,Bus,101,"178,328",1390997.0,1482310.0,1628735.0,1850861.0,2306799.0,2414920.0,2381146.0,2194800.0,2463042.0,2608098.0,2475078.0,2569963.0,2316371.0
334,19,19,19,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,106,"176,617",VP,DO,DemandResponse,101,"178,328",620317.0,770923.0,951969.0,1128136.0,1485139.0,1367099.0,1474232.0,1641547.0,1845933.0,1832856.0,1746164.0,1544524.0,1434951.0
338,19,19,19,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,106,"176,617",CB,DO,Bus,101,"178,328",0.0,0.0,0.0,0.0,0.0,0.0,0.0,346848.0,387089.0,289072.0,255059.0,243220.0,219148.0
342,19,19,19,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,106,"176,617",CB,PT,Bus,101,"178,328",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13027.0,68452.0,72227.0,64014.0,31696.0
346,20,20,20,Kitsap Transit,Bremerton,WA,"Bremerton, WA",180,136,"198,979",DR,DO,DemandResponse,396,"254,183",201298.0,304433.0,319074.0,323069.0,349719.0,306714.0,298238.0,294996.0,298168.0,295423.0,372561.0,311177.0,266329.0
352,20,20,20,Kitsap Transit,Bremerton,WA,"Bremerton, WA",180,136,"198,979",FB,PT,Other,396,"254,183",195603.0,231064.0,238098.0,300442.0,548627.0,751773.0,939122.0,827536.0,779834.0,761800.0,834621.0,495647.0,601182.0
358,20,20,20,Kitsap Transit,Bremerton,WA,"Bremerton, WA",180,136,"198,979",MB,DO,Bus,396,"254,183",1897753.0,2657745.0,2769629.0,3414453.0,4649636.0,5935508.0,5758992.0,5314319.0,5145340.0,5027829.0,4866090.0,4147052.0,4023907.0
364,20,20,20,Kitsap Transit,Bremerton,WA,"Bremerton, WA",180,136,"198,979",VP,DO,DemandResponse,396,"254,183",323923.0,543619.0,587281.0,646680.0,846431.0,958583.0,924836.0,740109.0,589039.0,646508.0,596936.0,481700.0,505729.0
370,20,20,0,Kitsap Transit,Bremerton,WA,"Bremerton, WA",180,136,"198,979",DT,PT,DemandResponse,396,"254,183",0.0,0.0,0.0,0.0,0.0,822.0,1595.0,822.0,248.0,284.0,0.0,362.0,422.0
376,20,0,0,0,Bremerton,WA,"Bremerton, WA",180,136,"198,979",FB,DO,Other,396,"254,183",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398573.0
382,21,21,21,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",275,48,"114,473",DR,DO,DemandResponse,776,"212,357",105322.0,132825.0,142379.0,144926.0,159365.0,179176.0,170743.0,75953.0,76441.0,80929.0,80336.0,79745.0,91098.0
387,21,0,0,0,Bellingham,WA,"Bellingham, WA",275,48,"114,473",DR,PT,DemandResponse,776,"212,357",63.0,65.0,81.0,92.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,21,21,21,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",275,48,"114,473",MB,DO,Bus,776,"212,357",904048.0,1013928.0,1089636.0,1273068.0,1384476.0,1519401.0,1663823.0,1858288.0,1859314.0,1825001.0,1669332.0,2427484.0,2564870.0
