UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bellingham, WA",Bus,21,275,904048.0,1013928.0,1089636.0,1273068.0,1384476.0,1519401.0,1663823.0,1858288.0,1859314.0,1825001.0,1669332.0,2427484.0,2564870.0
"Bellingham, WA",DemandResponse,84,1100,105385.0,132890.0,142460.0,145018.0,345796.0,404404.0,307618.0,250928.0,293540.0,351086.0,313728.0,279248.0,269005.0
"Beloit, WI-IL",Bus,50109,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193684.0,176760.0,153860.0,136295.0
"Beloit, WI-IL",DemandResponse,50109,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15507.0,13982.0,12423.0,18351.0
"Bend, OR",Bus,221,1376,0.0,0.0,99937.0,131679.0,151217.0,163009.0,210335.0,330540.0,375492.0,446537.0,483618.0,607493.0,603662.0
"Bend, OR",DemandResponse,164,1032,0.0,0.0,57843.0,64221.0,54425.0,82725.0,72117.0,199155.0,141501.0,137895.0,164559.0,157379.0,135577.0
"Benton Harbor-St. Joseph-Fair Plain, MI",Bus,50132,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59198.0,63522.0,60171.0,55827.0
"Benton Harbor-St. Joseph-Fair Plain, MI",DemandResponse,50132,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239163.0,241635.0,208471.0,194229.0
"Billings, MT",Bus,80004,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325842.0,306906.0,292958.0,360464.0
"Billings, MT",DemandResponse,80004,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173341.0,160051.0,170866.0,205459.0
"Binghamton, NY-PA",Bus,40161,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638853.0,1543406.0,2383675.0,2551381.0
"Binghamton, NY-PA",DemandResponse,60164,630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371788.0,200905.0,215018.0,195937.0
"Birmingham, AL",Bus,40042,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2345625.0,2150759.0,2070265.0,1891873.0
"Birmingham, AL",DemandResponse,80211,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651788.0,485709.0,535193.0,507895.0
"Bismarck, ND",Bus,80019,349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63352.0,70346.0,75321.0,66516.0
