,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,MODE,SERVICE_ID,RailBus,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NTD_ID_STR_x,NTD_5_Digit,NTD_ID_INT,5 digit NTD ID,4 digit NTD ID,Agency_y,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID_STR_y,_merge
1669,4095,0,0,Greenville Area Transit,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27110.0,27600.0,0.0,0.0,0.0,0.0,4095,40095,40095,,,,,,,,,,,,,left_only
1670,4095,0,0,Greenville Area Transit,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289599.0,303126.0,0.0,0.0,0.0,0.0,4095,40095,40095,,,,,,,,,,,,,left_only
1671,4096,0,0,Tar River Transit,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91586.0,86015.0,0.0,0.0,0.0,0.0,4096,40096,40096,,,,,,,,,,,,,left_only
1672,4096,0,0,Tar River Transit,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211923.0,189409.0,0.0,0.0,0.0,0.0,4096,40096,40096,,,,,,,,,,,,,left_only
1673,4114,0,0,Municipality of Aguada,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4114,40114,40114,,,,,,,,,,,,,left_only
1674,4114,0,0,Municipality of Aguada,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4114,40114,40114,,,,,,,,,,,,,left_only
1675,4121,0,0,Municipality of Hormigueros,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4121,40121,40121,,,,,,,,,,,,,left_only
1676,4121,0,0,Municipality of Hormigueros,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4121,40121,40121,,,,,,,,,,,,,left_only
1677,4123,0,0,Federal Programs Municipality of Gurabo,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4123,40123,40123,,,,,,,,,,,,,left_only
1678,4123,0,0,Federal Programs Municipality of Gurabo,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4123,40123,40123,,,,,,,,,,,,,left_only
1679,4131,0,0,Davidson County Transportation,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,8425.0,0.0,2958.0,0.0,0.0,0.0,0.0,4131,40131,40131,,,,,,,,,,,,,left_only
1681,4137,0,0,Municipality of Bayamon,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4137,40137,40137,,,,,,,,,,,,,left_only
1682,4137,0,0,Municipality of Bayamon,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4137,40137,40137,,,,,,,,,,,,,left_only
1683,4150,0,0,Municipality of Barceloneta,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4150,40150,40150,,,,,,,,,,,,,left_only
1684,4150,0,0,Municipality of Barceloneta,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4150,40150,40150,,,,,,,,,,,,,left_only
1685,4156,0,0,Lower Savannah COG,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26453.0,30422.0,0.0,0.0,0.0,0.0,4156,40156,40156,,,,,,,,,,,,,left_only
1688,4162,0,0,Franklin Transit Authority,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,25992.0,26880.0,52299.0,0.0,0.0,0.0,0.0,4162,40162,40162,,,,,,,,,,,,,left_only
1689,4162,0,0,Franklin Transit Authority,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,37403.0,40320.0,19460.0,0.0,0.0,0.0,0.0,4162,40162,40162,,,,,,,,,,,,,left_only
1690,4164,0,0,Municipality of Fajardo,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164,40164,40164,,,,,,,,,,,,,left_only
1691,4164,0,0,Municipality of Fajardo,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164,40164,40164,,,,,,,,,,,,,left_only
1692,4167,0,0,Concord Kannapolis Area Transit,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,188357.0,224597.0,254383.0,0.0,0.0,0.0,0.0,4167,40167,40167,,,,,,,,,,,,,left_only
1693,4181,0,0,Henry County Transit,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71484.0,78293.0,0.0,0.0,0.0,0.0,4181,40181,40181,,,,,,,,,,,,,left_only
1694,4182,0,0,Municipality of Toa Baja,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4182,40182,40182,,,,,,,,,,,,,left_only
1695,4182,0,0,Municipality of Toa Baja,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4182,40182,40182,,,,,,,,,,,,,left_only
1696,4183,0,0,Municipality of San Sebastian,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183,40183,40183,,,,,,,,,,,,,left_only
1697,4183,0,0,Municipality of San Sebastian,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183,40183,40183,,,,,,,,,,,,,left_only
1698,4187,0,0,York County Council on Aging,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,48083.0,56253.0,70225.0,0.0,0.0,0.0,0.0,4187,40187,40187,,,,,,,,,,,,,left_only
1705,4197,0,0,0,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4197,40197,40197,,,,,,,,,,,,,left_only
1706,4197,0,0,Municipality of Lares,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4197,40197,40197,,,,,,,,,,,,,left_only
1707,4198,0,0,Municipality of Dorado,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4198,40198,40198,,,,,,,,,,,,,left_only
1708,4198,0,0,Municipality of Dorado,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4198,40198,40198,,,,,,,,,,,,,left_only
1709,4199,0,0,Autonomous Municipality of Vega Alta,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4199,40199,40199,,,,,,,,,,,,,left_only
1721,5142,0,0,Steel Valley Regional Transit Authority,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.0,2327.0,0.0,0.0,0.0,0.0,5142,50142,50142,,,,,,,,,,,,,left_only
1722,5142,0,0,Steel Valley Regional Transit Authority,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49374.0,40590.0,0.0,0.0,0.0,0.0,5142,50142,50142,,,,,,,,,,,,,left_only
1723,5152,0,0,Onalaska Shared Ride Taxi City of Onalaska,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,188855.0,234566.0,238091.0,0.0,0.0,0.0,0.0,5152,50152,50152,,,,,,,,,,,,,left_only
1725,5162,0,0,TransPorte,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,96068.0,97078.0,101948.0,0.0,0.0,0.0,0.0,5162,50162,50162,,,,,,,,,,,,,left_only
1726,5177,0,0,ColumBUS Transit,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8983.0,9189.0,0.0,0.0,0.0,0.0,5177,50177,50177,,,,,,,,,,,,,left_only
1727,5177,0,0,ColumBUS Transit,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31401.0,24594.0,0.0,0.0,0.0,0.0,5177,50177,50177,,,,,,,,,,,,,left_only
1729,5195,0,0,City of Shelby,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,1781.0,882.0,440.0,0.0,0.0,0.0,0.0,5195,50195,50195,,,,,,,,,,,,,left_only
1734,6034,0,0,Pine Bluff Transit,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7822.0,7076.0,0.0,0.0,0.0,0.0,6034,60034,60034,,,,,,,,,,,,,left_only
1735,6034,0,0,Pine Bluff Transit,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43023.0,51979.0,0.0,0.0,0.0,0.0,6034,60034,60034,,,,,,,,,,,,,left_only
1736,6035,0,0,Wichita Falls Transit System,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,270041.0,298399.0,276470.0,0.0,0.0,0.0,0.0,6035,60035,60035,,,,,,,,,,,,,left_only
1738,6058,0,0,0,RB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,26648.0,0.0,0.0,0.0,0.0,0.0,0.0,6058,60058,60058,,,,,,,,,,,,,left_only
1741,6081,0,0,Longview Transit,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,17060.0,20306.0,22046.0,0.0,0.0,0.0,0.0,6081,60081,60081,,,,,,,,,,,,,left_only
1742,6081,0,0,Longview Transit,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,151299.0,174068.0,182842.0,0.0,0.0,0.0,0.0,6081,60081,60081,,,,,,,,,,,,,left_only
1743,6089,0,0,City of Tyler,DT,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,38859.0,55731.0,47711.0,0.0,0.0,0.0,0.0,6089,60089,60089,,,,,,,,,,,,,left_only
1744,6089,0,0,City of Tyler,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,105315.0,98705.0,109725.0,0.0,0.0,0.0,0.0,6089,60089,60089,,,,,,,,,,,,,left_only
1752,6105,0,0,Intracity Transit,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,44876.0,47145.0,7920.0,0.0,0.0,0.0,0.0,6105,60105,60105,,,,,,,,,,,,,left_only
1753,6105,0,0,Intracity Transit,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,94437.0,90506.0,72098.0,0.0,0.0,0.0,0.0,6105,60105,60105,,,,,,,,,,,,,left_only
1754,6109,0,0,St. Tammany Parish Government,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,144607.0,160821.0,43977.0,0.0,0.0,0.0,0.0,6109,60109,60109,,,,,,,,,,,,,left_only
1756,6112,0,0,River Parishes Transit Authority,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34799.0,33365.0,0.0,0.0,0.0,0.0,6112,60112,60112,,,,,,,,,,,,,left_only
1762,6118,0,0,City of Edmond,CB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6118,60118,60118,,,,,,,,,,,,,left_only
1763,6118,0,0,City of Edmond,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6118,60118,60118,,,,,,,,,,,,,left_only
1764,6118,0,0,City of Edmond,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6118,60118,60118,,,,,,,,,,,,,left_only
1765,6123,0,0,0,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123,60123,60123,,,,,,,,,,,,,left_only
1766,6123,0,0,0,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6123,60123,60123,,,,,,,,,,,,,left_only
1769,7037,0,0,0,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7037,70037,70037,,,,,,,,,,,,,left_only
1770,7040,0,0,City of Joplin Metro Area Public,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,144745.0,169545.0,109183.0,0.0,0.0,0.0,0.0,7040,70040,70040,,,,,,,,,,,,,left_only
1771,7046,0,0,City of Independence,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,21904.0,22995.0,22234.0,0.0,0.0,0.0,0.0,7046,70046,70046,,,,,,,,,,,,,left_only
1773,8026,0,0,City of St. George,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,11726.0,10982.0,13194.0,0.0,0.0,0.0,0.0,8026,80026,80026,,,,,,,,,,,,,left_only
1774,8026,0,0,City of St. George,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,139439.0,150918.0,163598.0,0.0,0.0,0.0,0.0,8026,80026,80026,,,,,,,,,,,,,left_only
1789,9163,0,0,Camarillo Area Transit,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72179.0,98178.0,0.0,0.0,0.0,0.0,9163,90163,90163,,,,,,,,,,,,,left_only
