UZA Name,RailBus,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Atlanta, GA",Bus,"2,645","4,515,419",573,"1,559,652",48066,27.0,50605075.0,50050827.0,51154855.0,51475939.0,53685597.0,48652876.0,47889418.0,58666663.0,61368929.0,61354897.0,63666673.0,60389027.0,57220464.0
"Atlanta, GA",DemandResponse,"1,963","3,499,840",68,"263,900",8314,22.0,0.0,0.0,63498.0,128702.0,112349.0,207369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",132,"432,247",44406,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270429.0,773779.0,303617.0,287908.0,945706.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",201,"136,379",84246,27.0,190620.0,219391.0,229786.0,413663.0,392821.0,333323.0,419831.0,489904.0,432451.0,428241.0,364685.0,295078.0,229233.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",210,"688,078",44156,18.0,111840.0,114933.0,112063.0,124615.0,166856.0,75723.0,75157.0,94918.0,178741.0,185562.0,201525.0,111693.0,104326.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",422,"235,900",44322,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23143.0,28449.0,26180.0,27044.0,29216.0,26438.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",424,"174,680",44306,18.0,18605.0,815757.0,976769.0,1550020.0,2223355.0,2544323.0,3029680.0,3418772.0,3739904.0,3191367.0,3073818.0,2735672.0,1347078.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",437,"907,135",84414,27.0,5788.0,22877.0,54951.0,55991.0,45551.0,66504.0,63305.0,91370.0,78748.0,90062.0,91039.0,97097.0,78598.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",498,"1,354,871",52540,36.0,352144.0,411492.0,303828.0,1432277.0,1897055.0,3075106.0,2857399.0,4111050.0,3266465.0,0.0,0.0,0.0,3549542.0
"Atlanta, GA",DemandResponse,"2,645","4,515,419",573,"1,559,652",88088,36.0,475707.0,445832.0,523911.0,497956.0,982207.0,1214759.0,1915471.0,1535316.0,1599295.0,1669052.0,1868322.0,2139935.0,1225399.0
"Atlanta, GA",Rail,"2,645","4,515,419",132,"472,522",40230,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182522.0,70171.0
"Atlanta, GA",Rail,"2,645","4,515,419",573,"1,559,652",44044,18.0,42744908.0,46073187.0,50462915.0,49242449.0,50298714.0,58775169.0,63563207.0,70440991.0,75606822.0,74914218.0,78182100.0,75717593.0,76503453.0
"Atlantic City, NJ",Bus,125,"248,402","1,898","1,525,228",22400,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22728.0,31072.0,35048.0
"Atlantic City, NJ",DemandResponse,125,"248,402","1,898","1,525,228",22400,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16616.0,0.0,0.0,0.0
