,record,lma_title,Area_Code,Series ID,Month-Year,Total_Labor
31040,4624,"Racine, WI Metropolitan Statistical Area",LAUMT5539540000000,LAUMT553954000000006,"Aug
2017",101495.0
31041,4630,"Sheboygan, WI Metropolitan Statistical Area",LAUMT5543100000000,LAUMT554310000000006,"Aug
2017",64056.0
31042,6,"Birmingham-Hoover, AL Metropolitan Statistical Area",LAUMT0113820000000,LAUMT011382000000006,"Sep
2017",536643.0
31043,40,"Huntsville, AL Metropolitan Statistical Area",LAUMT0126620000000,LAUMT012662000000006,"Sep
2017",217392.0
31044,46,"Mobile, AL Metropolitan Statistical Area",LAUMT0133660000000,LAUMT013366000000006,"Sep
2017",185636.0
31045,48,"Montgomery, AL Metropolitan Statistical Area",LAUMT0133860000000,LAUMT013386000000006,"Sep
2017",171463.0
31046,70,"Anchorage, AK Metropolitan Statistical Area",LAUMT0211260000000,LAUMT021126000000006,"Sep
2017",199657.0
31047,98,"Flagstaff, AZ Metropolitan Statistical Area",LAUMT0422380000000,LAUMT042238000000006,"Sep
2017",77754.0
31048,153,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",LAUMT0530780000000,LAUMT053078000000006,"Sep
2017",355914.0
31049,189,"Bakersfield, CA Metropolitan Statistical Area",LAUMT0612540000000,LAUMT061254000000006,"Sep
2017",389191.0
31050,191,"Chico, CA Metropolitan Statistical Area",LAUMT0617020000000,LAUMT061702000000006,"Sep
2017",103791.0
31051,195,"El Centro, CA Metropolitan Statistical Area",LAUMT0620940000000,LAUMT062094000000006,"Sep
2017",72235.0
31052,199,"Hanford-Corcoran, CA Metropolitan Statistical Area",LAUMT0625260000000,LAUMT062526000000006,"Sep
2017",57255.0
31053,201,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",LAUMT0631080000000,LAUMT063108000000006,"Sep
2017",6760678.0
31054,205,"Merced, CA Metropolitan Statistical Area",LAUMT0632900000000,LAUMT063290000000006,"Sep
2017",117770.0
31055,206,"Modesto, CA Metropolitan Statistical Area",LAUMT0633700000000,LAUMT063370000000006,"Sep
2017",244459.0
31056,209,"Napa, CA Metropolitan Statistical Area",LAUMT0634900000000,LAUMT063490000000006,"Sep
2017",75779.0
31057,210,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",LAUMT0637100000000,LAUMT063710000000006,"Sep
2017",425477.0
31058,213,"Redding, CA Metropolitan Statistical Area",LAUMT0639820000000,LAUMT063982000000006,"Sep
2017",74624.0
31059,220,"Salinas, CA Metropolitan Statistical Area",LAUMT0641500000000,LAUMT064150000000006,"Sep
2017",226988.0
31060,222,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",LAUMT0641860000000,LAUMT064186000000006,"Sep
2017",2568959.0
31061,230,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",LAUMT0642100000000,LAUMT064210000000006,"Sep
2017",143088.0
31062,231,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",LAUMT0642200000000,LAUMT064220000000006,"Sep
2017",217163.0
31063,232,"Santa Rosa, CA Metropolitan Statistical Area",LAUMT0642220000000,LAUMT064222000000006,"Sep
2017",265337.0
31064,236,"Stockton-Lodi, CA Metropolitan Statistical Area",LAUMT0644700000000,LAUMT064470000000006,"Sep
2017",327344.0
31065,241,"Vallejo-Fairfield, CA Metropolitan Statistical Area",LAUMT0646700000000,LAUMT064670000000006,"Sep
2017",210411.0
31066,243,"Yuba City, CA Metropolitan Statistical Area",LAUMT0649700000000,LAUMT064970000000006,"Sep
2017",74689.0
31067,255,"Colorado Springs, CO Metropolitan Statistical Area",LAUMT0817820000000,LAUMT081782000000006,"Sep
2017",344294.0
31068,274,"Fort Collins, CO Metropolitan Statistical Area",LAUMT0822660000000,LAUMT082266000000006,"Sep
2017",200174.0
31069,453,"Springfield, MA-CT Metropolitan NECTA",LAUMT2578100000000,LAUMT257810000000006,"Sep
2017",370495.0
31070,479,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",LAUMT4237980000000,LAUMT423798000000006,"Sep
2017",3074658.0
31071,481,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",LAUMT1147900000000,LAUMT114790000000006,"Sep
2017",3376763.0
31072,485,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",LAUMT1215980000000,LAUMT121598000000006,"Sep
2017",327853.0
31073,487,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",LAUMT1218880000000,LAUMT121888000000006,"Sep
2017",128600.0
31074,489,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",LAUMT1219660000000,LAUMT121966000000006,"Sep
2017",300817.0
31075,493,"Gainesville, FL Metropolitan Statistical Area",LAUMT1223540000000,LAUMT122354000000006,"Sep
2017",146729.0
31076,500,"Jacksonville, FL Metropolitan Statistical Area",LAUMT1227260000000,LAUMT122726000000006,"Sep
2017",777370.0
31077,508,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",LAUMT1229460000000,LAUMT122946000000006,"Sep
2017",298969.0
31078,512,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",LAUMT1233100000000,LAUMT123310000000006,"Sep
2017",3139779.0
31079,515,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",LAUMT1234940000000,LAUMT123494000000006,"Sep
2017",163498.0
31080,516,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",LAUMT1235840000000,LAUMT123584000000006,"Sep
2017",362267.0
31081,518,"Ocala, FL Metropolitan Statistical Area",LAUMT1236100000000,LAUMT123610000000006,"Sep
2017",135975.0
31082,520,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",LAUMT1236740000000,LAUMT123674000000006,"Sep
2017",1332208.0
31083,525,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",LAUMT1237340000000,LAUMT123734000000006,"Sep
2017",272632.0
31084,526,"Panama City, FL Metropolitan Statistical Area",LAUMT1237460000000,LAUMT123746000000006,"Sep
2017",97337.0
31085,528,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",LAUMT1237860000000,LAUMT123786000000006,"Sep
2017",228898.0
31086,530,"Port St. Lucie, FL Metropolitan Statistical Area",LAUMT1238940000000,LAUMT123894000000006,"Sep
2017",212439.0
31087,533,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",LAUMT1242680000000,LAUMT124268000000006,"Sep
2017",63809.0
31088,536,"Tallahassee, FL Metropolitan Statistical Area",LAUMT1245220000000,LAUMT124522000000006,"Sep
2017",196071.0
31089,540,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",LAUMT1245300000000,LAUMT124530000000006,"Sep
2017",1537492.0
31090,557,"Athens-Clarke County, GA Metropolitan Statistical Area",LAUMT1312020000000,LAUMT131202000000006,"Sep
2017",102164.0
31091,591,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",LAUMT1312260000000,LAUMT131226000000006,"Sep
2017",267635.0
31092,609,"Chattanooga, TN-GA Metropolitan Statistical Area",LAUMT4716860000000,LAUMT471686000000006,"Sep
2017",268769.0
31093,668,"Rome, GA Metropolitan Statistical Area",LAUMT1340660000000,LAUMT134066000000006,"Sep
2017",44482.0
31094,670,"Savannah, GA Metropolitan Statistical Area",LAUMT1342340000000,LAUMT134234000000006,"Sep
2017",184543.0
31095,709,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",LAUMT1527980000000,LAUMT152798000000006,"Sep
2017",85420.0
31096,716,"Boise City, ID Metropolitan Statistical Area",LAUMT1614260000000,LAUMT161426000000006,"Sep
2017",348921.0
31097,756,"Bloomington, IL Metropolitan Statistical Area",LAUMT1714010000000,LAUMT171401000000006,"Sep
2017",97348.0
31098,772,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",LAUMT1716980000000,LAUMT171698000000006,"Sep
2017",4905532.0
31099,785,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",LAUMT1719340000000,LAUMT171934000000006,"Sep
2017",191137.0
31100,809,"Kankakee, IL Metropolitan Statistical Area",LAUMT1728100000000,LAUMT172810000000006,"Sep
2017",55972.0
31101,821,"Peoria, IL Metropolitan Statistical Area",LAUMT1737900000000,LAUMT173790000000006,"Sep
2017",178694.0
31102,835,"Rockford, IL Metropolitan Statistical Area",LAUMT1740420000000,LAUMT174042000000006,"Sep
2017",164805.0
31103,837,"St. Louis, MO-IL Metropolitan Statistical Area",LAUMT2941180000000,LAUMT294118000000006,"Sep
2017",1463930.0
31104,848,"Springfield, IL Metropolitan Statistical Area",LAUMT1744100000000,LAUMT174410000000006,"Sep
2017",111258.0
31105,862,"Bloomington, IN Metropolitan Statistical Area",LAUMT1814020000000,LAUMT181402000000006,"Sep
2017",79499.0
31106,868,"Cincinnati, OH-KY-IN Metropolitan Statistical Area",LAUMT3917140000000,LAUMT391714000000006,"Sep
2017",1113715.0
31107,876,"Elkhart-Goshen, IN Metropolitan Statistical Area",LAUMT1821140000000,LAUMT182114000000006,"Sep
2017",113124.0
31108,877,"Evansville, IN-KY Metropolitan Statistical Area",LAUMT1821780000000,LAUMT182178000000006,"Sep
2017",164519.0
31109,880,"Fort Wayne, IN Metropolitan Statistical Area",LAUMT1823060000000,LAUMT182306000000006,"Sep
2017",213211.0
31110,906,"Kokomo, IN Metropolitan Statistical Area",LAUMT1829020000000,LAUMT182902000000006,"Sep
2017",38024.0
31111,907,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",LAUMT1829200000000,LAUMT182920000000006,"Sep
2017",110640.0
31112,921,"Muncie, IN Metropolitan Statistical Area",LAUMT1834620000000,LAUMT183462000000006,"Sep
2017",54882.0
31113,939,"Terre Haute, IN Metropolitan Statistical Area",LAUMT1845460000000,LAUMT184546000000006,"Sep
2017",76992.0
31114,953,"Ames, IA Metropolitan Statistical Area",LAUMT1911180000000,LAUMT191118000000006,"Sep
2017",59087.0
31115,964,"Cedar Rapids, IA Metropolitan Statistical Area",LAUMT1916300000000,LAUMT191630000000006,"Sep
2017",142492.0
31116,976,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",LAUMT1919780000000,LAUMT191978000000006,"Sep
2017",346547.0
31117,998,"Iowa City, IA Metropolitan Statistical Area",LAUMT1926980000000,LAUMT192698000000006,"Sep
2017",97987.0
31118,1097,"Lawrence, KS Metropolitan Statistical Area",LAUMT2029940000000,LAUMT202994000000006,"Sep
2017",65737.0
