,CBSA,MNAME,APTA_CLUSTER
3357,40420,"Rockford, IL Metro Area",Low
3370,40580,"Rocky Mount, NC Metro Area",Low
3383,40660,"Rome, GA Metro Area",Low
3396,40900,"Sacramento-Arden-Arcade-Roseville, CA Metro Area",Mid
3404,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",Mid
3409,40980,"Saginaw-Saginaw Township North, MI Metro Area",Low
3417,40980,"Saginaw, MI Metro Area",Low
3422,41060,"St. Cloud, MN Metro Area",Low
3435,41100,"St. George, UT Metro Area",Low
3448,41140,"St. Joseph, MO-KS Metro Area",Low
3461,41180,"St. Louis, MO-IL Metro Area",Mid
3474,41420,"Salem, OR Metro Area",Mid
3487,41500,"Salinas, CA Metro Area",Mid
3500,41540,"Salisbury, MD Metro Area",Low
3508,41540,"Salisbury, MD-DE Metro Area",Low
3513,41620,"Salt Lake City, UT Metro Area",Mid
3526,41660,"San Angelo, TX Metro Area",Low
3539,41700,"San Antonio, TX Metro Area",Mid
3544,41700,"San Antonio-New Braunfels, TX Metro Area",Mid
3552,41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",High
3560,41740,"San Diego-Carlsbad, CA Metro Area",High
3565,41780,"Sandusky, OH Metro Area",
3573,41860,"San Francisco-Oakland-Fremont, CA Metro Area",High
3581,41860,"San Francisco-Oakland-Hayward, CA Metro Area",High
3586,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",High
3599,42020,"San Luis Obispo-Paso Robles, CA Metro Area",Low
3607,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",Low
3612,42060,"Santa Barbara-Santa Maria, CA Metro Area",Mid
3614,42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",Mid
3620,42060,"Santa Maria-Santa Barbara, CA Metro Area",Mid
3625,42100,"Santa Cruz-Watsonville, CA Metro Area",Mid
3638,42140,"Santa Fe, NM Metro Area",Low
3651,42220,"Santa Rosa-Petaluma, CA Metro Area",Low
3659,42220,"Santa Rosa, CA Metro Area",Low
3664,42340,"Savannah, GA Metro Area",Low
3677,42540,"Scranton-Wilkes-Barre, PA Metro Area",Low
3685,42540,"Scranton-Wilkes-Barre-Hazleton, PA Metro Area",Low
3690,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",High
3703,42680,"Vero Beach, FL Metro Area",Low
3704,42680,"Sebastian-Vero Beach, FL Metro Area",Low
