MNAME,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_GT_8_GROUPS,CLUSTER_APTA,CLUSTER_NOTE
"Napa,  CA Metro Area",2,2,G,31,
"Naples-Immokalee-Marco Island,  FL Metro Area",3,3,F,32,
"Nashville-Davidson--Murfreesboro--Franklin,  TN Metro Area",3,3,F,24,
"New Haven-Milford,  CT Metro Area",1,1,H,21,
"New Orleans-Metairie,  LA Metro Area",10,2,C,21,
"Niles-Benton Harbor,  MI Metro Area",7,3,D,34,
"North Port-Sarasota-Bradenton,  FL Metro Area",3,3,F,24,
"Norwich-New London,  CT Metro Area",4,3,E,34,
"Ocala,  FL Metro Area",4,3,E,34,
"Oklahoma City,  OK Metro Area",3,3,F,24,
"Olympia-Tumwater,  WA Metro Area",4,3,E,23,
"Omaha-Council Bluffs,  NE Metro Area",2,2,G,32,
"Orlando-Kissimmee-Sanford,  FL Metro Area",3,3,F,24,
"Oshkosh-Neenah,  WI Metro Area",3,3,F,32,
"Oxnard-Thousand Oaks-Ventura,  CA Metro Area",2,2,G,22,
"Palm Bay-Melbourne-Titusville,  FL Metro Area",4,3,E,32,
"Panama City,  FL Metro Area",4,3,E,34,
"Pensacola-Ferry Pass-Brent,  FL Metro Area",4,3,E,34,
"Peoria,  IL Metro Area",7,3,D,33,
"Philadelphia-Camden-Wilmington,  PA Metro Area",8,5,A,10,
"Phoenix-Mesa-Scottsdale,  AZ Metro Area",9,4,B,10,
"Pittsburgh,  PA Metro Area",6,4,B,10,
"Pittsfield,  MA Metro Area",1,1,H,34,
"Port St. Lucie,  FL Metro Area",4,3,E,32,
"Portland-South Portland,  ME Metro Area",4,3,E,23,
"Portland-Vancouver-Hillsboro,  WA Metro Area",9,4,B,10,
"Providence-Warwick,  RI Metro Area",10,2,C,22,
"Pueblo,  CO Metro Area",1,1,H,32,
"Racine,  WI Metro Area",7,3,D,31,
"Raleigh,  NC Metro Area",3,3,F,24,
"Reading,  PA Metro Area",1,1,H,31,
"Redding,  CA Metro Area",4,3,E,34,
"Reno,  NV Metro Area",1,1,H,21,
"Richmond,  VA Metro Area",4,3,E,24,
"Riverside-San Bernardino-Ontario,  CA Metro Area",10,2,C,22,
"Roanoke,  VA Metro Area",7,3,D,33,
"Rochester,  MN Metro Area",4,3,E,33,
"Rochester,  MN Metro Area",4,3,E,23,
"Rochester,  NY Metro Area",1,1,H,33,
"Rochester,  NY Metro Area",1,1,H,23,
"Rockford,  IL Metro Area",7,3,D,32,
"Rome,  GA Metro Area",7,3,D,33,
"Sacramento--Roseville--Arden-Arcade,  CA Metro Area",9,4,B,22,
"Saginaw,  MI Metro Area",1,1,H,34,
"Salem,  OR Metro Area",2,2,G,24,
"Salinas,  CA Metro Area",2,2,G,22,
"Salisbury,  DE Metro Area",4,3,E,34,
"Salt Lake City,  UT Metro Area",9,4,B,21,
"San Angelo,  TX Metro Area",4,3,E,32,
"San Antonio-New Braunfels,  TX Metro Area",10,2,C,23,
"San Diego-Carlsbad,  CA Metro Area",9,4,B,10,
"San Francisco-Oakland-Hayward,  CA Metro Area",8,5,A,10,
"San Jose-Sunnyvale-Santa Clara,  CA Metro Area",9,4,B,10,
"San Juan-Carolina-Caguas,  PR Metro Area",6,4,B,34,"Assumed to be Low OPEX, Less Favorable External Factors,    Weaker Competitiveness"
"San Luis Obispo-Paso Robles-Arroyo Grande,  CA Metro Area",3,3,F,31,
"Santa Cruz-Watsonville,  CA Metro Area",2,2,G,21,
"Santa Fe,  NM Metro Area",3,3,F,33,
"Santa Maria-Santa Barbara,  CA Metro Area",2,2,G,21,
"Santa Rosa,  CA Metro Area",2,2,G,31,
"Savannah,  GA Metro Area",7,3,D,33,
"Scranton--Wilkes-Barre--Hazleton,  PA Metro Area",1,1,H,32,
"Seattle-Tacoma-Bellevue,  WA Metro Area",8,5,A,10,
"Sebastian-Vero Beach,  FL Metro Area",4,3,E,33,
"Sheboygan,  WI Metro Area",4,3,E,31,
"Shreveport-Bossier City,  LA Metro Area",7,3,D,33,
"Sioux City,  SD Metro Area",2,2,G,31,
"Sioux Falls,  SD Metro Area",3,3,F,32,
"Somerset,  PA Metro Area",7,3,D,34,"Assumed to be Low OPEX, Less Favorable External Factors,    Weaker Competitiveness"
"South Bend-Mishawaka,  IL Metro Area",7,3,D,32,
"Spokane-Spokane Valley,  WA Metro Area",2,2,G,23,
"Springfield,  IL Metro Area",7,3,D,33,
"Springfield,  MO Metro Area",4,3,E,34,
"Springfield,  MA Metro Area",1,1,H,23,
"St. Cloud,  MN Metro Area",4,3,E,33,
"St. Louis,  IL Metro Area",9,4,B,23,
"State College,  PA Metro Area",1,1,H,31,
"Stockton-Lodi,  CA Metro Area",2,2,G,22,
"Sumter,  SC Metro Area",7,3,D,34,
"Syracuse,  NY Metro Area",1,1,H,23,
"Tallahassee,  FL Metro Area",7,3,D,31,
"Tampa-St. Petersburg-Clearwater,  FL Metro Area",10,2,C,24,
"Terre Haute,  IN Metro Area",7,3,D,34,
"Toledo,  OH Metro Area",1,1,H,32,
"Topeka,  KS Metro Area",7,3,D,33,
"Torrington,  CT Metro Area",4,3,E,34,"Assumed to be Low OPEX, Less Favorable External Factors,    Weaker Competitiveness"
"Tucson,  AZ Metro Area",1,1,H,23,
"Tulsa,  OK Metro Area",3,3,F,32,
"Urban Honolulu,  HI Metro Area",10,2,C,21,
"Vallejo-Fairfield,  CA Metro Area",2,2,G,32,
"Virginia Beach-Norfolk-Newport News,  VA Metro Area",9,4,B,22,
"Visalia-Porterville,  CA Metro Area",7,3,D,31,
"Waco,  TX Metro Area",4,3,E,34,
"Washington-Arlington-Alexandria,  VA Metro Area",8,5,A,10,
"Wenatchee,  WA Metro Area",4,3,E,33,
"Wheeling,  OH Metro Area",1,1,H,34,
"Wichita,  KS Metro Area",3,3,F,32,
"Williamsport,  PA Metro Area",1,1,H,33,
"Wilmington,  NC Metro Area",4,3,E,34,
"Winston-Salem,  NC Metro Area",4,3,E,33,
"Worcester,  CT Metro Area",1,1,H,24,
"Yakima,  WA Metro Area",3,3,F,31,
"York-Hanover,  PA Metro Area",3,3,F,32,
"Youngstown-Warren-Boardman,  PA Metro Area",7,3,D,34,
"Yuba City,  CA Metro Area",7,3,D,31,
"Yuma,  AZ Metro Area",2,2,G,32,
